subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Property (Jewish law),0,a,http://id.loc.gov/authorities/subjects/sh85107509,Property (Jewish law),http://id.worldcat.org/fast/1079154,Q76350,,,
Property (Jewish law),fast,a,http://id.worldcat.org/fast/1079154,Property (Jewish law),http://id.worldcat.org/fast/1079154,Q76350,,,
Jewish law,0,a,http://id.loc.gov/authorities/subjects/sh85070287,,,,Jewish law,http://id.worldcat.org/fast/982801,Q3624
Jewish law,fast,a,http://id.worldcat.org/fast/982801,,,,Jewish law,http://id.worldcat.org/fast/982801,Q3624
Marital property (Jewish law),0,a,http://id.loc.gov/authorities/subjects/sh98000582,Marital property (Jewish law),http://id.worldcat.org/fast/1010084,Q76351,,,
Marital property (Jewish law),fast,a,http://id.worldcat.org/fast/1010084,Marital property (Jewish law),http://id.worldcat.org/fast/1010084,Q76351,,,
Early works to 1800,fast,a,,Early works,http://id.worldcat.org/fast/1411636,Q300,,,
Responsa--1040-1600,0,a--y,http://id.loc.gov/authorities/subjects/sh85113225,,,,Responsa,http://id.worldcat.org/fast/1095848,Q74824
Responsa,fast,a,http://id.worldcat.org/fast/1095848,Responsa,http://id.worldcat.org/fast/1095848,Q74824,,,
1040-1600,fast,a,,,,,,,
Divorce (Jewish law),0,a,http://id.loc.gov/authorities/subjects/sh85038631,Divorce (Jewish law),http://id.worldcat.org/fast/895871,Q75018,,,
Divorce (Jewish law),fast,a,http://id.worldcat.org/fast/895871,Divorce (Jewish law),http://id.worldcat.org/fast/895871,Q75018,,,
Betrothal (Jewish law),0,a,http://id.loc.gov/authorities/subjects/sh2001009602,Betrothal (Jewish law),http://id.worldcat.org/fast/830956,Q76352,,,
Betrothal (Jewish law),fast,a,http://id.worldcat.org/fast/830956,Betrothal (Jewish law),http://id.worldcat.org/fast/830956,Q76352,,,
Bread--Religious aspects--Jewish law,0,a--x--x,,Bread--Religious aspects;Jewish law,http://id.worldcat.org/fast/838203;http://id.worldcat.org/fast/982801,Q76356;Q3624,,,
Synagogue etiquette--Early works to 1800,0,a--v,,Synagogue etiquette;Early works,http://id.worldcat.org/fast/1141015;http://id.worldcat.org/fast/1411636,Q76357;Q300,,,
Prayer--Judaism--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2010108003,,,,Prayer--Judaism;Early works,http://id.worldcat.org/fast/1074702;http://id.worldcat.org/fast/1411636,Q55310;Q300
Prayer--Judaism,fast,a--x,http://id.worldcat.org/fast/1074702,,,,Prayer--Judaism,http://id.worldcat.org/fast/1074702,Q55310
