title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Bill of exchange dispute,,,,,,Bill of exchange,Q8302
"Leaf from Speculum historiale, Book 29",,Speculum historiale,,Speculum historiale,Q360,,
German religious and literary miscellany,,,,,,Religious texts;Literary texts,Q5037;Q5081
Chronicle,,,,,,Chronicle,Q1475
Ledger of Amadori debtors and creditors,,,,,,Ledger,Q5484
Filza LII: seg[nat]a: F.3 Gondi et altri,,,,Filza LII segnata,Q7007,,
"Yemenite manuscript consisting of Va-yiḳra, Ba-midbar, Devarim","חומש תימני כולל ויקרא, במדבר, דברים",Bible,תורה,,,Bible,Q661
Tribunal arbitration,,,,,,Arbitration,Q8181
Miscellaneous manuscripts,,,,,,Miscellany,Q3673
Filza di scritture de sig[no]ri Medici; seg[nat]a: con la lettera F.,,,,Scritture de signori Medici,Q39389,,
Notated breviary,,,,,,Breviary,Q657
Ledger of Medici debtors and creditors,,,,,,Ledger,Q5484
Gregory de Chastellar agreement,,,,,,Agreement,Q7276
Giovanni Stafileo legal decision,,,,,,Legal document,Q3666
Summula de casibus,,,,,,Summula de casibus,Q7539
Geometria /,,,,,,Geometry,Q353
Bartolomea Villani deed,,,,,,Deed,Q1319
Guild regulations,,,,,,Guild regulations,Q5018
Lapo di Niccolò power of attorney,,,,,,Power of attorney,Q8176
Antonio de' Grifoni power of attorney,,,,,,Power of attorney,Q8176
Lettere scritte a Pier Francesco Portinari della republica fiorentina quando era suo ambasciatore a Siena l'anno 1529,,,,,,Letters,Q5068
Power of attorney,,,,,,Power of attorney,Q8176
Orationi...sopra le discordie civile [di Siena] /,,,,Orations,Q38343,,
Pope Pius III bull,,,,,,Bull,Q1362
"Istruzioni, memoriali, lettere, ricordi",,,,,,Instructions;Memorials;Letters,Q5044;Q7222;Q5068
Rac[c]colti del entrata delle gabelle delle bestie di Firenze,,,,Taxes,Q3705,,
Ex quo vocabularii autentici varii,,,,,,Ex quo vocabularii autentici varii,Q5017
"Fragment of Joshua, chapters IV, 18-VIII, 6.",,Bible,,,,Bible,Q661
Consilium notarial document,,,,,,Notarial document,Q5065
Appointment of executor,,,,,,Appointment,Q8180
Commentaries on Aristotle,,,,,,Commentary on Aristotle,Q3120
Bet Elohim; Shaʻar ha-shamayim,,,,Bet elohim,Q39221,,
Astronomical compilation,,,,Astronomical text,Q38381,,
Breviary leaf,,,,,,Breviary,Q657
La legenda di s[an]ct[i]ss[im]i Thebey soto Dioclitiano & Maximiano i[m]p[er]ato[r]i,,,,The siege of Thebes,Q39831,,
Checca Serotini power of attorney,,,,,,Power of attorney,Q8176
Samminiati notarial document excerpts,,,,,,Notarial document,Q5065
Book of deeds to various territorial acquisitions,,,,,,Deed,Q1319
Ledger of Medici accounts,,,,,,Ledger,Q5484
Ledger of Detti debtors and creditors,,,,,,Ledger,Q5484
