title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Garuḍopaniṣad,गरुडोपनिषद्,,,,Upanishads,Q27188,,
Ādnīkaprakaraṇa,आह्निकप्रकरण,,,,Hindu ritual text,Q76765,,
Spandavivṛti,,,Spandavivṛtti,,,,Spandavivṛtti,Q27853
Darśapūrṇamāsāgnīdhra,दर्शपूर्णमासाग्नीध्र,,,,Hindu ritual text,Q76765,,
Battisīpaurṇimāvratodyāpana,बत्तिसीपौर्णिमाव्रतोद्यापन,,Puranas,,,,Puranas,Q27588
Rājarājeśvarīmahātripurasundarīkavaca,,,,,,,Mantras,
Mahābhārata,महाभारत,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Viṣṇusahasranāmaprārambha,विष्णुसहस्रनामप्रारम्भ,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Īśvarapratyabhijñāvimarśinī,,,,,,,Philosophical text,Q5996
Saṃskārendu,संस्कारेन्दु,,,,Hindu ritual text,Q76765,,
Grahalāghava,ग्रहलाघव,,,,Grahalaghava,Q76766,,
Pallīpatanakārikā,पल्लीपतनकारिका,,,,Astrological text,Q20378,,
Guruparāmarśa,गुरुपरामर्श,,,,Philosophical text,Q5996,,
Vaiśvadeva,वैश्वदेव,,,,Hindu ritual text,Q76765,,
Vṛtti,वृत्ति,,,,Vṛtti,Q76767,,
Iśopaniṣad,इशोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Yogasūtrabhāṣya,योगसूत्रभाष्य,,,,Yogasūtrabhāṣya,Q76768,,
Anekadhvanimañjarī,अनेकध्वनिमञ्जरी,,,,Lexicological text,Q67908,,
Ṣaṣṭhīpūjā,षष्ठीपूजा,,,,Hindu ritual text,Q76765,,
Arghyapradāna,अर्घ्यप्रदान,,,,Hindu religious law,Q76769,,
Gajagaurīvrata,गजगौरीव्रत,,,,Hindu ritual text,Q76765,,
Rudrāṣṭakastotra,रुद्राष्टकस्तोत्र,,,,Hindu text,Q76770,,
Rājāvalī,राजावली,,,,Astrological text,Q20378,,
Bhāgavatapurāṇa,भागवतपुराण,,Puranas,पुराण,,,Puranas,Q27588
Rājayoga,राजयोग,,,,Rājayoga,Q76771,,
Śivarahasya,शिवरहस्य,,,,Hindu ritual text,Q76765,,
Sakalasaubhāgyavimalavairāgyasaṃpādinī,सकलसौभाग्यविमलवैराग्यसंपादिनी,,Rāmacaritamānasa,,,,Rāmacaritamānasa,Q27814
Harivilāsa,हरिविलास,,,,Mythological texts,Q67726,,
Sāṃkhyaśāstra bhāṣya,सांख्यशास्त्र भाष्य,,,,Philosophical text,Q5996,,
Nyāyagrantha,न्यायग्रन्थ,,,,Philosophical text,Q5996,,
Bhāgavatāntargatapārijātādhyāya,भागवतान्तर्गतपारिजाताध्याय,,Puranas,,,,Puranas,Q27588
Kāvyaprakāśavyākhyā,काव्यप्रकाशव्याख्या,,,,Rhetoric text,Q54646,,
Chāndogyopaniṣad,छान्दोग्योपनिषद्,,Upanishads,,,,Upanishads,Q27718
Gādādharī,गादाधरी,,,,Gādādharī,Q27605,,
Tīrthasnānavidhi,तीर्थस्नानविधि,,,,Hindu ritual text,Q76765,,
Campubhārata,चम्पुभारत,,Bhāratacampū,,,,Bhāratacampū,Q27767
Iti vedastutau śrīdharīyaṭīkāvyākhyā,इति वेदस्तुतौ श्रीधरीयटीकाव्याख्या,,,,,,Puranas,Q27588
Baudhāyanakāṭhakacayanaprayoga,बौधायनकाठकचयनप्रयोग,,,,Hindu ritual text,Q76765,,
Pakṣatāṭippaṇī,पक्षताटिप्पणी,,Gadādharī,,,,Gādādharī,Q27605
Ramalavidyā,रमलविद्या,,,,Astrological text,Q20378,,
Tṛptidīpa,तृप्तिदीप,,Pañcadaśī,,,,Pañcadaśī,Q27684
Devīsahasranāmastotra,देवीसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Praśnopaniṣad,प्रश्नोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Śārīrakamīmāṃsābhāṣya,शारीरकमीमांसाभाष्य,,,,Philosophical text,Q5996,,
