title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Judeo-Arabic treatise on the sale of marital property (Bava batra 49b-50a); Lists of Talmudic laws on the limitation of sales,,,,Talmudic text;Legal text,Q76002;Q8041,,
Letter,,,,,,Letter,Q1454
"Book of precepts, vol. 3",,,,Legal text,Q8041,,
Collected piyutim for the seventh day of Passover,,Maḥzor,,Maḥzor,Q3712,,
"Yemenite manuscript consisting of Va-yiḳra, Ba-midbar, Devarim","חומש תימני כולל ויקרא, במדבר, דברים",Bible,תורה,,,Bible,Q661
"Sidur Rav Seʹadyah Gaʾon, Selections",,Siddur (Saadia ben Joseph),,Siddur,Q40025,,
Samaritan prayer book for the Sabbaths of the seven weeks,,Siddur,,Siddur,Q40025,,
Sheʾelot u-teshuvot Min ha-shamayim,,,,Hebrew text,Q75984,,
Fragment from a supplicatory prayer,,,,Prayer,Q20014,,
Collected piyutim for the Fast of Gedaliah,,,,Piyyutim,Q76006,,
Adam yashar,,,,Hebrew text,Q75984,,
Part of a collection of piyutim for Rosh ḥodesh,,,,Piyyutim,Q76006,,
"Maimonides' commentary on the Mishnah, introduction",,Siraj,,Hebrew commentary,Q75988,,
Panegyric poem in honor of an unspecified bridegroom,,,,Panegyric,Q40012,,
Leviticus 1:14-3:3,,Bible,,Book of Leviticus;Torah,Q38395;Q42434,,
"Fragment of Joshua, chapters IV, 18-VIII, 6.",,Bible,,,,Bible,Q661
Commentaries on Aristotle,,,,,,Commentary on Aristotle,Q3120
"Letter to Nahray ben Nissim, Fustat",,,,Letter,Q1454,,
Bet Elohim; Shaʻar ha-shamayim,,,,Bet elohim,Q39221,,
Part of a collection of rahiṭim for Yom Kippur,,Maḥzor,,Maḥzor,Q3712,,
Fragments from a manuscript Bible copybook,קטעים מחומש כתב יד,Bible,"תנ""ך",Bible,Q661,,
Marriage contract,,,,Ketubah,Q76000,,
Treatise on amulets,,,,Amulet,Q76030,,
"Talmud, Kodashim, Menaḥot 12b-13b; 16a-16b; 17a; 18a-18b",,Talmud,,Talmudic text,Q76002,,
Morning blessings and Psalms,,Benedictions,,Blessings;Psalms,;Q5972,,
"Marriage contract of Zein, daughter of R. Aaron ha-mumḥeh (the expert)",,,,Ketubah,Q76000,,
Maḥazor for the Festivals,,Maḥzor,,Maḥzor,Q3712,,
Sefer ha-seder ha-ḳaṭan] ... [etc.,,Qānūn fī al-ṭibb,,Hebrew text,Q75984,,
Judeo-Arabic translation of Genesis 24:58-25:17,,Bible,,Book of Genesis;Torah,Q7274;Q42434,,
Shevaḥ prayer,,,,Prayer,Q20014,,
"Mishnah, Ḳodashim, Midot 1:1-3",,Mishnah,,Mishneh Torah,Q39762,,
Perush sefer ha-yesodot shel Uklids,,,,Hebrew text,Q75984,,
"Zachariah 14:2-11, with Masorah magna and parva",,Bible,,Book of Zachariah;Bible,Q20430;Q661,,
"Numbers 16:30-17:4, with Masorah magna and parva",,Bible,,Book of Numbers;Torah,Q1408;Q42434,,
A Samaritan prayer book for all the Sabbath days of the year,,Siddur,,Siddur,Q40025,,
"Treatise on the Samaritan calendar, attributed to Ya'kub",,,,Samaritan text,Q76593,,
Genesis 37:9-35; Genesis 41:24-50,,Bible,,Book of Genesis;Torah,Q7274;Q42434,,
"Letter, 1768, Leipzig to David Berlin","מכתב, תקכ""ח, לייפציג אל דוד בערלין",,,Letter,Q1454,,
Song of Solomon 2:13-3:3; Song of Solomon 4:6-14,,Bible,,Song of Solomon;Bible,Q38389;Q661,,
Part of Judah ha-Leṿi's Diṿan,,Poems,,Diwan,Q11912,,
Judeo-Arabic treatise on Biblical language,,,,Bible commentary,Q1433,,
"Judeo-Arabic commentary on 1st Samuel, 25:30-27:10; 2nd Samuel 12:14-13:6",,,,Torah commentary,Q44107,,
"Maḥazor for Shavuʹot, ʹAmidah",,Amidah (Jewish prayer),,Prayer,Q20014,,
Responsum on Talmudic sources on Jesus,,,,Responsa,Q75989,,
Ketubah,כתובה,,,Ketubah,Q76000,,
Legal document,,,,,,Legal document,Q3666
