language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Greek,,,,,Greek,Q9129,Q1318
Latin,,,,,Latin,Q397,Q113
Italian,,,,,Italian,Q652,Q116
Armenian,,,,,Armenian,Q8785,Q792
French,,,,,French,Q150,Q111
Syriac,,,,,Syriac,Q33538,Q12713
Arabic,,,,,Arabic,Q13955,Q118
Spanish,,,,,Spanish,Q1321,Q114
Persian,,,,,Persian,Q9168,Q120
Sanskrit,,,,,Sanskrit,Q11059,Q27494
Japanese,,,,,Japanese,Q5287,Q12711
Assamese,,Assamese,Q29401,Q76236,,,
Shan,,Shan,Q56482,Q76237,,,
Ge'ez,,Ge'ez,Q35667,Q3664,,,
Hebrew,,,,,Hebrew,Q9288,Q117
Chinese,,Chinese,Q7850,Q12715,,,
Burmese,,Burmese,Q9228,Q76238,,,
English,,,,,English,Q1860,Q109
Pali,,,,,Pali,Q36727,Q27511
Thai,,,,,Thai,Q9217,Q27515
Tamil,,,,,Tamil,Q5885,Q27498
