File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250318-named-subjects-williams-csv.csv,"Alcuin, 735-804",ds-subject,,,"Alcuin, 735-804",http://id.worldcat.org/fast/14487,Q76239,,,
20250318-named-subjects-williams-csv.csv,"Augustine, of Hippo, Saint, 354-430",ds-subject,,,"Augustine, of Hippo, Saint, 354-430",http://id.worldcat.org/fast/61554,Q7397,,,
20250318-named-subjects-williams-csv.csv,"Bede, the Venerable, Saint, 673-735",ds-subject,,,"Bede, the Venerable, Saint, 673-735",http://id.worldcat.org/fast/52787,Q76240,,,
20250318-named-subjects-williams-csv.csv,"Isidore, of Seville, Saint, -636",ds-subject,,,"Isidore, of Seville, Saint, -636",http://id.worldcat.org/fast/1801057,Q48212,,,
20250318-named-subjects-williams-csv.csv,"Jerome, Saint, -419 or 420",ds-subject,,,"Jerome, Saint, -419 or 420",http://id.worldcat.org/fast/1827079,Q16291,,,
20250318-named-subjects-williams-csv.csv,"Rabanus Maurus, Archbishop of Mainz, 784?-856",ds-subject,,,"Rabanus Maurus, Archbishop of Mainz, 784?-856",http://id.worldcat.org/fast/81496,Q76241,,,
20250318-named-subjects-williams-csv.csv,"Walahfrid Strabo, 807?-849",ds-subject,,,"Walahfrid Strabo, 807?-849",http://id.worldcat.org/fast/199562,Q76242,,,
20250318-named-subjects-williams-csv.csv,Benedictines,ds-subject,,,Benedictines,http://id.worldcat.org/fast/553736,Q6908,,,
20250318-named-subjects-williams-csv.csv,Franciscans,ds-subject,,,Franciscans,http://id.worldcat.org/fast/530004,Q5840,,,
20250318-named-subjects-williams-csv.csv,"Jacobus, de Voragine, approximately 1229-1298 Legenda aurea",ds-subject,,,"Legenda aurea (Jacobus, de Voragine)",http://id.worldcat.org/fast/1360185,Q76243,,,
20250318-named-subjects-williams-csv.csv,"Anthony, of Padua, Saint, 1195-1231",ds-subject,,,"Anthony, of Padua, Saint, 1195-1231",http://id.worldcat.org/fast/17594,Q10798,,,
20250318-named-subjects-williams-csv.csv,"Louis IX, King of France, 1214-1270",ds-subject,,,"Louis IX, King of France, 1214-1270",http://id.worldcat.org/fast/35587,Q76244,,,
20250318-named-subjects-williams-csv.csv,"Alexander, the Great, 356 B.C.-323 B.C -- Romances",ds-subject,,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567,,,
20250318-named-subjects-williams-csv.csv,"Kashmir, Vale of (India)",ds-subject,,,India--Vale of Kashmir,http://id.worldcat.org/fast/1333615,Q76245,,,
20250318-named-subjects-williams-csv.csv,"Peñaranda, Spain",ds-subject,,,Spain--Peñaranda de Bracamonte,http://id.worldcat.org/fast/1230278,Q76246,,,
20250318-named-subjects-williams-csv.csv,Alonso de Bracamente,ds-subject,,,,,,,,
20250318-named-subjects-williams-csv.csv,"Badr, Battle of, Badr Ḥunayn, Saudi Arabia, 624",ds-subject,,,"Battle of Badr (Badr Ḥunayn, Saudi Arabia : 624)",http://id.worldcat.org/fast/1709746,Q11421,,,
20250318-named-subjects-williams-csv.csv,Ahoms (Indic people),ds-subject,,,Ahoms (Indic people),http://id.worldcat.org/fast/801950,Q76247,,,
20250318-named-subjects-williams-csv.csv,Shan (Asian people),ds-subject,,,Shan (Asian people),http://id.worldcat.org/fast/1115205,Q76248,,,
20250318-named-subjects-williams-csv.csv,Japan,ds-subject,,,Japan,http://id.worldcat.org/fast/1204082,Q12622,,,
20250318-named-subjects-williams-csv.csv,Burma,ds-subject,,,Burma,http://id.worldcat.org/fast/1207835,Q26915,,,
20250318-named-subjects-williams-csv.csv,Thailand,ds-subject,,,Thailand,http://id.worldcat.org/fast/1205310,Q26903,,,
20250318-named-subjects-williams-csv.csv,Siva (Hindu deity),ds-subject,,,Siva (Hindu deity),http://id.worldcat.org/fast/1119826,Q26681,,,
20250318-named-subjects-williams-csv.csv,Madurai (India),ds-subject,,,India--Madurai,http://id.worldcat.org/fast/1209175,Q76249,,,
20250318-named-subjects-williams-csv.csv,Thomas de Grinham,ds-subject,,,,,,,,
20250318-named-subjects-williams-csv.csv,Gratian,ds-subject,,,"Gratian, active 12th century",http://id.worldcat.org/fast/1821360,Q76250,,,
