place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Mt. Athos,Mount Athos,http://vocab.getty.edu/tgn/7002722,Q76334,,,
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
"Tours, France",,,,Tours;France,http://vocab.getty.edu/tgn/7008323;http://vocab.getty.edu/tgn/1000070,Q19885;Q122
Medingen Abbey,Bevensen,http://vocab.getty.edu/tgn/1038507,Q76335,,,
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Venice?,,,,Venice,http://vocab.getty.edu/tgn/7018159,Q2823
Autun,Autun,http://vocab.getty.edu/tgn/7008237,Q76256,,,
Amiens?,Amiens,http://vocab.getty.edu/tgn/7010588,Q20361,,,
Troyes,,,,Troyes,http://vocab.getty.edu/tgn/7008350,Q16425
Rouen,,,,Rouen,http://vocab.getty.edu/tgn/7008929,Q1244
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
"St. Gall, Switzerland",Sankt Gallen;Switzerland,http://vocab.getty.edu/tgn/7007460;http://vocab.getty.edu/tgn/7011731,Q76336;Q652,,,
Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Tournai,,,,Tournai,http://vocab.getty.edu/tgn/7008002,Q16426
Armenia,,,,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
"Montevarchi, Italy",Montevarchi;Italy,http://vocab.getty.edu/tgn/7006114;http://vocab.getty.edu/tgn/1000080,Q76337;Q134,,,
Görlitz,Görlitz,http://vocab.getty.edu/tgn/7012813,Q76338,,,
French,France,http://vocab.getty.edu/tgn/1000070,Q122,,,
"Canterbury, England",Canterbury;England,http://vocab.getty.edu/tgn/7012044;http://vocab.getty.edu/tgn/7002445,Q76339;Q133,,,
Western Europe,,,,Western Europe,http://vocab.getty.edu/tgn/4003761,Q10830
Germany (west central or southwestern),Germany,http://vocab.getty.edu/tgn/7000084,Q131,,,
West Syria,Syria (region),http://vocab.getty.edu/tgn/7594765,Q38306,,,
"Granada, Spain",,,,Granada;Spain,http://vocab.getty.edu/tgn/7007703;http://vocab.getty.edu/tgn/1000095,Q3081;Q129
"Tolox, Spain",Tolox;Spain,http://vocab.getty.edu/tgn/7299097;http://vocab.getty.edu/tgn/1000095,Q76340;Q129,,,
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
China,,,,China,http://vocab.getty.edu/tgn/1000111,Q12699
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Persia,,,,Persia,http://vocab.getty.edu/tgn/7024079,Q127
North Africa?,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
Japan,,,,Japan,http://vocab.getty.edu/tgn/1000120,Q12707
Assam,Assam,http://vocab.getty.edu/tgn/1001832,Q76341,,,
Northern Burma,Myanmar,http://vocab.getty.edu/tgn/1000108,Q38257,,,
Northeast India,India,http://vocab.getty.edu/tgn/7000198,Q138,,,
Ethiopia,,,,Ethiopia,http://vocab.getty.edu/tgn/7000489,Q3655
Da City,,,,,,
Korea,,,,Korea,http://vocab.getty.edu/tgn/7059230,Q12696
Burma,,,,Myanmar,http://vocab.getty.edu/tgn/1000108,Q38257
Thailand,Thailand,http://vocab.getty.edu/tgn/1000142,Q42469,,,
Maghrib,Maghreb,http://vocab.getty.edu/tgn/7032929,Q76342,,,
Madurai,Madurai,http://vocab.getty.edu/tgn/7001563,Q76343,,,
"Western Europe, probably France",Western Europe;France,http://vocab.getty.edu/tgn/4003761;http://vocab.getty.edu/tgn/1000070,Q10830;Q122,,,
"Autun, France",Autun;France,http://vocab.getty.edu/tgn/7008237;http://vocab.getty.edu/tgn/1000070,Q76256;Q122,,,
Flanders,,,,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
"Germany, Cologne?",Germany;Cologne,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7004446,Q131;Q4329,,,
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Switzerland,,,,Switzerland,http://vocab.getty.edu/tgn/7011731,Q652
Austria,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Southern France,,,,Southern France,http://vocab.getty.edu/tgn/4004037,Q19904
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
Central Europe,,,,Central Europe,http://vocab.getty.edu/tgn/4003755,Q5945
Europe,,,,Europe,http://vocab.getty.edu/tgn/1000003,Q1290
Southern Europe,,,,Southern Europe,http://vocab.getty.edu/tgn/4003760,Q42088
Portugal,,,,Portugal,http://vocab.getty.edu/tgn/1000090,Q19906
Mexico,,,,Mexico,http://vocab.getty.edu/tgn/7005560,Q1312
