title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
[New Testament. Codex Theodori],,,,New Testament,Q655,,
[Lectionary of the Gospels].,,,,,,Lectionary,Q663
Evangelii fragmenta membra Greca sec XI,,,,New Testament,Q655,,
[Homeliae super Genesim],,,,Homilies,Q1246,,
[Liber Genesis cum commentarius Bedae].,,,,Commentary on Genesis;Book of Genesis,Q38363;Q7274,,
[Liber (visionis) esaiae prophetae cum prologo et expositione S. Hieronymi].,,,,Book of Isaiah;Commentary on Isaiah,Q20433;Q38370,,
[Actus Apostolorum].,,,,Acts of the Apostles,Q6009,,
Lectiones evangeliorum de circulo anni.,,,,Lectiones evangeliorum de circulo anni,Q76614,,
[Psalterium cum canticis],,,,,,Psalter,Q660
[Psalterium Benedictum],,,,Psalter,Q660,,
[Psalterium Romanum ad Usum Ord. Francisci].,,,,Psalter,Q660,,
[Processionale Purificationes B.V. Mariae].,,,,Processional,Q1336,,
Graduale,,,,Gradual,Q1121,,
[Horae B.V.M. use of Autun].,,,,Book of hours,Q795,,
[Horae B.V.M. use of Rome].,,,,Book of hours,Q795,,
[Horae B.V.M. use of Sens (Troyes)].,,,,Book of hours,Q795,,
[Flores ex veris dictis],,,,,,,
[Allegoriae Novi Testamenti].,,,,Bible commentary,Q1433,,
Del chiostro dell anima,,,,,,,
[Legenda aurea],,,,,,Golden Legend,Q7220
De metrica arte,,,,De arte metrica,Q1402,,
[Opera],,,,,,Opera,Q19943
Divina commedia,,,,,,Divine Comedy,Q17595
[Horae B.V.M. use of Tournai],,,,Book of hours,Q795,,
[Armenian psalter and hymns],,,,Psalter,Q660,,
[Horae B.V.M. use of Paris],,,,Book of hours,Q795,,
Aristotelis ethicorum.,,,,Nicomachean ethics,Q369,,
Farraggine astronomica.,,,,Astronomical text,Q38381,,
Aurelii Augustini tractatus de psalmodi.,,,,,,,
Breviarum Romanum.,,,,Breviary,Q657,,
[Liber meditationum].,,,,Liber meditationum,Q6033,,
[Horae B.V.M.].,,,,Book of hours,Q795,,
Missal,,,,,,Missal,Q662
Sermones Quadragsimales,,,,Sermons,Q1400,,
[Syriac New Testament],,,,New Testament,Q655,,
Carta executoria a pedimiento de Diego de Herrera Pimentel vezino del lugar de los Verchules.,,,,Carta ejecutoria,Q3718,,
Carta executoria de hidalguia a pedimiento de Luis de Soto Morillo y Francisco de Soto ci d vezinos de la villa de Belalcazar.,,,,Carta ejecutoria,Q3718,,
Khamsah Niẓāmī,,,,Khamsa,Q18558,,
خمسه نظامی,,,,Khamsa,Q18558,,
Bālabodhinī,,,,Bālabodhinī,Q76615,,
"Traslado del apeo original para en el contaduría de la población y de las haciendas así de cristianos como de moriscos términos pastos y montes de la Villa de Tolox hecho por el bachiller Dido, el Licenciado Baltazar de Fonsca, juez de su majestad, ante Andrés Solano escribano que se sacó, año de 1725",,,,Survey of property,Q5485,,
Legal document,,,,,,Legal document,Q3666
[Portolan Atlas],,,,,,Portolan atlas,Q2828
[al-Qur'an. Juz' Wa mā min dābbatin],,,,Qurʼan,Q3697,,
القرآن. جزء وَمَا مِنْ دَآبَّةٍ,,,,,,,
[al-Qur'an. Juz' Qad aflaḥa.],,,,Qurʼan,Q3697,,
al-Qurʼān,,,,,,Qurʼan,Q3697
"Fiqh manuscript, 1189 H.",,,,Fiqh,Q48658,,
Madḥ manuscript,,,,Panegyric,Q40012,,
"Majmūʻah manuscript, 1184 H. [1770-1771].",,,,Arabic poetry,Q12007,,
Ghazaliyat of Sa'dī,,,,Ghazalīyāt,Q48580,,
Nanakusa no ben.,,,,Nanakusa no sekku,Q76616,,
七種之辨,,,,,,,
Buranji,,,,Buranji,Q76617,,
Khun Ho Kham Kap Ping Na,,,,Thai manuscript,Q76618,,
Ethiopian healing scroll.,,,,Ethiopian healing scroll,Q76619,,
[Scroll of Esther],,,,Scroll of Esther,Q76620,,
מגילת אסתר,,,,Book of Esther,Q39133,,
Bā lǐ jié yào xià :,,,,,,,
Nuliniŏ,,,,Obituaries,Q27793,,
訥人俚语 : 手稿,,,,,,,
[Chinese divination manuscript],,,,Divination texts,Q27675,,
Uta hanshi Kanroji Motonaga kyo hitsu. Shokunin zukushi utaawase. Su nijuyon ban. Kenpo,,,,Shokunin zukushi uta-awase,Q76621,,
職人尽歌合,,,,,,,
Burmese book on palmyra palm leaf,,,,Palm leaf manuscript,Q48551,,
Kimono designs,,,,Kimono designs,Q76622,,
Parabaik,,,,Parabaik,Q76623,,
Shokunin zukushi,,,,Shokunin zukushi,Q76624,,
Black koi Thai manuscript,,,,Thai manuscript,Q76618,,
Maghribi prayer book,,,,Prayer book,Q1486,,
Abhidhamma chet kamphi and Phra Malai,,,,Funerary text,Q76625,,
Upanishad,,,,Upanishads,Q27718,,
Psalms,,,,,,Psalms,Q5972
Breviary,,,,,,Breviary,Q657
Psalter,,,,,,Psalter,Q660
Antiphonal,,,,,,Antiphonary,Q654
Gradual,,,,,,Gradual,Q1121
Binding fragment,,,,,,Binding fragment,Q10843
Liturgical fragment,,,,Liturgical text,Q10839,,
Decretum,,,,,,Decretals,Q1447
Glossed Consolation of Philosophy,,,,Consolation of Philosophy,Q2832,,
Document,,,,,,Document,Q8301
Commentary on Psalms,,,,Commentary on Psalms,Q20442,,
Diplomatic,,,,Document,Q8301,,
Calendar,,,,,,Calendar,Q1122
Corpus Juris Civilis,,,,Corpus Juris Civilis,Q5057,,
Bible,,,,,,Bible,Q661
Liturgical music notation,,,,Music,Q20017,,
Canon law text?,,,,Canon law text,Q1415,,
