genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Latin (Medieval and modern)--France",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);France",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204289,Q10783;Q152
"Manuscripts, Latin (Medieval and modern)--Germany",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);Germany",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1210272,Q10783;Q3032
Manuscript waste,rbmscv,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
Digital images,lcsh,,,,,Digital images,http://id.worldcat.org/fast/1739927,Q16300
"Manuscripts, French--France",lcsh,,,,,"Manuscripts, French;France",http://id.worldcat.org/fast/1008338;http://id.worldcat.org/fast/1204289,Q319;Q152
"Manuscripts, Medieval--France",lcsh,,,,,"Manuscripts, Medieval;France",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204289,Q325;Q152
Inscriptions,rbmscv,,,,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,Q5875
Bookplates,rbmscv,,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,Q5847
Illuminations,gmgpc,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
Gothic scripts,aat,,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
"Manuscripts, Latin (Medieval and modern)--Netherlands",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);Netherlands",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204034,Q10783;Q5863
"Manuscripts, Medieval--Netherlands",lcsh,,,,,"Manuscripts, Medieval;Netherlands",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204034,Q325;Q5863
"Manuscripts, Medieval--Germany",lcsh,,,,,"Manuscripts, Medieval;Germany",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1210272,Q325;Q3032
Marginalia,rbmscv,,,,,Marginalia,http://id.loc.gov/vocabulary/rbmscv/cv00255,Q16344
Edge titles,rbmscv,,,,,Edge titles,http://id.loc.gov/vocabulary/rbmscv/cv00436,Q16400
"Manuscripts, Latin (Medieval and modern)--Belgium",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);Belgium",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1210278,Q10783;Q16301
"Manuscripts, Medieval--Belgium",lcsh,,,,,"Manuscripts, Medieval;Belgium",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1210278,Q325;Q16301
Missals (Service books),lcgft,,,,,Missals (Service books),http://id.worldcat.org/fast/1920241,Q8363
Embossed stamps,rbmscv,,,,,Embossed stamps,http://id.loc.gov/vocabulary/rbmscv/cv00238,Q16341
"Manuscripts, Latin (Medieval and modern)--Italy",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);Italy",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204565,Q10783;Q249
"Manuscripts, Italian--Italy",lcsh,,,,,"Manuscripts, Italian;Italy",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/1204565,Q269;Q249
"Manuscripts, Medieval--Italy",lcsh,,,,,"Manuscripts, Medieval;Italy",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204565,Q325;Q249
Wooden boards,rbmscv,,,,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,Q5870
Catches,rbmscv,,,,,Catches,http://id.loc.gov/vocabulary/rbmscv/cv00459,Q16369
Manicules,rbmscv,,,,,Manicules,http://id.loc.gov/vocabulary/rbmscv/cv00248,Q5909
Autographs,rbmscv,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Calf bindings,rbmscv,,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454,Q12556
"Manuscripts, Medieval--Spain",lcsh,,,,,"Manuscripts, Medieval;Spain",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204303,Q325;Q343
"Manuscripts, Spanish--Spain",lcsh,,,,,"Manuscripts, Spanish;Spain",http://id.worldcat.org/fast/1008500;http://id.worldcat.org/fast/1204303,Q202;Q343
"Manuscripts, Latin (Medieval and modern)--Spain",lcsh,,,,,"Manuscripts, Latin (Medieval and modern);Spain",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204303,Q10783;Q343
Bibles,lcsh,,,,,Bible,http://id.worldcat.org/fast/1356024,Q4267
"Manuscripts, German--Germany",lcsh,,,,,"Manuscripts, German;Germany",http://id.worldcat.org/fast/1008346;http://id.worldcat.org/fast/1210272,Q142;Q3032
Furniture,rbmscv,,,,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,Q16323
Metal clasps,rbmscv,,,,,Metal clasps,http://id.loc.gov/vocabulary/rbmscv/cv00602,Q16297
Humanistic scripts,aat,,,,,humanistic scripts,http://vocab.getty.edu/aat/300210204,Q10824
Poetry,,,,,,poetry,http://vocab.getty.edu/aat/300055931,Q11358
Protogothic,aat,,,,,Protogothic,http://vocab.getty.edu/aat/300379143,Q16405
Clasps,rbmscv,,,,,Clasps,http://id.loc.gov/vocabulary/rbmscv/cv00448,Q12690
Deerskin bindings,rbmscv,,,,,Deerskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00504,Q16302
Insertions,rbmscv,,,,,Insertions (Production),http://id.loc.gov/vocabulary/rbmscv/cv00768,Q16308
Goatskin bindings,rbmscv,,,,,Goatskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00547,Q12526
