place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Mashad (Iran),Mashhad;Iran,http://vocab.getty.edu/tgn/7002247;http://vocab.getty.edu/tgn/7000231,Q48702;Q2822,,,
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Flanders (Belgium),Flanders (region);Belgium,http://vocab.getty.edu/tgn/7018236;http://vocab.getty.edu/tgn/1000063,Q100357;Q1243,,,
"Buxheim (Schwaben, Germany)",Buxheim;Swabia;Germany,http://vocab.getty.edu/tgn/4002028;http://vocab.getty.edu/tgn/7017048;http://vocab.getty.edu/tgn/7000084,Q38159;Q12703;Q131,,,
Portugal?,,,,Portugal,http://vocab.getty.edu/tgn/1000090,Q19906
Benelux countries?,,,,Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Strassburg (Germany),Strasburg;Germany,http://vocab.getty.edu/tgn/1037796;http://vocab.getty.edu/tgn/7000084,Q100358:Q131,,,
Persian Gulf Region,Arabian Peninsula;Western Asia,http://vocab.getty.edu/tgn/1012700;http://vocab.getty.edu/tgn/8714326,Q27492;Q100360,,,
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Bali (Indonesia : Province),Bali;Indonesia,http://vocab.getty.edu/tgn/1001137;http://vocab.getty.edu/tgn/1000116,Q100359;Q38217,,,
