place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
"Ferrara, Italy",,,,Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Vale of Kashmir, India",,,,"Kashmir, Vale of;India",http://vocab.getty.edu/tgn/1111685;http://vocab.getty.edu/tgn/7000198,Q27478;Q138
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Arabian Peninsula?,Arabian Peninsula,http://vocab.getty.edu/tgn/1012700,Q27492,,,
Belgium,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Naples, Italy",,,,Naples;Italy,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/1000080,Q3099;Q134
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
Paris?,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
"Hainaut, Belgium",,,,"Hainaut, Province de;Belgium",http://vocab.getty.edu/tgn/7007877;http://vocab.getty.edu/tgn/1000063,Q1300;Q1243
"Paris, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
Place of publication not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
"Nangis, France",,,,Nangis;France,http://vocab.getty.edu/tgn/1034615;http://vocab.getty.edu/tgn/1000070,Q27483;Q122
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Rome,,,,Rome,http://vocab.getty.edu/tgn/7000874,Q123
Germany (Southern?),,,,Germany;Southern Germany,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/4004316,Q131;Q4333
Belgium?,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
Flanders,,,,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
Austria,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Switzerland,,,,Switzerland,http://vocab.getty.edu/tgn/7011731,Q652
place of publication not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Austria?,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
East Francia?,Francia Orientalis,http://vocab.getty.edu/tgn/7024345,Q27482,,,
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
France or Germany,,,,France;Germany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7000084,Q122;Q131
