subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Qur'an--Manuscripts,ds-subject,,,Qurʼan;Manuscripts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1008230,Q11441;Q38609,,,
"Manuscripts, Medieval",ds-subject,,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325,,,
Bible. Jeremiah,ds-subject,,,,,,Bible. Jeremiah,http://id.worldcat.org/fast/1892915,Q38600
Illumination of books and manuscripts,ds-subject,,,Illumination of books and manuscripts,http://id.worldcat.org/fast/967235,Q272,,,
"Manuscripts, Arabic (Papyri)",ds-subject,,,"Manuscripts, Arabic (Papyri)",http://id.worldcat.org/fast/1008285,Q100365,,,
"Manuscripts, German",ds-subject,,,"Manuscripts, German",http://id.worldcat.org/fast/1008346,Q142,,,
"Manuscripts, Latin",ds-subject,,,"Manuscripts, Latin",http://id.worldcat.org/fast/1008395,Q210,,,
Summa sententiarum--Selections,ds-subject,,,Excerpts,http://id.worldcat.org/fast/1692837,Q3547,,,
"Hugh, of Saint-Victor, 1096?-1141. De sacramentis Christianae fidei",ds-subject,,,"De sacramentis Christianae fidei (Hugh, of Saint-Victor)",http://id.worldcat.org/fast/2058300,Q100366,,,
"Hugh, of Saint-Victor, 1096?-1141--Works--Selections",ds-subject,,,"Hugh, of Saint-Victor, 1096?-1141;Excerpts",http://id.worldcat.org/fast/19501;http://id.worldcat.org/fast/1692837,Q100367;Q3547,,,
Sacraments,ds-subject,,,Sacraments,http://id.worldcat.org/fast/1103083,Q3588,,,
Scrolls,ds-subject,,,,,,Scrolls,http://id.worldcat.org/fast/1109413,Q12687
"Manuscripts, English (Middle)",ds-subject,,,"Manuscripts, English (Middle)",http://id.worldcat.org/fast/1008329,Q328,,,
Family trees,ds-subject,,,Genealogy,http://id.worldcat.org/fast/939652,Q38912,,,
Coats of arms,ds-subject,,,Devices (Heraldry),http://id.worldcat.org/fast/891970,Q48371,,,
Escutcheons (Heraldry),ds-subject,,,Escutcheons (Heraldry),http://id.worldcat.org/fast/915197,Q100368,,,
Knights,ds-subject,,,Knights and knighthood,http://id.worldcat.org/fast/988113,Q7781,,,
Nobility--Genealogy,ds-subject,,,Nobility--Genealogy,http://id.worldcat.org/fast/1038271,Q76521,,,
Calligraphy,ds-subject,,,Calligraphy,http://id.worldcat.org/fast/844368,Q27394,,,
"Manuscripts, Persian",ds-subject,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255,,,
"Calligraphy, Persian",ds-subject,,,"Calligraphy, Persian",http://id.worldcat.org/fast/844444,Q26610,,,
"Manuscripts, Balinese",ds-subject,,,"Manuscripts, Balinese",http://id.worldcat.org/fast/1748339,Q100369,,,
"Epic literature, Indic",ds-subject,,,"Epic literature, Indic",http://id.worldcat.org/fast/913735,Q100370,,,
"Epic poetry, Balinese",ds-subject,,,"Epic poetry, Balinese",http://id.worldcat.org/fast/913827,Q100371,,,
Hindu mythology,ds-subject,,,Hindu mythology,http://id.worldcat.org/fast/1729920,Q27254,,,
Valmiki--Adaptations,ds-subject,,,Vālmīki;Adaptations,http://id.worldcat.org/fast/52334;http://id.worldcat.org/fast/1423910,Q100373;Q100374,,,
Valmiki. Ramayana,ds-subject,,,Rāmāyaṇa (Vālmīki),http://id.worldcat.org/fast/1356702,Q26955,,,
Illustrations,ds-subject,,,illustrations (layout features),http://vocab.getty.edu/aat/300015578,Q19873,,,
Narrative art,ds-subject,,,Narrative art,http://id.worldcat.org/fast/1032941,Q100372,,,
