File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20250421-titles-bec-marc-enriched.csv,Fifty original leaves from medieval manuscripts,,,,,,,
20250421-titles-bec-marc-enriched.csv,Antiphonarium,,,,,,Antiphonary,Q654
20250421-titles-bec-marc-enriched.csv,Gradual,,,,,,Gradual,Q1121
20250421-titles-bec-marc-enriched.csv,"Breviarium, notated",,,,Breviary,Q657,,
20250421-titles-bec-marc-enriched.csv,Initial C from a medieval choirbook,,,,Decorated initial,Q19949,,
20250421-titles-bec-marc-enriched.csv,Missale,,,,,,Missal,Q662
20250421-titles-bec-marc-enriched.csv,Breviarium,,,,,,Breviary,Q657
20250421-titles-bec-marc-enriched.csv,Constitutiones Clementinae,,,,,,Clementine Constitutions,Q20002
20250421-titles-bec-marc-enriched.csv,Graduale,,,,,,Gradual,Q1121
20250421-titles-bec-marc-enriched.csv,Sequentiary,,,,Sequentiary,Q1390,,
20250421-titles-bec-marc-enriched.csv,Hymnal,,,,,,Hymnal,Q666
20250421-titles-bec-marc-enriched.csv,Inventarium iuris canonici]. /,,,,Inventarium iuris canonici,Q100395,,
20250421-titles-bec-marc-enriched.csv,Medieval manuscript leaves,,,,Leaves,Q6031,,
20250421-titles-bec-marc-enriched.csv,Original leaf from an illuminated manuscript on vellum,,Bible,,Illuminated leaf,Q20487,,
20250421-titles-bec-marc-enriched.csv,Book of hours of the Blessed Virgin Mary,,,,Book of hours,Q795,,
20250421-titles-bec-marc-enriched.csv,Manuscript missel on vellum of the XV century [Book of hours] /,,,,Book of hours,Q795,,
20250421-titles-bec-marc-enriched.csv,Manuscript leaves,,,,Leaves,Q6031,,
20250421-titles-bec-marc-enriched.csv,"Divine Office, or, Liturgy of the hours/Opus Dei",,,,Divine Office,Q39382,,
20250421-titles-bec-marc-enriched.csv,"Antiphonal and prayer book; Written in Germany for a chapel under the patronage of St. Cassius, St. Florentius, and St. Mallusius",,,,Antiphonary|Prayer book,Q654|Q1486,,
20250421-titles-bec-marc-enriched.csv,Manuscript leaves from a 15th century Psalter,,,,Psalter,Q660,,
20250421-titles-bec-marc-enriched.csv,"Original leaves from famous Bibles, nine centuries 1121-1935 A.D. ...",,,,,,,
20250421-titles-bec-marc-enriched.csv,"Manuscript on vellum, written in Italy, in the Dominican use, containing musical notation",,,,Music,Q20017,,
