title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Leaf from De finibus bonorum et malorum,,,,,,De finibus bonorum et malorum,Q27735
Leaf from the Llangattock breviary,,Breviary,,,,Breviary;Llangattock Breviary,Q657;Q44092
Leaf from a Qurʼan manuscript,,Qurʼan,,,,Qurʼan,Q3697
"Bible leaf, Daniel",,Bible,,,,Bible,Q661
Cutting from Etymologiae,,,,,,Etymologiae,Q359
"Lease, 1474 May 26, between Jacop Moeylinen and Ghijsel Maes",,,,,,Lease,Q815
Miscellany of sermons] /,,,,,,Sermons,Q1400
Leaf from Ab urbe condita,,Ab urbe condita,,,,History of Rome,Q1324
"Receipt, 1486 July 16, for the final payment of the settlement of the late King Louis XI",,,,,,Receipt,Q5981
Prayer book leaf,,,,,,Prayerbook leaf,Q27734
Fragments from Renaut de Montauban,,,,,,Fragments from Renaut de Montauban,Q27564
Leaf from a Coptic Arabic Lent Lectionary,,,,Coptic-Arabic lectionary,Q27747,,
Book of hours; Use in Paris,,Book of hours,,Book of hours,Q795,,
Breviary leaves,,Breviary,,,,Breviary,Q657
Manuscript leaf from a 13th century French glossed Bible,,Bible,,,,Bible,Q661
L'abbaye cistercienne de Cambron legal dispute,,,,,,Legal dispute,Q27626
Manuscript leaf from a French pocket Bible,,Bible,,,,Bible,Q661
Antiphonary for Palm Sunday,,Antiphonary,,,,Antiphonary,Q654
Processional,,,,,,Processional,Q1336
Book of Hours,,,,,,Book of hours,Q795
"Donation, 1222 August, rent of ten Tournai sous, to Abbaye-Aux Dames",,,,,,Donation,Q8307
"Pseudo-Gilbertus, Liber Sex Principiorum; manuscript leaf",,,,,,Liber sex Principiorum,Q27571
Dominican Sisters' office book,,,,,,Office,Q1467
Obit book of the Parish Church of Saint-Martin and Saint-Magne in Nangis,,,,,,Obituaries,Q27793
Tractatus de varys et virtutibus,,,,,,On virtue,Q27780
S[er]mo[n]es gl[ori]osi B[er]nardi de cena Do[mini] Yh[es]u,,,,,,Sermons,Q1400
In festo corpis xpi [christi] ad us[um] d[om]i[n]i,,Breviary (Dominican),,,,Breviary,Q657
Missal abreviatum,,Missal,,,,Missal,Q662
Gradual leaf,,Gradual,,,,Gradual,Q1121
Bull of Pope Sixtus IV,,Literae de gratia (6 Aug. 1484),,,,Papal bull,Q1362
Noted Missal,,Missal,,,,Missal,Q662
"Receipt, 1401 July 26, of Pierre de Traville from Guillaument le Moine",,,,,,Receipt,Q5981
Vocabularium,,,,,,Vocabularium,Q27526
Excerpts from The golden legend and Sermones de tempore] /,,Legenda aurea,,,,Golden Legend;Sermones de tempore,Q7220;Q39773
Breviary fragment,,Breviary,,,,Breviary,Q657
"Bible leaf, Tobit",,Bible,,,,Bible,Q661
Psalter in Latin,,,,,,Psalter,Q660
