material_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Parchment Codex.,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
Parchment and Paper Codex.,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31,,,
Paper Codex.,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
Paper,,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"Manuscript on vellum,",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
On parchment.,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
Parchment.,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
Manuscript on parchment,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
Parchment manuscript,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
Parchment manuscript.,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
Vellum manuscript.,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
