title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
Princeton Ethiopic Manuscript No. 1: Psalter. Dawit,,,,Psalter,Q660
Psalms,,,,Psalms,Q5972
Canticles of the Prophets of the Old and New Testaments,,,,Canticles,Q48572
Song of Songs,,,,Song of Solomon,Q38389
"Excerpts of Praise of Mary, Wəddase Maryam",,,,Praise of Mary,Q100775
Princeton Ethiopic Manuscript No. 2: Psalter. Dawit,,,,Psalter,Q660
Nicene Creed,,,,Nicene Creed,Q20418
Concluding Prayer,,,,Prayer,Q20014
"Excerpts of Unidentified Texts, Probably Image of Egzi'abəher Ab, Image of the Holy Savior, and Image of the Icon of Mary",,,,Religious texts,Q5037
Praise of Mary (Wəddase Maryam),,,,Praise of Mary,Q100775
Monday,,,,,
Tuesday,,,,,
Wednesday,,,,,
Thursday,,,,,
Friday,,,,,
Saturday,,,,,
Sunday,,,,,
Gate of Light,,,,Gate of Light,Q100776
Image of Edom,,,,Image of Edom,Q100777
Princeton Ethiopic Manuscript No. 3: Psalter. Dawit,,,,Psalter,Q660
Canticle,,,,Canticles,Q48572
Magical Prayer Against Snake Bite,,,,Prayer;Magical texts,Q20014;Q38350
Princeton Ethiopic Manuscript No. 4: Psalter. Dawit,,,,Psalter,Q660
Text of the Image of the Archangel Saint Gabriel,,,,Image of Saint Gabriel,Q100778
Princeton Ethiopic Manuscript No. 5: Psalter. Dawit,,,,Psalter,Q660
Psalm 38-40,,,,Psalms,Q5972
Psalm 47-49,,,,Psalms,Q5972
Princeton Ethiopic Manuscript No. 6: Psalter. Dawit,,,,Psalter,Q660
Excerpt from Psalter,,,,Psalter,Q660
"Princeton Ethiopic Manuscript No. 7: Image of Saint George (Mälkə'a Giyorgis), Image of the Christian Sabbath (Mälkə'a Sänbätä Kərəstiyan)",,,,Image of Saint George;Image of the Christian Sabbath,Q100779;Q100780
"Image of Saint George, Zä-Säleda Mogäs",,,,Image of Saint George,Q100779
"Image of the Christian Sabbath, Mälkə'a Sänbätä Kərəstiyan",,,,Image of the Christian Sabbath,Q100780
"Hymn to the Church, Sälam Läki Betä Kərəstiyan",,,,Hymn to the Church,Q100781
"Excerpts from the Book of Hours, Lä-Adam Fasikahu",,,,Book of hours,Q795
Princeton Ethiopic Manuscript No. 8: Miracles of Mary (Tä'amrä Maryam),,,,Miracles of Mary,Q100782
First Miracle of Mary,,,,Miracles of Mary,Q100782
Second Miracle of Mary,,,,Miracles of Mary,Q100782
Third Miracle of Mary,,,,Miracles of Mary,Q100782
Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Tenth Miracle of Mary,,,,Miracles of Mary,Q100782
Eleventh Miracle of Mary,,,,Miracles of Mary,Q100782
Twelfth Miracle of Mary,,,,Miracles of Mary,Q100782
Thirteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Fourteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Fifteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Sixteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Seventeenth Miracle of Mary,,,,Miracles of Mary,Q100782
Eighteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Nineteenth Miracle of Mary,,,,Miracles of Mary,Q100782
Twentieth Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-First Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Second Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Third Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Twenty-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
"Princeton Ethiopic Manuscript No. 9: Introductory Rite for Miracles of Mary (Mäqdəmä Tä'amər), from Mu'älläqa",,,,Ritual text;Miracles of Mary,Q100783;Q100782
Introductory Rite from Mu'älläqa,,,,Ritual text,Q100783
Princeton Ethiopic Manuscript No. 10: Gospel of John (Wängel Zä-Yohannəs),,,,Gospel of John,Q665
Princeton Ethiopic Manuscript No. 11: Images (Mälkə'a Guba'e),,,,,
"Prayer To the Holy Church. ""I Salute the Holy Church and I Kiss You by the Kiss (the Love) of the Holy Spirit...""",,,,,
"Image of Mary, Mälkə'a Maryam",,,,Image of Mary,Q100784
"Image of Jesus, Mälkə'a Iyässus",,,,Image of Jesus,Q100785
"Image of Saint Michael, Mälkə'a Mika'el",,,,Image of Saint Michael,Q100786
"Image of Saint George, Mälkə'a Giyorgis, Zä-Säleda Mogäs",,,,Image of Saint George,Q100779
"Mystagogia, Təməhrətä Həbu'a",,,,Mystagogia,Q100787
"Princeton Ethiopic Manuscript No. 12: Praise of Mary (Wəddase Maryam), Gate of Light (Anqäsä Bərhan), Image of Mary (Mälkə'a Maryam)",,,,Praise of Mary;Gate of Light;Image of Mary,Q100775;Q100776;Q100784
Image of Mary (Mälkə'a Maryam),,,,Image of Mary,Q100784
"""Fitawrari [a military title] Gabriel / a Dasai Sensi. Leo. in Fiore""",,,,,
Princeton Ethiopic Manuscript No. 13: Abunä Täklä Mika'el and Wälätä Kidan Codex,,,,,
Prayer of Mary At Golgotha (Zä-Säne Golgota),,,,Prayer,Q20014
Mystigogia (Təməhrətä Həbu'at),,,,Mystagogia,Q100787
Sword of the Divinity (Śäyfä Mäläkot),,,,Sword of the Divinity,Q100788
"Prayer to Jesus (Known as ""Guard Me""), ""Eqäbänni""",,,,Prayer,Q20014
"Prayer to ""God the Luminaries"" (Egzi'abher Zä-Bərhanat)",,,,Prayer,Q20014
Princeton Ethiopic Manuscript No. 14: Psalter. Dawit,,,,Psalter,Q660
Princeton Ethiopic Manuscript No. 15: Anaphora of Mary (Qəddase Maryam),,,,Anaphora,Q39195
Anaphora of Our Lady Mary,,,,Anaphora,Q39195
Calendar Note,,,,Calendar,Q1122
Princeton Ethiopic Manuscript No. 16: Tablets With Engravings of Saints,,,,Tablets With Engravings of Saints,Q100789
Princeton Ethiopic Manuscript No. 17: Tablets With Engravings of Saints,,,,Tablets With Engravings of Saints,Q100789
Princeton Ethiopic Manuscript No. 18: Psalter. Dawit,,,,Psalter,Q660
Gate of Light (Incomplete At End),,,,Gate of Light,Q100776
Princeton Ethiopic Manuscript No. 19: Prayer against the Tongue (Ləsanä Säb'ə),,,,Prayer,Q20014
