language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
ara,,,,,Arabic,Q13955,Q118
Arabic,,,,,Arabic,Q13955,Q118
ota,,,,,Ottoman Turkish,Q36730,Q3104
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic and Turkish in Arabic script,,Arabic;Turkish,Q13955;Q256,Q118;Q4337,,,
In Arabic,,,,,Arabic,Q13955,Q118
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
"Arabic, Ottoman Turkish, and Persian",,Arabic;Ottoman Turkish;Persian,Q13955;Q36730;Q9168,Q118;Q3104;Q120,,,
Persian,,,,,Persian,Q9168,Q120
Chiefly in Arabic with 1 text in Ottoman Turkish,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104,,,
Chiefly in Arabic with a couple of texts in Ottoman Turkish,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104,,,
Arabic and Hausa,,Arabic;Hausa,Q13955;Q56475,Q118;Q100835,,,
Arabic and Javanese in Arabic script,,,,,Arabic;Javanese,Q13955;Q33549,Q118;Q38105
per,,,,,Persian,Q9168,Q120
"Arabic, Persian and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
Ottoman Turkish and Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
