name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,,,,,,,,human,Qutb al-Din al-Shirazi,Q729903,Q12301
"ʻAbd al-Razzāq al-Qāshānī, -1330?",author,,,human,‘Abd al-Razzāq al-Qāshānī,Q11903777,DSNAME5461,Q41906,,,,
"Ṣafāqisī, Ibrāhīm ibn Muḥammad, 1298-1342",author,,,human,Ibrāhīm ibn Muḥammad Ṣafāqisī,Q65227789,DSNAME8665,Q101347,,,,
"Samīn, Aḥmad ibn Yūsuf, -1355",author,,,human,Aḥmad Ibn-Yūsuf as-Samīn al-Ḥalabī,Q113398411,DSNAME8666,Q101348,,,,
"Ḥaddād, Abū Bakr ibn ʻAlī, -1397 or 1398",author,,,,,,,,human,Abū Bakr ibn ʻAlī al-Ḥaddād,Q54875371,Q63907
"Siyawāsī, Aḥmad ibn Maḥmūd, -1455 or 1456",author,,http://id.loc.gov/authorities/names/no2007022716 http://id.loc.gov/authorities/names/no2007022716 http://viaf.org/viaf/sourceID/LC%7cno2007022716,,,,,,human,Aḥmad ibn Maḥmūd Siyawāsī,Q122946981,Q12286
"Makhdūm al-Mahāʼimī, ʿAlī ibn Aḥmad, 1374-1432",author,,,human,ʻAlī ibn Aḥmad Makhdūm al-Mahāʾimī,Q57083182,DSNAME8667,Q101349,,,,
"Ibn ʻĀdil, ʻUmar ibn ʻAlī, 15th cent",author,,,,,,,,,,,
"Maḥallī, Jalāl al-Dīn Muḥammad ibn Aḥmad, 1389-1459",author,,,,,,,,human,Jalaluddin al-Mahalli,Q6758211,Q27965
"Maḥallī, Jalāl al-Dīn Muḥammad ibn Aḥmad, 1389-1459",author,,,,,,,,human,Jalaluddin al-Mahalli,Q6758211,Q27965
