place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Medina,,,,Medina,http://vocab.getty.edu/tgn/7003869,Q11610
al-Khalīl,,,,Hebron,http://vocab.getty.edu/tgn/7029354,Q11621
Pusht-i Bādām,Robāţ-e Posht-e Bādām,http://vocab.getty.edu/tgn/8899268,Q100839,,,
Iṣfahān,,,,Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350
Āqḥiṣār,,,,,,
Marmara,Marmara,http://vocab.getty.edu/tgn/7018450,Q100837,,,
Indonesia?,Indonesia,http://vocab.getty.edu/tgn/1000116,Q38217,,,
Shahrban,,,,,,
Istanbul,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
al-Makkah,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615,,,
Mashhad,,,,Mashhad,http://vocab.getty.edu/tgn/7002247,Q48702
Dimashq,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
al-Mawṣil,Mosul,http://vocab.getty.edu/tgn/7002471,Q3100,,,
Rabāṭ al-Muqtadīyah[?,,,,,,
Miṣr,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Qusṭanṭīnīyah,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
Iṣfahān?,,,,Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350
Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
Damascus?,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626,,,
Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095
Ḥamāh,,,,Ḥamāh,http://vocab.getty.edu/tgn/7002276,Q64090
"al-Khalīl, [",Hebron,http://vocab.getty.edu/tgn/7029354,Q11621,,,
Mawṣil,,,,Mosul,http://vocab.getty.edu/tgn/7002471,Q3100
Damascus and Cairo,Damascus;Cairo,http://vocab.getty.edu/tgn/7002261;http://vocab.getty.edu/tgn/7001215,Q11626;Q3093,,,
Cairo?,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
"Mecca, [",Mecca,http://vocab.getty.edu/tgn/7003870,Q11615,,,
"Cairo, Stara Zagora (Bulgaria) ... etc.",Cairo;Stara Zagora;Bulgaria,http://vocab.getty.edu/tgn/7001215;http://vocab.getty.edu/tgn/1026962;http://vocab.getty.edu/tgn/7006413,Q3093;Q100836;Q52677,,,
Caucasus,,,,Caucasus,http://vocab.getty.edu/tgn/7016642,Q39905
Samarqand,,,,Samarkand,http://vocab.getty.edu/tgn/7012290,Q3098
Syria,,,,Syria,http://vocab.getty.edu/tgn/1000140,Q3096
Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Dizfūl,Dezfūl,http://vocab.getty.edu/tgn/1079062,Q100840,,,
Bukhārá,Bukhara,http://vocab.getty.edu/tgn/7016820,Q100838,,,
Ṣāliḥīyah,Şāliḩīyah,http://vocab.getty.edu/tgn/7594294,Q100841,,,
Baghdad,,,,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
Mecca,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
"Üsküdar [Istanbul, Turkey",Üsküdar;Istanbul;Turkey,http://vocab.getty.edu/tgn/1085853;http://vocab.getty.edu/tgn/7002473;http://vocab.getty.edu/tgn/1000144,Q52685;Q11605;Q3079,,,
Shīrāz,,,,Shiraz,http://vocab.getty.edu/tgn/7002148,Q27484
