name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Erzurumlu İbrâhim Hakkı, 1703-1780?",author,"ارزرملى ابراهيم حقي, 1703-1780?",,human,İbrahim Hakkı Erzurumi,Q2729985,DSNAME4162,Q40607,,,,
Muṣṭafá ibn Meḥmed,scribe,محمد مصطفى بن,,,,,,,,,,
"Kâtip Çelebi, 1609-1657",author,"كاتب چلبى, 1609-1657",,,,,,,human,Kâtip Çelebi,Q390123,Q54789
"Fox, Helen Morgenthau, 1884-1974",former owner,,,human,Helen Morgenthau Fox,Q13562995,DSNAME8661,Q100842,,,,
"Cartwright, Janet",former owner,,,,,,,,,,,
"Fair, Ethel M.",former owner,,,human,Ethel M. Fair,Q56650445,DSNAME8662,Q100843,,,,
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان، 1404-1465,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Sturm, Ernest, 1878-1936",former owner,,,human,Ernest M. Sturm,Q134721714,DSNAME8663,Q100844,,,,
"Amīr Khusraw Dihlavī, approximately 1253-1325",author,,,,,,,,human,Amir Khosrow,Q207817,Q18702
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,,,,,,,,human,Nizami Ganjavi,Q234908,Q16480
"Thurston, Ada",former owner,,,human,Ada Thurston,Q112503761,DSNAME8664,Q100845,,,,
