subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan, 1205 or 1206-1277. Sharāʼiʻ al-Islām",0,a;d;t,http://id.loc.gov/authorities/names/n96066652,"Sharāʼiʻ al-Islām (Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan)",http://id.worldcat.org/fast/1370927,Q103475,,,
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520. Manhaj al-ṭullāb",0,a;d;t,,,,,"Fatḥ al-Wahhāb bi-sharḥ Manhaj al-ṭullāb (Anṣārī, Zakarīyā ibn Muḥammad)",http://id.worldcat.org/fast/1378040,Q11329
"Khalīl ibn Isḥāq al-Jundī, -1365? Mukhtaṣar",0,a;d;t,http://id.loc.gov/authorities/names/n85237261,,,,Mukhtaṣar (Khalīl ibn Isḥāq al-Jundī),http://id.worldcat.org/fast/1363458,Q100872
"Ḥamzah, Maḥmūd ibn Muḥammad Nasīb, 1820 or 21-1887 or 8. Taṣḥīḥ al-nuqūl fī samāʻ daʻwá al-marʼah li-kull muʻajjal baʻd al-dukhūl",0,a;d;t,,,,,,,
"Mufīd, Muḥammad ibn Muḥammad, -1022. Muqniʻah",0,a;d;t,http://id.loc.gov/authorities/names/n84077365,,,,"Muqniʻah (Mufīd, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1365554,Q64104
"Muḥammad, Prophet, -632--Name--Early works to 1800",0,a;c;d--x--v,,,,,"Muḥammad, Prophet, -632;Names, Personal;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1032478;http://id.worldcat.org/fast/1411636,Q3639;Q48949;Q300
"Muḥammad, Prophet, -632--Devotional literature--Early works to 1800",0,a;c;d--x--v,,,,,"Muḥammad, Prophet, -632;Devotional literature;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/892015;http://id.worldcat.org/fast/1411636,Q3639;Q2950;Q300
"Khabbāzī, ʻUmar ibn Muḥammad, 1231 or 1232-1292. Mughnī fī uṣūl al-fiqh--Commentaries--14th century",0,a;d;t--v--y,,Commentaries;Fourteenth century,http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/933420,Q2812;Q295,,,
"Tanqīḥ al-uṣūl (Maḥbūbī, ʻUbayd Allāh ibn Masʻūd)",fast,a,,,,,"Tanqīḥ al-uṣūl (Maḥbūbī, ʻUbayd Allāh ibn Masʻūd)",http://id.worldcat.org/fast/1381675,Q11426
"Maḥbūbī, ʻUbayd Allāh ibn Masʻūd, -1346 or 1347. Tanqīḥ al-uṣūl",0,a;d;t,,,,,"Tanqīḥ al-uṣūl (Maḥbūbī, ʻUbayd Allāh ibn Masʻūd)",http://id.worldcat.org/fast/1381675,Q11426
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310. Manār al-Anwār--Commentaries--14th century",0,a;d;t--v--y,,"Manār al-anwār fī al-uṣūl (Nasafī, ʻAbd Allāh ibn Aḥmad);Commentaries;Fourteenth century",http://id.worldcat.org/fast/1383700;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/933420,Q3573;Q2812;Q295,,,
