name_as_recorded,role,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Baḥrānī, Yūsuf, -1772?",author,,human,Yusuf al-Bahrani,Q4120506,DSNAME7553,Q67839,,,,
"Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan, 1205 or 1206-1277",author,,,,,,,human,Muhaqqiq al-Hilli,Q6932995,Q41297
"Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan, 1205 or 1206-1277",author,,,,,,,human,Muhaqqiq al-Hilli,Q6932995,Q41297
"Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan, 1205 or 1206-1277",author,,,,,,,human,Muhaqqiq al-Hilli,Q6932995,Q41297
"Muḥaqqiq al-Thānī, ʻAlī ibn al-Ḥusayn, 1463 or 1464-1533 or 1534",author,,human,ʻAlī ibn al-Ḥusayn Muḥaqqiq al-Thānī,Q6402302,DSNAME8739,Q103582,,,,
"Nūr al-Dīn al-Ḥalabī, ʻAlī ibn Ibrāhīm, 1567 or 1568-1635",author,,,,,,,human,ʻAlī Ḥasan ʻAlī ʻAbd al-Ḥamīd,Q12198098,Q12393
"Ibn Ghāzī, Muḥammad ibn Aḥmad, 1437 or 1438-1513",author,,,,,,,human,Ibn Ghazi al-Miknasi,Q10299689,Q27944
"Zuwaytīnī, Aḥmad ibn ʻAqīl, 1847 or 1848-1898",author,,human,Ahmad ibn Aqil al-Zuwaytini,Q108601659,DSNAME8740,Q103583,,,,
"Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf, 1250-1325",author,,,,,,,human,Al-Hilli,Q290506,Q40924
"Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf, 1250-1325",author,,,,,,,human,Al-Hilli,Q290506,Q40924
"Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?",author,,human,Shaykh Tusi,Q4116347,DSNAME7510,Q67796,,,,
"Ibn Ṭāwūs, ʻAlī ibn Mūsá, 1193-1266",author,,,,,,,human,Sayyed Ibn Tawus,Q10296786,Q49142
"Ibn Hubayrah, Yaḥyá ibn Muḥammad, -1165",author,,human,Awn ad-Din ibn Hubayra,Q2874698,DSNAME8741,Q103584,,,,
"ʻĀlim ibn ʻAlāʼ, -1384 or 1385",author,,,,,,,human,ʻĀlim ibn ʻAlāʼ,Q105895174,Q64028
"Ibn Qāʼānī, Manṣūr ibn Aḥmad, d. 1373 or 4",author,,human,Manṣūr ibn Aḥmad Ibn Qāʼānī,Q135441839,DSNAME8742,Q103585,,,,
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,http://id.loc.gov/authorities/names/n82144374,,,,,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449,Q12308
"ʻUlufī, Aḥmad ibn Ismāʻīl, -1865 or 1866",author,,human,Aḥmad ibn Ismāʻīl ʻUlufī,Q135441840,DSNAME8743,Q103586,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?",author,,,,,,,human,Taftazani,Q764947,Q12298
"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz",author,,,,,,,human,ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz ibn Malak,Q116418873,Q3794
