place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Iṣfahān,,,,Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350
"Mashhad, [",Mashhad,http://vocab.getty.edu/tgn/7002247,Q48702,,,
"Harāt, [",Herat,http://vocab.getty.edu/tgn/7002243,Q3092,,,
"Edirne?, [",Edirne,http://vocab.getty.edu/tgn/7002317,Q52680,,,
Egypt?,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
"Cairo, [",Cairo,http://vocab.getty.edu/tgn/7001215,Q3093,,,
Jerusalem?,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
Tabrīz,,,,Tabriz,http://vocab.getty.edu/tgn/7002156,Q27491
1864,,,,,,
Dimashq,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Karbalāʼ,Karbalā',http://vocab.getty.edu/tgn/1001343,Q103459,,,
Mashhad,,,,Mashhad,http://vocab.getty.edu/tgn/7002247,Q48702
Caucasus,,,,Caucasus,http://vocab.getty.edu/tgn/7016642,Q39905
Dāghistān,Dagestan,http://vocab.getty.edu/tgn/7011494,Q40042,,,
Ardabīl,Ardabīl,http://vocab.getty.edu/tgn/7002103,Q103460,,,
Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Fayḍābād,,,,,,
Sivas,Sivas,http://vocab.getty.edu/tgn/7002621,Q103463,,,
Aradabīl,Ardabīl,http://vocab.getty.edu/tgn/7002103,Q103460,,,
Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
between 16--? and 17--?,,,,,,
Hamadān,,,,Hamadan,http://vocab.getty.edu/tgn/7002115,Q48701
Dāmghān,Dāmghān,http://vocab.getty.edu/tgn/7002112,Q103461,,,
Kirmān,Kerman,http://vocab.getty.edu/tgn/7002134,Q103462,,,
Mecca?,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
Dagestan?,Dagestan,http://vocab.getty.edu/tgn/7011494,Q40042,,,
"Qusṭanṭinīyah, [",Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605,,,
"Mecca, [",,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
Alāsht,,,,,,
between 187-? and 189-?,,,,,,
