title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Ḥajj min Kitāb al-Ḥadāʼiq,كتاب الحج من كتاب الحدائق,Ḥadāʼiq al-nāḍirah fī aḥkām al-ʻitrah al-ṭāhirah,حدائق الناضرة في احكام العترة الطاهرة,Ḥadāʼiq al-nāḍirah fī aḥkām al-ʻitrah al-ṭāhirah,Q103544,,
Sh]arāyiʻ al-Islām fī qawāʻid al-ḥalāl wa-al-ḥarām,شرايع الاسلام في قواعد الحلال والحرام,Sharāʼiʻ al-Islām,شرائع الاسلام,Sharāʼiʻ al-Islām,Q103545,,
Kitāb Sharāyiʻ al-Islām fī masāʼil al-ḥalāl wa-al-ḥarām /,كتاب شرايع الاسلام في مسائل الحلال والحرام /,Sharāʼiʻ al-Islām,شرائع الاسلام,Sharāʼiʻ al-Islām,Q103545,,
Sharāʼiʻ al-Islām fī qawāʻid al-ḥalāl wa-al-ḥarām,,,,Texts on Islamic law,Q12197,,
Ḥāshiyat Sharāʼiʻ al-Islām wa-al-muslimīn,حاشية شرائع الاسلام والمسلين,,,Texts on Islamic law,Q12197,,
Ḥāshiyah ʻalá Sharḥ al-Manhaj,,,,Texts on Islamic law,Q12197,,
Shifāʼ al-ghalīl fī ḥall muqaffal Khalīl,,,,Texts on Islamic law,Q12197,,
Ṣarīḥ al-manqūl fī radd Taṣḥīḥ al-nuqūl /,,,,Texts on Islamic law,Q12197,,
Tabṣirat al-mutaʻallimīn fī aḥkām al-dīn,تبصرة المتعلمين في احكام الدين,,,Texts on Islamic law,Q12197,,
Tadhkirat al-fuqahaʼ,,,,Tadhkirat al-fuqahaʼ,Q103546,,
Tadhkirat al-fuqahāʼ,,,,Tadhkirat al-fuqahaʼ,Q103546,,
Tahdhīb al-aḥkām,,,,Tahdhīb al-aḥkām,Q67214,,
Kitāb al-Ṭarāʼif fī maʻrifat madhāhib al-ṭawāʼif /,كتاب الطرائف في معرفة مذاهب الطوائف /,Ṭarāʼif fī maʻrifat madhāhib al-ṭawāʼif,طرائف في معرفة مذاهب الطوائف,Texts on Islamic law,Q12197,,
Kitāb al-Ifṣāḥ ʻalá al-madhāhib al-arbaʻah /,كتاب الافصاح على المذاهب الاربعة /,Ifṣāḥ ʻan maʻānī al-ṣiḥāḥ,افصاح عن معاني الصحاح,Texts on Islamic law,Q12197,,
al-Qiṭʻah al-ūlá min al-Fatāwá al-Tātārkhānīyah min awwal Kitāb al-ṭahārah ilá Kitāb al-nikāḥ,القطعة الولى من الفتاوى التاتارخانية من اول كتاب الطهارة الى كتاب النكاح,Fatāwá al-Tātārkhānīyah,فتاوى التاتارخانية,Texts on Islamic law,Q12197,,
Sharḥ al-Mughnī fī uṣūl al-fiqh,شرح المغني في اصول الفقه,,,Text on jurisprudence,Q64062,,
Manār al-anwār,منار الانوار,,,Manār al-anwār,Q64061,,
