language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
ara,,,,,Arabic,Q13955,Q118
"Ottoman Turkish, Persian and Arabic",,Ottoman Turkish;Persian;Arabic,Q36730;Q9168;Q13955,Q3104;Q120;Q118,,,
Arabic,,,,,Arabic,Q13955,Q118
"In Arabic, with one page in Persian",,Arabic;Persian,Q13955;Q9168,Q118;Q120,,,
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
per,,,,,Persian,Q9168,Q120
In Arabic,,,,,Arabic,Q13955,Q118
Ottoman Turkish and Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
"Arabic, Persian, and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
ara,,,,,Arabic,Q13955,Q118
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic,,,,,Arabic,Q13955,Q118
ota,,,,,Ottoman Turkish,Q36730,Q3104
"In Arabic, Ottoman Turkish and Persian",,Arabic;Ottoman Turkish;Persian,Q13955;Q36730;Q9168,Q118;Q3104;Q120,,,
Arabic and Urdu,,Arabic;Urdu,Q13955;Q1617,Q118;Q27496,,,
Pushto,,Pashto,Q58680,Q48679,,,
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Urdu,,Urdu,Q1617,Q27496,,,
"Arabic, Persian and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
Turkmen in Arabic script,,Turkmen;Arabic,Q106562;Q13955,Q9267;Q118,,,
urd,,,,,Urdu,Q1617,Q27496
Chagatai,,,,,Chagatai,Q36831,Q42445
In Chagatai,,Chagatai,Q36831,Q42445,,,
per,,,,,Persian,Q9168,Q120
"Arabic, Ottoman Turkish and Persian",,Arabic;Ottoman Turkish;Persian,Q13955;Q36730;Q9168,Q118;Q3104;Q120,,,
