subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Conceptionists,ds-subject,,,Conceptionists,http://id.worldcat.org/fast/544576,Q108123,,,
Rufardus,ds-subject,,,,,,,,
Petrus Textor,ds-subject,,,,,,,,
Johannes filius Roberti de Cruce,ds-subject,,,,,,,,
Elizabeth I,ds-subject,,,"Elizabeth I, Queen of England, 1533-1603",http://id.worldcat.org/fast/39609,Q108124,,,
"Edward Courtenay (1526-1556), 1st Earl of Devon",ds-subject,,,"Devonshire, Edward Courtenay, Earl of, 1526-1556",http://id.worldcat.org/fast/1635163,Q108125,,,
Count Brunorius de Gambara,ds-subject,,,,,,,,
William Fitzwilliam,ds-subject,,,,,,,,
N. Baconn,ds-subject,,,,,,,,
"Anne des Ursins, maybe Anne L’Orfèvre (d.1561)",ds-subject,,,,,,,,
