name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Sakkāʼī, ʻAbd al-Kāẓim ibn ʻAbd al-ʻAlī",author,,,,,,,,,,,
"Kāzarūnī, Muḥammad ibn Masʻūd, -1357",author,,,human,Sadid al-Din al-Kazaruni,Q4116936,DSNAME8949,Q108522,,,,
"Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm, 1210 or 1211-1288",author,,,,,,,,human,Ibn al-Nafis,Q319146,Q12411
"Nafīs ibn ʻIwaḍ, -approximately 1449",author,,,,,,,,human,Nafīs ibn ʻIwaḍ,Q120599075,Q41312
"Ibn Hubal, ʻAlī ibn Aḥmad, 1122-1213",author,,,human,Ibn Habal,Q5984213,DSNAME8950,Q108523,,,,
"Khafrī, Muḥammad ibn Aḥmad, active 1526",author,,,,,,,,human,Muḥammad Ibn-Aḥmad al- Ḫafrī,Q113795196,Q106650
"Qāḍīʹzādah, Mūsá ibn Muḥammad, -approximately 1436",author,,http://id.loc.gov/authorities/names/nr90001949,,,,,,human,Qāḍī Zāda al-Rūmī,Q1386256,Q3209
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Ṭihrānī, Muḥammad ibn al-Ḥusayn, active 17th century",author,,,human,Muḥammad ibn al-Ḥusayn Ṭihrānī,Q136458668,DSNAME8951,Q108524,,,,
"Ṭihrānī, Muḥammad ibn al-Ḥusayn, active 17th century",author,,,human,Muḥammad ibn al-Ḥusayn Ṭihrānī,Q136458668,DSNAME8951,Q108524,,,,
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm, 1210 or 1211-1288",author,,,,,,,,human,Ibn al-Nafis,Q319146,Q12411
"Ibn al-Nafīs, ʻAlī ibn Abī al-ḥazm, 1210 or 11-1288",author,,,human,Ibn al-Nafis,Q319146,DSNAME1881,Q12411,,,,
"Shabrāmallisī, Muḥammad ibn ʻAlī, active 17th century",author,شبراملسي، محمد بن علي، active 17th century,,,,,,,,,,
"Tālijī, Muḥyī al-Dīn",author,طالجي، محيي الدين,,human,Muḥyī al-Dīn Tālijī,Q136458662,DSNAME8952,Q108526,,,,
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576",author,اخضري، عبد الرحمن بن محمد,,human,Ahdari,Q4702171,DSNAME8953,Q108527,,,,
"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048",author,,,,,,,,human,Al-Biruni,Q11826,Q3744
"Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm, 1210 or 1211-1288",author,ابن النفيس، علي بن ابي الحزم، 1210 or 1211-1288,,,,,,,human,Ibn al-Nafis,Q319146,Q12411
"Ibn Khalṣūn, Muḥammad ibn Yūsuf",author,ابن خلصون، محمد بن يوسف,,human,Muḥammad ibn Yūsuf Ibn Khalṣūn,Q136458534,DSNAME8954,Q108528,,,,
"Harawī, Aḥmad ibn Muḥammad, -1010 or 1011",author,هروي، احمد بن محمد,,,,,,,human,Aḥmad ibn Muḥammad Harawī,Q134705567,Q101402
"Majūsī, ʻAlī ibn al-ʻAbbās, active 10th century-11th century",author,مجوسي، علي بن العباس,http://id.loc.gov/authorities/names/n86828307,,,,,,human,'Ali ibn al-'Abbas al-Majusi,Q543191,Q7082
"Majūsī, ʻAlī ibn al-ʻAbbās, active 10th century-11th century",author,مجوسي، علي بن العباس,http://id.loc.gov/authorities/names/n86828307,,,,,,human,'Ali ibn al-'Abbas al-Majusi,Q543191,Q7082
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسي، نصير الدين محمد بن محمد,http://id.loc.gov/authorities/names/n82136884,,,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد. السيد الشريف,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Ulugh Beg, 1394-1449",author,,,,,,,,human,Ulugh Beg,Q486088,Q28034
"Iṣfahānī, Maḥmūd ibn ʻAbd al-Raḥmān, 1275 or 1276-1348 or 1349",author,اصفهاني، محمود بن عبد الرحمن,http://id.loc.gov/authorities/names/nr91044051,,,,,,human,Mahmud ibn Abd al-Rahman al-Isfahani,Q57970695,Q12306
"Fārisī, ʻImād ibn Yaḥyá, -1494 or 1495",author,,,,,,,,human,ʻImād ibn Yaḥyá Fārisī,Q131398891,Q68316
"ʻIṣām al-Asfarāyīnī, Ibrāhīm ibn Muḥammad, 1468 or 1469-1538 or 1539",author,,,,,,,,human,Ibrāhīm ibn Muḥammad ʻIṣām al-Asfarāyīnī,Q25452064,Q12363
"Qūjawī, Dāwūd ibn Kamāl, -1541 or 1542",author,,,,,,,,human,Dāwūd ibn Kamāl Qūjawī,Q130374962,Q54776
"Siyālkūtī, ʻAbd al-Ḥakīm ibn Shams al-Dīn, -1656",author,,,,,,,,human,ʻAbd al-Ḥakīm ibn Shams al-Dīn Siyālkūtī,Q129951519,Q54171
"Uskudārī, Muḥammad Amīn ibn ʻAbd al-Ḥayy, -1736 or 1737",author,,,human,Muḥammad Amīn ibn ʻAbd al-Ḥayy Uskudārī,Q136458535,DSNAME8955,Q108529,,,,
"Tūqādī, ʻUmar ibn Ṣāliḥ, -1848 or 1849",author,,,human,ʻUmar ibn Ṣāliḥ Tūqādī,Q136458536,DSNAME8956,Q108530,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?",author,,,,,,,,human,Taftazani,Q764947,Q12298
"Qarajah Aḥmad, -1450 or 1451",author,,,human,Qarajah Aḥmad,Q136458644,DSNAME8957,Q108531,,,,
"Mustārī, Muṣṭafá ibn Yūsuf, d. 1707 or 8",author,,,,,,,,,,,
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,,,,,,,,human,Qutb al-Din Razi,Q5934574,Q41551
"Hacı Paşa, -1423?",author,,,human,Hacı Paşa,Q59619558,DSNAME8958,Q108532,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"ʻAjamī, ʻAlī, -1455 or 1456",author,,,human,ʻAlī ʻAjamī,Q136458616,DSNAME8959,Q108533,,,,
"Saʻīdī, Mīr Abū al-Fatḥ ibn Makhdūm, active 16th century",author,,,,,,,,human,Mīr Abū al-Fatḥ ibn Makhdūm Saʻīdī,Q129951591,Q54220
"Qarah Khalīl, -1711 or 1712",author,,,human,Qarah Khalīl,Q136458632,DSNAME8960,Q108536,,,,
"Marʻashī, ʻAlī ibn Faḍl Allāh, 18th cent",author,,,human,ʻAlī ibn Faḍl Allāh Marʻashī,Q136458537,DSNAME8961,Q108537,,,,
"Nithārī, Muḥammad ibn ʻAbd Allāh, -1774 or 1775",author,,,,,,,,human,Muḥammad ibn ʻAbd Allāh Nithārī,Q125099237,Q54137
"Kalanbawī, Ismāʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,,,,,,human,Gelenbevi Ismail Efendi,Q5530412,Q106643
"Kānqarī, ʻAbd Allāh ibn Ḥasan",author,,,human,ʻAbd Allāh ibn Ḥasan Kānqarī,Q136458538,DSNAME8962,Q108534,,,,
"Khalkhālī, Ḥusayn al-Ḥusaynī, -1605",author,,,,,,,,human,Ḥusayn al-Ḥusaynī Khalkhālī,Q131398924,Q68411
"Shirwānī, Ṣadr al-Dīn",author,,,human,Sadreddinzade Şirvani,Q12842271,DSNAME5216,Q41661,,,,
"Shīrāzī, ʻAbd al-Raḥmān, 16th cent",author,,,,,,,,,,,
"Yazdī, ʻAbd Allāh ibn al-Ḥusayn, -1606 or 1607",author,,,,,,,,human,Abdullah Yazdi,Q5847560,Q42659
"Khabīṣī, ʻUbayd Allāh ibn Faḍl Allāh, -approximately 1640",author,,,human,ʻUbayd Allāh ibn Faḍl Allāh Khabīṣī,Q136458539,DSNAME8963,Q108539,,,,
"ʻUlaymī, Yāsīn ibn Zayn al-Dīn, -1650 or 1651",author,,,,,,,,human,Yāsīn ibn Zayn al-Dīn ʻUlaymī,Q129951552,Q54192
"Ṣafawī, ʻĪsá ibn Muḥammad, 1494 or 1495-1546 or 1547",author,,,,,,,,human,Qutb al-Din al-Safawi,Q57477040,Q101353
"Fārābī, Muḥammad ibn ʻAbd Allāh",author,,,,,,,,,,,
"Sanūsī, Muḥammad ibn Yūsuf, approximately 1427-approximately 1490",author,,http://id.loc.gov/authorities/names/n84016675 http://id.loc.gov/authorities/names/n84016675 http://viaf.org/viaf/sourceID/LC%7cn84016675,,,,,,human,Muhammad ibn Yusuf al‐Sanusi,Q3478584,Q12458
"Chillī, ʻUmar ibn Aḥmad, fl. 1710",author,,,human,ʻUmar ibn Aḥmad Chillī,Q136458540,DSNAME8964,Q108535,,,,
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576",author,,,human,Ahdari,Q4702171,DSNAME8953,Q108527,,,,
"Fārūqī, Muḥammad Mubārak ibn Muḥammad Dāʼim, -1748 or 1749",author,,,human,Muḥammad Mubārak ibn Muḥammad Dāʼim Fārūqī,Q136458541,DSNAME8965,Q108540,,,,
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763",author,,http://id.loc.gov/authorities/names/nr91027348,,,,,,human,Muḥammad ibn Muṣṭafá Khādimī,Q12178022,Q41064
"Ṣafawī, Muḥammad Irtiḍā ʻAlī Khān, 1783 or 1784-1853 or 1854",author,,,human,Muḥammad Irtiḍā ʻAlī Khān Ṣafawī,Q136458543,DSNAME8966,Q108541,,,,
"Kalanbawī, Ismaʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,human,Gelenbevi Ismail Efendi,Q5530412,DSNAME8865,Q106643,,,,
