name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Pietro d’Abano (c. 1250-1316),author,,,human,Pietro d'Abano,Q313174,DSNAME5803,Q42276,,,,
Thomas a Kempis,author,,,,,,,,human,Thomas à Kempis,Q220976,Q41760
Conrad of Saxony,author,,,,,,,,human,Conrad of Saxony,Q3694359,Q40459
Robert Grosseteste,author,,,,,,,,human,Robert Grosseteste,Q256541,Q6143
Hugh of Saint-Victor,author,,,human,Hugh of Saint Victor,Q317554,DSNAME347,Q1511,,,,
Arnold of Villanova,author,,,human,Arnaldus de Villa Nova,Q356568,DSNAME186,Q459,,,,
"Cochran, John (c. 1837), bookseller",former owner,,,human,John Cochran,Q28026214,DSNAME2573,Q17781,,,,
"Leslie, John (c. 1840), bookseller",former owner,,,,,,,,,,,
Pseudo-Hugh of St. Victor,author,,,,,,,,,,,
"Johannes
Brubach",scribe,,,,,,,,,,,
"Beguines of Kamp, near Boppard (diocese of Trier)",former owner,,,,,,,,,,,
Johann Kraft Hiegell (1658-1736),former owner,,,human,Johann Crato Hiegel,Q14540450,DSNAME8939,Q108140,,,,
Conceptionists,author,,,organization,Order of the Immaculate Conception,Q175344,DSNAME8786,Q103629,,,,
Prosper Tiro Aquitanus,author,,,human,Prosper of Aquitaine,Q454652,DSNAME421,Q1585,,,,
"Swann Galleries, New York (1990)",former owner,,,organization,Swann Galleries,Q7653610,DSNAME8940,Q108141,,,,
Rev. Milton S. Carothers (d. 2004),former owner,,,human,Milton S. Carothers,Q136221949,DSNAME8941,Q108142,,,,
Strozier Library at Florida State University,former owner,,,organization,Robert Manning Strozier Library,Q35188490,DSNAME8942,Q108143,,,,
Gabra Madhen,scribe,,,,,,,,,,,
Mahdara Maryam (church),former owner,,,organization,Māḫdara Māryām Church,Q136221923,DSNAME8943,Q108144,,,,
Yohannes Walda Nagwadgwad,former owner,,,,,,,,,,,
Gabra Sellase,former owner,,,,,,,,,,,
Jacobus Mediolanensis,author,,,,,,,,human,James of Milan,Q41569767,Q40966
Hiram Sibley,former owner,,,human,Hiram Sibley,Q3136211,DSNAME8944,Q108145,,,,
Dominican Convent at Maria Medingen,former owner,,,organization,Medingen Abbey,Q15252661,DSNAME5557,Q42002,,,,
Hugo de Folieto,author,,,,,,,,human,Hugh of Fouilloy,Q5631,Q1576
Guglielmo Libri,former owner,,,human,Guglielmo Libri Carucci dalla Sommaja,Q1251586,DSNAME109,Q382,,,,
Patrick Brady,former owner,,,,,,,,,,,
"St. Joseph's Seminary at Dunwoodie, NY",former owner,,,organization,Saint Joseph's Seminary,Q7401528,DSNAME8945,Q108146,,,,
François Veyrier,former owner,,,,,,,,,,,
"Confraternity of the Five Wounds at the Church of Saint-Pierre-La-Tour, Le-Puy-en-Velay",former owner,,,,,,,,,,,
Bibliotheque Seminaire de Notre Dame de Puy,former owner,,,,,,,,,,,
Les Enluminures,former owner,,,,,,,,organization,Enluminures,Q120442746,Q16484
"Richarde H Ffrancis, fl. ca. 16th c.",former owner,,,,,,,,,,,
"Robert Benson, fl. Ca, 18th c.",former owner,,,,,,,,,,,
D. Justin McCann,former owner,,,,,,,,,,,
"Ampleforth Abbey, North Yorkshire",former owner,,,organization,Ampleforth Abbey,Q3012194,DSNAME6009,Q42701,,,,
Gratian,author,,,,,,,,human,Gratian,Q549041,Q1588
William of Auvergne,author,,,human,William of Auvergne,Q1347826,DSNAME4378,Q40823,,,,
Filippo Barbarigo,former owner,,,,,,,,,,,
Sam Fogg,former owner,,,,,,,,organization,Sam Fogg Rare Books & Manuscripts,Q116189818,Q27872
Robert B. Honeyman,former owner,,,,,,,,,,,
H. P. Kraus,former owner,,,human,Hans P. Kraus,Q85506,DSNAME3006,Q20316,,,,
Joost R. Ritman,former owner,,,human,Joost Ritman,Q936962,DSNAME3069,Q27858,,,,
Cistercian Abbey of Barbeau,former owner,,,organization,Barbeau Abbey,Q838634,DSNAME8946,Q108147,,,,
Maurice de Sully,author,,,human,Maurice de Sully,Q727818,DSNAME7364,Q67610,,,,
William de Blois,author,,,,,,,,,,,
Pseudo-Jerome,author,,,,,,,,human,Pseudo-Jerome,Q7254413,Q41527
Pierre de Maucreux,author,,,human,Pierre de Maucreux,Q121842620,DSNAME8947,Q108148,,,,
Guillaume de Maucreux,author,,,,,,,,,,,
William of Auxerre,author,,,human,William of Auxerre,Q931898,DSNAME1472,Q7633,,,,
Cicero,author,,,,,,,,human,Cicero,Q1541,Q1813
Marcus Lauredano (notary),scribe,,,,,,,,,,,
"Northumberland, Henry Percy, Earl of, 1564-1632",author,,http://id.loc.gov/authorities/names/n88122601,,,,,,human,"Henry Percy, 9th Earl of Northumberland",Q359143,Q5108
Thomas Stanley,scribe,,,,,,,,,,,
"Nottingham, Charles Howard, Earl of, approximately 1536-1624",author,,,human,"Charles Howard, 1st Earl of Nottingham",Q954089,DSNAME8948,Q108149,,,,
