place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
German (Rhineland) or Southeastern Netherlands,Rhineland;Netherlands,http://vocab.getty.edu/tgn/7003683;http://vocab.getty.edu/tgn/7016845,Q1305;Q651,,,
"Low Countries, near Brussels?",Low Countries;Brussels,http://vocab.getty.edu/tgn/7029439;http://vocab.getty.edu/tgn/7007868,Q1115;Q19905,,,
Northwest Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
"Flanders, probably Bruges",Flanders (region);Bruges,http://vocab.getty.edu/tgn/7018236;http://vocab.getty.edu/tgn/7007867,Q100357;Q16418,,,
Ethiopia,,,,Ethiopia,http://vocab.getty.edu/tgn/7000489,Q3655
Western Europe,,,,Western Europe,http://vocab.getty.edu/tgn/4003761,Q10830
"Le-Puy-en-Velay, France",Le Puy;France,http://vocab.getty.edu/tgn/7008205;http://vocab.getty.edu/tgn/1000070,Q108126;Q122,,,
Bruges,,,,Bruges,http://vocab.getty.edu/tgn/7007867,Q16418
Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
"Antequera, Spain",Antequera;Spain,http://vocab.getty.edu/tgn/7007265;http://vocab.getty.edu/tgn/1000095,Q108127;Q129,,,
Southern France,,,,Southern France,http://vocab.getty.edu/tgn/4004037,Q19904
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Flanders,,,,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Low Countries,,,,Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
Northern/Central Europe (possibly England?),Northern Europe;Central Europe;England,http://vocab.getty.edu/tgn/4003757;http://vocab.getty.edu/tgn/4003755;http://vocab.getty.edu/tgn/7002445,Q38266;Q5945;Q133,,,
Italy or Southern France,Italy;Southern Europe,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/4003760,Q134;Q42088,,,
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Southern Europe,,,,Southern Europe,http://vocab.getty.edu/tgn/4003760,Q42088
Northern/Central Europe,Northern Europe;Central Europe,http://vocab.getty.edu/tgn/4003757;http://vocab.getty.edu/tgn/4003755,Q38266;Q5945,,,
England?,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Iuelna?,,,,,,
Hamburg,Hamburg,http://vocab.getty.edu/tgn/7005289,Q20352,,,
Deux-Sèvres,Département des Deux-Sèvres,http://vocab.getty.edu/tgn/7002926,Q108128,,,
"Abbey of St. Victor (specific unknown), France?",France,http://vocab.getty.edu/tgn/1000070,Q122,,,
Central Europe,,,,Central Europe,http://vocab.getty.edu/tgn/4003755,Q5945
Mantua,,,,Mantua,http://vocab.getty.edu/tgn/7005879,Q2824
Mantua?,Mantua,http://vocab.getty.edu/tgn/7005879,Q2824,,,
Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
Islamic world,,,,,,
Armenia,,,,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
Italy or Spain,,,,Italy;Spain,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/1000095,Q134;Q129
