subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Almanacs,ds-subject,,,Almanacs,http://id.worldcat.org/fast/805771,Q67135,,,
History,ds-subject,,,,,,History,http://id.worldcat.org/fast/958235,Q6879
Liturgics--Calendar,ds-subject,,,Liturgics--Calendar,http://id.worldcat.org/fast/1353579,Q108129,,,
Solar eclipses,ds-subject,,,Solar eclipses,http://id.worldcat.org/fast/1124979,Q39095,,,
Lunar eclipses,ds-subject,,,Lunar eclipses,http://id.worldcat.org/fast/1003696,Q10823,,,
"Medicine, Medieval",ds-subject,,,"Medicine, Medieval",http://id.worldcat.org/fast/1015277,Q223,,,
"Medicine, Medieval--Manuscripts",ds-subject,,,"Medicine, Medieval--Manuscripts",http://id.worldcat.org/fast/1015280,Q75475,,,
Poisons,ds-subject,,,Poisons,http://id.worldcat.org/fast/1068184,Q11268,,,
Antidotes,ds-subject,,,Antidotes,http://id.worldcat.org/fast/810494,Q11463,,,
Antidotes--History,ds-subject,,,Antidotes;History,http://id.worldcat.org/fast/810494;http://id.worldcat.org/fast/958235,Q11463;Q6879,,,
Poisons--History,ds-subject,,,Poisons;History,http://id.worldcat.org/fast/1068184;http://id.worldcat.org/fast/958235,Q11268;Q6879,,,
Toxins,ds-subject,,,Toxins,http://id.worldcat.org/fast/1153400,Q108130,,,
Devotional literature,ds-subject,,,Devotional literature,http://id.worldcat.org/fast/892015,Q2950,,,
Devotio moderna,ds-subject,,,Devotio moderna,http://id.worldcat.org/fast/892004,Q38878,,,
Patristic literature,ds-subject,,,"Christian literature, Early",http://id.worldcat.org/fast/859261,Q7089,,,
Theology--Christianity,ds-subject,,,Theology;Christianity,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/859599,Q4290;Q5915,,,
Apocalyptic literature--Christianity,ds-subject,,,Apocalpytic literature;Christianity,http://id.worldcat.org/fast/811395;http://id.worldcat.org/fast/859599,Q108137;Q5915,,,
Commentaries,ds-subject,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812,,,
Augustinians,ds-subject,,,Augustinians,http://id.worldcat.org/fast/549127,Q7391,,,
Monasticism and religious orders--Augustinians--Rules,ds-subject,,,Monasticism and religious orders;Augustinians;Rules,http://id.worldcat.org/fast/1025128;http://id.worldcat.org/fast/549127;http://id.worldcat.org/fast/1423857,Q4208;Q7391;Q4910,,,
Monasticism and religious orders--Rules--Early works to 1800,ds-subject,,,Monasticism and religious orders;Rules;Early works,http://id.worldcat.org/fast/1025128;http://id.worldcat.org/fast/1423857;http://id.worldcat.org/fast/1411636,Q4208;Q4910;Q300,,,
Rules,ds-subject,,,Rules,http://id.worldcat.org/fast/1423857,Q4910,,,
Nuns,ds-subject,,,Nuns,http://id.worldcat.org/fast/1041386,Q39029,,,
Monasticism and religious orders,ds-subject,,,Monasticism and religious orders,http://id.worldcat.org/fast/1025128,Q4208,,,
Monastic and religious life,ds-subject,,,Monastic and religious life,http://id.worldcat.org/fast/1025101,Q2981,,,
Monasticism and religious orders for women,ds-subject,,,Monasticism and religious orders for women,http://id.worldcat.org/fast/1025166,Q4171,,,
Monastic and religious life of women,ds-subject,,,Monastic and religious life of women,http://id.worldcat.org/fast/1025119,Q4761,,,
Extreme unction,ds-subject,,,Extreme unction,http://id.worldcat.org/fast/919067,Q38905,,,
Sacraments,ds-subject,,,,,,Sacraments,http://id.worldcat.org/fast/1103083,Q3588
Sacraments--Catholic Church,ds-subject,,,Sacraments--Catholic Church,http://id.worldcat.org/fast/1103085,Q4825,,,
Sacraments (liturgy),ds-subject,,,Sacraments (Liturgy),http://id.worldcat.org/fast/1103099,Q108131,,,
Liturgy,ds-subject,,,,,,Liturgics,http://id.worldcat.org/fast/1000579,Q207
Divine office,ds-subject,,,,,,Divine office,http://id.worldcat.org/fast/895757,Q5881
Books of hours,ds-subject,,,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
Liturgy--Christianity,ds-subject,,,Liturgics;Christianity,http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/859599,Q207;Q5915,,,
Anaphora,ds-subject,,,,,,,,
Mass,ds-subject,,,Mass,http://id.worldcat.org/fast/1011191,Q3583,,,
Mysticism--Christianity,ds-subject,,,Mysticism--Christianity,http://id.worldcat.org/fast/2025072,Q39018,,,
God (Christianity)--Love,ds-subject,,,God (Christianity)--Love,http://id.worldcat.org/fast/1765766,Q108132,,,
Love--Christianity,ds-subject,,,Love;Christianity,http://id.worldcat.org/fast/1002769;http://id.worldcat.org/fast/859599,Q11289;Q5915,,,
Account books,ds-subject,,,Account books,http://id.loc.gov/vocabulary/rbmscv/cv00027,Q17502,,,
Papermaking--Accounts,ds-subject,,,Papermaking;Accounts,http://id.worldcat.org/fast/1052642;http://id.worldcat.org/fast/795510,Q108138;Q6895,,,
Allegory,ds-subject,,,Allegory,http://id.worldcat.org/fast/805516,Q19862,,,
Monasticism and religious orders--Architecture,ds-subject,,,Monasticism and religious orders;Architecture,http://id.worldcat.org/fast/1025128;http://id.worldcat.org/fast/813346,Q4208;Q17493,,,
Monasticism and religious orders--Spirituality,ds-subject,,,Monasticism and religious orders;Spirituality,http://id.worldcat.org/fast/1025128;http://id.worldcat.org/fast/1130186,Q4208;Q6957,,,
Prophecy--Christianity,ds-subject,,,Prophecy--Christianity,http://id.worldcat.org/fast/1079203,Q39056,,,
Popes--Prophecies,ds-subject,,,Popes--Prophecies,http://id.worldcat.org/fast/1071287,Q16364,,,
Jesus Christ--Passion,ds-subject,,,Passion of Jesus Christ,http://id.worldcat.org/fast/1353950,Q4958,,,
Jesus Christ--Biography--Passion Week,ds-subject,,,Jesus Christ;Biography--Passion Week,http://id.worldcat.org/fast/40116;http://id.worldcat.org/fast/1352017,Q338;Q108133,,,
Jesus Christ--Passion--Manuscripts,ds-subject,,,Passion of Jesus Christ;Manuscripts,http://id.worldcat.org/fast/1353950;http://id.worldcat.org/fast/1008230,Q4958;Q38609,,,
Psalters,ds-subject,,,,,,Psalters,http://id.worldcat.org/fast/1080778,Q4323
Recusants,ds-subject,,,,,,,,
Legal documents--Spain--Nobility,ds-subject,,,Legal documents;Spain;Nobility,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1038255,Q4864;Q343;Q164,,,
Canon law,ds-subject,,,Canon law,http://id.worldcat.org/fast/845910,Q204,,,
Canon law--Catholic Church,ds-subject,,,Canon law;Catholic Church,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/531720,Q204;Q310,,,
Cosmology--Christianity,ds-subject,,,Cosmology;Christianity,http://id.worldcat.org/fast/880600;http://id.worldcat.org/fast/859599,Q169;Q5915,,,
Monotheism--Catholic Church,ds-subject,,,Monotheism;Catholic Church,http://id.worldcat.org/fast/1025714;http://id.worldcat.org/fast/531720,Q108139;Q310,,,
Metaphysics--Christianity,ds-subject,,,Metaphysics;Christianity,http://id.worldcat.org/fast/1018304;http://id.worldcat.org/fast/859599,Q277;Q5915,,,
Music--Liturgy--Christianity,ds-subject,,,Music;Liturgics;Christianity,http://id.worldcat.org/fast/1030269;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/859599,Q287;Q207;Q5915,,,
"Sermons, Old French",ds-subject,,,,,,,,
Manuscript fragments,ds-subject,,,,,,Manuscript fragments,http://id.worldcat.org/fast/1938802,Q5809
Prayer books,ds-subject,,,Prayer books,http://id.loc.gov/vocabulary/rbmscv/cv01759,Q38527,,,
Litany,ds-subject,,,Litanies,http://id.worldcat.org/fast/999854,Q108134,,,
Liturgy--Catholic Church,ds-subject,,,Liturgics;Catholic Church,http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/531720,Q207;Q310,,,
Bible. Epistles of Paul--Theology,ds-subject,,,Bible. Epistles of Paul;Theology,http://id.worldcat.org/fast/1808029;http://id.worldcat.org/fast/1149559,Q38594;Q4290,,,
Bible. Habakkuk,ds-subject,,,Bible. Habakkuk,http://id.worldcat.org/fast/1892907,Q75312,,,
"Mary, Blessed Virgin, Saint--Assumption",ds-subject,,,Assumption of the Blessed Virgin Mary,http://id.worldcat.org/fast/1351964,Q7434,,,
Legal documents--Middle Ages,ds-subject,,,Legal documents;Middle Ages,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1020301,Q4864;Q39011,,,
Legal documents,ds-subject,,,Legal documents,http://id.worldcat.org/fast/995459,Q4864,,,
"Legal documents--Early Modern, 1500-1700",ds-subject,,,Legal documents;1500-1700,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1355568,Q4864;Q48268,,,
Bills of sale,ds-subject,,,Bills of sale,http://id.worldcat.org/fast/831829,Q108135,,,
Investiture,ds-subject,,,Investiture,http://id.worldcat.org/fast/978161,Q108136,,,
Procedure (Law)--France--Early works to 1800,ds-subject,,,Procedure (Law);France;Early works,http://id.worldcat.org/fast/1077984;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q7196;Q152;Q300,,,
"Legal documents--Early moden, 1500-1700",ds-subject,,,Legal documents;1500-1700,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1355568,Q4864;Q48268,,,
"Letters--Early modern, 1500-1700",ds-subject,,,Letters;1500-1700,http://id.worldcat.org/fast/996779;http://id.worldcat.org/fast/1355568,Q55284;Q48268,,,
Qur'an,ds-subject,,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441,,,
Bible,ds-subject,,,,,,Bible,http://id.worldcat.org/fast/1356024,Q4267
Sermons,ds-subject,,,,,,Sermons,http://id.worldcat.org/fast/1113216,Q38598
Music,ds-subject,,,,,,Music,http://id.worldcat.org/fast/1030269,Q287
"Legal documents-Early modern, 1500-1700",ds-subject,,,Legal documents;1500-1700,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1355568,Q4864;Q48268,,,
