title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Risālah fī al-hayʼah,,,,Risālah fī al-hayʼah,Q27552,,
al-Mughnī fī sharḥ al-Mūjiz,,,,al-Mughnī fī Sharḥ al-Mūjaz,Q108588,,
Mūjiz al-Qānūn,,,,Mūjiz al-Qānūn,Q39496,,
Sharḥ Mūjiz al-Qānūn,,,,Mūjiz al-Qānūn,Q39496,,
al-Mukhtārāt fī al-ṭibb,,,,al-Mukhtārāt fī al-ṭibb,Q108607,,
Sharḥ al-Mulakhkhaṣ fī al-hayʼah,,,,Sharḥ al-Mulakhkhaṣ fī al-hayʼah,Q108586,,
Sharḥ ʻalá sharḥ Qāḍīzāde ʻalá al-Mulakhkhaṣ fī al-hayʼah,,,,,,,
al-Najāh,,,,,,,
Naqd al-uṣūl wa-talkhīṣ al-fuṣūl,,,,,,,
al-Qānūn fī al-ṭibb,,,,,,Canon of Medicine,Q2826
Sharḥ al-Qānūn fī al-ṭibb,,,,Commentary on Avicenna,Q44052,,
Astronomical treatise called Bist Bab,,,,Bist Bab;Astronomical text,Q27717;Q38381,,
Maṭlaʻ al-anwār ... [etc,مطلع الانوار ... الخ,,,,,,
Durrah al-sanīyah fī waḍʻ basāʼiṭ faḍl al-dāʼir bi-al-ṭuruq al-handasīyah ... [etc,درة السنية في وضع بسائط فضل الدائر بالطرق الهندسية ... الخ,Works,اعمال,,,,
ʻAyn al-qawāʻid fī al-manṭiq ... [etc,عين القواعد في المنطق ... الخ,,,,,,
Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār ... [etc,لوامع الاسرار في شرح مطالع الانوار ... الخ,,,Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,Q39530,,
Risālah al-fatḥīyah fī al-aʻmāl al-jaybīyah ... [etc,رسالة الفتحية في الاعمال الجيبية ... الخ,,,,,,
Mukhtaṣar fī maʻrifat al-taqāwīm ... [etc,مختصر في معرفة التقاويم ... الخ,,,,,,
Sawāniḥ al-qarīḥah fī sharḥ al-Ṣafīḥah ... [etc,سوانح القريحة في شرح الصفيحة ... الخ,,,,,,
Ḥāshiyah ʻalá Sharḥ Īsāghūjī,حاشية على شرح ايساغوجي,,,Commentary on Īsāghūjī,Q103546,,
Majmūʻah-yi rasāʼil-i nādirah fī al-ʻulūm al-falakīyah,مجموعه رسائل نادرة في العلوم الفلكية,,,,,,
İlm-i mantıkdin Sullam al-murawniq şerhi,,Sharḥ al-Sullam,,,,,
Kitāb al-Tafhīm li-awāʾil ṣināʻat al-tanjīm,كتاب التفهيم لاوائل صناعة التنجيم,Tafhīm li-awāʾil ṣināʻat al-tanjīm,تفهيم لاوائل صناعة التنجيم,Al-Tafhim li Awa'il Sana'at al-Tanjim,Q108610,,
al-Mūjiz fī al-ṭibb,الموجز في الطب,Mūjiz al-Qānūn,موجز القانون,Mūjiz al-Qānūn,Q39496,,
Hādhā kitāb fī al-ṭibb wa-kitāb al-firdaws wa-khuṭab fī ̄ākhir al-kitāb,هذا كتاب في الطب وكتاب الفردوس وخطب في آخر الكتاب,Kitāb fī al-ṭibb,كتاب في الطب,,,,
