title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Infra e una astrologia o judicio ch[e] dura cento anni ch[e] fu preidata. Astrologia o iudicio obscuro. Questa sie una altra astrologia q[u]i consonante a le predette do denanze d[ate?] ou prophetia de S[ancta] Brigida vergine,,,,Prophecies,Q68179,,
Incipit epistola lugubris et mesta simul et consolatoria de infelice expugnacione ac misera irrupcone et invasione insule Euboye dicte Nigropontus a p[er]fido crucis cristi hoste Turchor[um] impyssimo principe et tyrannis nup inflicta,,,,Letter,Q1454,,
"De gestis Romanorum. Homeri vita. De origine, situq[ue] et qualitate Romane urbis",,De gestis Romanorum,,De Gestis Romanorum;Life of Homer,Q108626;Q108627,,
Manuscript English Bible,,Bible,,Bible,Q661,,
Incipit capitula quinte partis libri ... /,,De scientia utilissima homini mortali est sciri mori,,Theological texts,Q822,,
Militia religiosorum; and several other texts,,,,Religious texts,Q5037,,
Book of hours; Use of Rome,,,,Book of hours,Q795,,
Various documents,,,,Documents,Q5023,,
Chronica ab origine mundi ad 1342,,,,Chronicle,Q1475,,
"Sermones de sanctis, etc",,,,Sermones de sanctis,Q39256,,
Tractatello de li defecti li quali se possono cometer nella messa /,,,,Religious text,Q1465,,
Libro di ricordi,,,,,,,
"Legal documents that contain pieces written in court during the reign of Juan II, Enrique IV, and Isabel la Católica",,,,Legal document,Q3666,,
Various texts /,,Works,,,,,
Antiphonary from Northern Italy /,,Antiphonary,,Antiphonary,Q654,,
Annotationi sopra la sferetta del Sacro Bosco,,Sphaera mundi,,Sphaera mundi,Q366,,
Detached leaf from unidentified French Book of Hours,,Book of hours (Manuscript University of Wisconsin--Madison. MS 524),,Book of hours,Q795,,
"A book of hours for the English market : complete, with 20 miniatures",,Use of Sarum,,Book of hours,Q795,,
Illuminated vernacular Dutch prayerbook,,,,Prayer book,Q1486,,
