genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Illuminated manuscripts,aat,(CStmoGRI)aatgf300265483http://vocab.getty.edu/aat/300265483,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Gothic scripts,aat,(CStmoGRI)aatgf300195226http://vocab.getty.edu/aat/300195226,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Early works,fast,(OCoLC)fst01411636http://id.worldcat.org/fast/1411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Breviaries,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026078,,,,Breviaries,http://id.worldcat.org/fast/1922430,Q38440
Bookplates,rbmscv,,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,Q5847
Texts,fast,(OCoLC)fst01423705http://id.worldcat.org/fast/1423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
Liturgical books,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026039,,,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822
Manuscripts,lcgft,http://id.loc.gov/authorities/genreForms/gf2022026088,,,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
Inscriptions,rbmscv,,,,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,Q5875
Gothic scripts,aat,(CStmoGRI)aatgf300195226,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Annotations,rbmscv,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Autographs,rbmscv,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Gothic scripts,aat,,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Graduals,rbmscv,,,,,Graduals,http://id.loc.gov/vocabulary/rbmscv/cv01414,Q10816
Armorial bookplates,rbmscv,,,,,Armorial bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00136,Q16277
illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Prayers and devotions,fast,(OCoLC)fst01423909http://id.worldcat.org/fast/1423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
