row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Latin,,,,,Latin,Q397,Q113
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",German,,,,,German,Q188,Q112
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Latin with marginal annotations in French,,,,,Latin;French,Q397;Q150,Q113;Q111
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Italian,,,,,Italian,Q652,Q116
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Latin and French,,,,,Latin;French,Q397;Q150,Q113;Q111
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",French and Latin,,,,,French;Latin,Q150;Q397,Q111;Q113
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Latin with insertions in English,,,,,Latin;English,Q397;Q1860,Q113;Q109
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Ottoman Turkish,,,,,Ottoman Turkish,Q36730,Q3104
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Persian,,,,,Persian,Q9168,Q120
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-10T20:37:35.316567300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-10T20:38:17.876111100Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-10T20:39:05.414542600Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-10T20:39:37.806596300Z",Arabic,,,,,Arabic,Q13955,Q118
