title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Portable breviary; Franciscan use,,,,,,Breviary,Q657
Commendations of Souls,,,,,,Commendations of Souls,Q48660
Compilation of excerpts from Sebastian Franck's Chronica,,,,,,"Chronica, Zeitbuch und Geschichtsbibel",Q48661
Eleven leaves from a pocket Bible,,Bible,,Bible,Q661,,
Gradual for Advent and Christmas,,Gradual (Pre-Vatican II),,,,Gradual,Q1121
Portions of a psalter,,,,,,Psalter,Q660
Portion of a breviary; use of Paris,,,,,,Breviary,Q657
Incomplete Book of hours,,Book of hours,,,,Book of hours,Q795
Portion of a Book of hours,,Book of hours,,,,Book of hours,Q795
Summa abel,,Distinctiones Abel,,Summa Abel;Distinctiones,Q108697;Q1472,,
Antoine de Toulouse's notarial book,,,,,,Notarial book,Q48662
"Chronicle of the kings of Rome, etc",,,,,,Chronicle,Q1475
Book of hours; use of Paris,,Book of hours,,,,Book of hours,Q795
Book of hours; use of Amiens,,Book of hours,,,,Book of hours,Q795
Book of hours; use of Mons?,,Book of hours,,,,Book of hours,Q795
"Psalter, illuminated by Jean Semont",,Psalter,,,,Psalter,Q660
"Compendium including works attributed to Bonaventura, Hugh of Saint-Victor, and Anselm",,,,,,Theological texts,Q822
Georgics,,,,,,Georgics,Q5049
Sermons,,,,,,Sermons,Q1400
Bull in coena domini,,,,Papal bull;In Coena Domini,Q1362;Q1457,,
Book of hours; use of Besançon,,Book of hours,,,,Book of hours,Q795
Ferial psalter,,Psalter,,,,Ferial Psalter;Psalter,Q39276;Q660
Gradual; Cistercian use,,Gradual (Pre-Vatican II),,,,Gradual,Q1121
De senectute; Paradoxa] ; [Somnium Scipionis,,,,,,Works of Cicero,Q48664
Dominican ferial psalter,,Psalter,,,,Ferial Psalter;Psalter,Q39276;Q660
Privileges du Vicomte de Turenne,,,,,,Privileges,Q4353
"Manorial accounts for Uggeshall, Sotterley, Ellough, and Willingham (Suffolk)",,,,,,Account book,Q1387
Maʿrifet-nāme,,Marifetname,معرفتنامه,,,Marifetname,Q55239
Cihānnümā,جهان نما,Cihannümâ,جهان نما,,,Cihannüma,Q100846
Anthology of Persian poems,,,,,,Persian poetry,Q18530
Hādhā Nathr al-La'ālī li-ʿAlī ʿalayhi al-salām,,Nathr al-La'ālī,نثر اللآلئ,Nathr al-laʼālī,Q67337,,
Turkish prayer book,,,,,,Prayer book,Q1486
Qurʼan,,Qurʼan,القرآن,,,Qurʼan,Q3697
Qur'an,,Qurʼan,القرآن,,,Qurʼan,Q3697
Leaf from Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʿalá al-Nabī al-mukhtār,,Dalāʼil al-khayrāt,دلائل الخيرات,,,Dala'il al-Khayrat,Q18568
Leaf from Ṣaḥīfah al-kāmilah,,,,,,Ṣaḥīfah al-kāmilah,Q27822
Persian legend,,,,,,,
Majnūn va Laylī,ی و مجنون,,,,,Layla and Majnun,Q18445
Persian masnavi,,,,,,Masnavi,Q27606
Fragment of Haft paykar,,Haft paykar,هفت پیکر,,,Haft Paykar,Q18433
Fragment of Amir Arsalān Nāmdār by Muḥammad ʿAlī Naqīb,,,,,,Amir Arsalan,Q100847
"Leaf from John Wycliffe, Quadraginta sermones de tempore",,,,Quadraginta Sermones De Tempore;Sermons,Q108698;Q1400,,
Leaf from a Book of hours,,,,,,Book of hours,Q795
Leaf from a miniature Processional,,,,Processional,Q1336,,
Two consecutive bifolia from an Augustinian (?) Gradual,,,,Gradual,Q1121,,
Three leaves from a Processional,,,,Processional,Q1336,,
Leaf from a choir breviary,,,,Breviary,Q657,,
Fragment of a missal,,,,,,Missal,Q662
Leaf from a Breviary,,,,,,Breviary,Q657
Leaf from a Bible,,,,Bible,Q661,,
Leaf from the Franciscan 'Goodspeed' Bible,,,,Bible,Q661,,
Cutting of an illuminated initial 'S' from a choirbook,,,,Choir book,Q1449,,
"Bifolium from Peter Lombard, Great gloss on the Pauline epistles",,,,Magna glossatura,Q1481,,
Two leaves from a martyrology,,,,Martyrology,Q19946,,
"Fragment of Martianus Capella, De nuptiis Philologiae et Mercurii, with interlinear and marginal glosses",,De nuptiis Philologiae et Mercurii,,De nuptiis Philologiae et Mercurii,Q108699,,
Leaf from the 'St. Albans Bible',,,,Bible;St. Albans Bible,Q661;Q108700,,
Three leaves from the Summer part of the Sanctorale of a gradual,,,,Gradual,Q1121,,
Leaf from the 'Bohun Bible',,,,Bible;Bohun Bible,Q661;Q108701,,
"Two fragments of a register concerning the recruitment and payment of mercenaries, in Latin with some Italian",,,,Register,Q67326,,
"Fragment of Seneca the Elder, Controversiae",,Controversiae,,Controversiae,Q108702,,
Leaf of a choir psalter,,,,Psalter,Q660,,
"Five leaves from a homiliary, in Armenian",,,,Homiliary,Q1338,,
Leaf from the temporale of a gradual,,,,Gradual,Q1121,,
Leaf from a psalter,,,,,,Psalter,Q660
"Leaf from Seneca the Younger, Epistulae morales",,Epistulae morales ad Lucilium,,Epistulae morales ad Lucilium,Q6025,,
Two leaves from the sanctorale of a stenciled gradual,,,,Gradual,Q1121,,
Confirmation of the legitimacy of Juan Arias Portocarrero,,,,Confirmation,Q5990,,
"A collection of documents, mostly deeds of sale",,,,Documents;Deed of sale,Q5023;Q12738,,
"Inventories, mainly of livestock and furnishings",,,,,,Inventories,Q7002
Qur'an leaf,,,,,,Qurʼan,Q3697
