row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
147,"Manuscripts, Arabic",lcsh,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
148,"Manuscripts, Arabic--16th century",lcsh,,,,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,Q256;Q335
149,"Manuscripts, Arabic--18th century",lcsh,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
150,"Manuscripts, Persian--18th century",lcsh,,,,,"Manuscripts, Persian;Eighteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058,Q255;Q3024
151,Illuminated manuscripts--Islamic countries--18th century,aat,,,,,illuminated manuscripts;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q4268;Q2810;Q3024
152,"Manuscripts, Arabic--17th century",lcsh,,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,Q256;Q2771
153,holographs (autographs),aat,,,,,holographs (autographs),http://vocab.getty.edu/aat/300028573,Q11544
154,Early works,fast,,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
155,Prayers and devotions,fast,,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
156,Certificates,rbmscv,,,,,Certificates,http://id.loc.gov/vocabulary/rbmscv/cv02106,Q11502
157,Illustrated works,rbmscv,,,,,Illustrated works,http://id.loc.gov/vocabulary/rbmscv/cv00860,Q38480
158,diagrams,aat,,,,,diagrams,http://vocab.getty.edu/aat/300015387,Q276
159,tables (documents),aat,,,,,tables (documents),http://vocab.getty.edu/aat/300027364,Q252
160,"Manuscripts, Arabic--19th century",lcsh,,,,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841,Q256;Q3538
161,History,fast,,,,,History,http://id.worldcat.org/fast/1411628,Q279
