row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Arabic,,,,,Arabic,Q13955,Q118
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",ara,,,,,Arabic,Q13955,Q118
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",per,,,,,Persian,Q9168,Q120
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",ota,,,,,Ottoman Turkish,Q36730,Q3104
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z","Arabic, Ottoman Turkish and Persian",,,,,Arabic;Ottoman Turkish;Persian,Q13955;Q36730;Q9168,Q118;Q3104;Q120
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Urdu,,,,,Urdu,Q1617,Q27496
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Arabic and Syriac,,Arabic;Syriac,Q13955;Q33538,Q118;Q12713,,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",In Arabic,,,,,Arabic,Q13955,Q118
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:38:46.389579600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2025-12-23T14:39:11.001681Z | LANGUAGE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:46:29.531410Z | LANGUAGE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:46:49.550365500Z",Arabic and Turkish in Arabic script,,,,,Arabic;Turkish,Q13955;Q256,Q118;Q4337
