subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Morocco--History--647-1516,0,a--x--y,http://id.loc.gov/authorities/subjects/sh85087330,Morocco;History,http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/958235,Q3567;Q6879,,,
"Africa, North--History--647-1517",0,a--x--y,http://id.loc.gov/authorities/subjects/sh85001640,North Africa;History,http://id.worldcat.org/fast/1239515;http://id.worldcat.org/fast/958235,Q26769;Q6879,,,
Spain--History--711-1516,0,a--x--y,http://id.loc.gov/authorities/subjects/sh85126074,,,,Spain;History,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/958235,Q343;Q6879
"Manuscripts, Arabic--New Jersey--Princeton",0,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Arabic literature--History and criticism,0,a--x,,"Arabic literature;Criticism, interpretation, etc.",http://id.worldcat.org/fast/812478;http://id.worldcat.org/fast/1411635,Q11532;Q177,,,
"Proverbs, Arabic--History--11th century--Sources",0,a--x--y--v,,"Proverbs, Arabic;History;Eleventh century;Sources",http://id.worldcat.org/fast/1080229;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1423900,Q11252;Q6879;Q306;Q2769,,,
Islam--Doctrines--History--13th century--Sources,0,a--x--x--y--v,,Islam--Doctrines;History;Thirteenth century;Sources,http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/1423900,Q11301;Q6879;Q245;Q2769,,,
"Bible stories, Arabic",0,a,http://id.loc.gov/authorities/subjects/sh97004620,"Bible stories, Arabic",http://id.worldcat.org/fast/831270,Q11586,,,
Account books--Syria,0,a--z,,Account books;Syria,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1208757,Q38801;Q11447,,,
Agriculture--Taxation--Syria,0,a--x--z,,Agriculture--Taxation;Syria,http://id.worldcat.org/fast/801686;http://id.worldcat.org/fast/1208757,Q110453;Q11447,,,
Business records--Syria,0,a--z,,Business records;Syria,http://id.worldcat.org/fast/842845;http://id.worldcat.org/fast/1208757,Q68120;Q11447,,,
Islamic magic,0,a,http://id.loc.gov/authorities/subjects/sh85079615,,,,Islamic magic,http://id.worldcat.org/fast/1730344,Q2807
Magic squares,0,a,http://id.loc.gov/authorities/subjects/sh85079628,,,,Magic squares,http://id.worldcat.org/fast/1005506,Q4977
Manuscrits arabes--New Jersey--Princeton,6,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
"Manuscripts, Arabic",fast,a,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
"Manuscripts, Arabic",fast,a,(OCoLC)fst01008278,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,(OCoLC)fst01204939,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
Syria--History--To 333 B.C.,0,a--x--y,,Syria;History,http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/958235,Q11447;Q6879,,,
Syria--History--333 B.C.-634 A.D.,0,a--x--y,,Syria;History,http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/958235,Q11447;Q6879,,,
Syrie--Histoire--Jusqu'à 333 av. J.-C.,6,a--x--y,,Syria;History,http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/958235,Q11447;Q6879,,,
Syrie--Histoire--333 av. J.-C.-634,6,a--x--y,,Syria;History,http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/958235,Q11447;Q6879,,,
Syria,fast,a,,,,,Syria,http://id.worldcat.org/fast/1208757,Q11447
To 634,fast,a,,,,,,,
Maronite rite (Catholic Church),fast,a,,Maronite rite (Catholic Church),http://id.worldcat.org/fast/1695167,Q110382,,,
Maronite rite (Catholic Church)--Liturgy,fast,a--x,,Maronite rite (Catholic Church)--Liturgy,http://id.worldcat.org/fast/1353664,Q110381,,,
Christian hagiography--Early works to 1800,0,a--v,,,,,Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636,Q5913;Q300
Hagiographie chrétienne--Ouvrages avant 1800,6,a--v,,Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636,Q5913;Q300,,,
Antiochene rite (Catholic Church),fast,a,,Antiochene rite (Catholic Church),http://id.worldcat.org/fast/1431858,Q110383,,,
Christian hagiography,fast,a,,,,,Christian hagiography,http://id.worldcat.org/fast/859164,Q5913
Catholic Church--Oriental rites--Early works to 1800,0,a--x--v,,Oriental rites (Catholic Church);Early works,http://id.worldcat.org/fast/1695160;http://id.worldcat.org/fast/1411636,Q110454;Q300,,,
Christian saints--Syria--Early works to 1800,0,a--z--v,,Christian saints;Syria;Early works,http://id.worldcat.org/fast/859491;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1411636,Q10812;Q11447;Q300,,,
Christian biography--Syria--Early works to 1800,0,a--z--v,,Christian biography;Syria;Early works,http://id.worldcat.org/fast/858936;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1411636,Q110404;Q11447;Q300,,,
Saints chrétiens--Syrie--Ouvrages avant 1800,6,a--z--v,,Christian saints;Syria;Early works,http://id.worldcat.org/fast/859491;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1411636,Q10812;Q11447;Q300,,,
Christian biography,fast,a,,Christian biography,http://id.worldcat.org/fast/858936,Q110404,,,
Christian saints,fast,a,,,,,Christian saints,http://id.worldcat.org/fast/859491,Q10812
Islam--Rituals,0,a--x,,,,,Islam--Rituals,http://id.worldcat.org/fast/979845,Q11593
Islam--Customs and practices,0,a--x,,,,,Islam--Customs and practices,http://id.worldcat.org/fast/979785,Q11380
Islam--Rituel,6,a--x,,,,,Islam--Rituals,http://id.worldcat.org/fast/979845,Q11593
Islam--Coutumes et pratiques,6,a--x,,,,,Islam--Customs and practices,http://id.worldcat.org/fast/979785,Q11380
Islam--Customs and practices,fast,a--x,,,,,Islam--Customs and practices,http://id.worldcat.org/fast/979785,Q11380
Islam--Rituals,fast,a--x,,,,,Islam--Rituals,http://id.worldcat.org/fast/979845,Q11593
Basmalah--Early works to 1800,0,a--v,,,,,Basmalah;Early works,http://id.worldcat.org/fast/828309;http://id.worldcat.org/fast/1411636,Q11237;Q300
Islam--Doctrines--Early works to 1800,0,a--x--v,,,,,Islam--Doctrines;Early works,http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/1411636,Q11301;Q300
Basmalah--Ouvrages avant 1800,6,a--v,,,,,Basmalah;Early works,http://id.worldcat.org/fast/828309;http://id.worldcat.org/fast/1411636,Q11237;Q300
Basmalah,fast,a,,,,,Basmalah,http://id.worldcat.org/fast/828309,Q11237
Islam--Doctrines,fast,a--x,,,,,Islam--Doctrines,http://id.worldcat.org/fast/979787,Q11301
Days,0,a,,Days,http://id.worldcat.org/fast/888313,Q7470,,,
"Astrology, Arab",0,a,,,,,"Astrology, Arab",http://id.worldcat.org/fast/819451,Q3616
Jours,6,a,,Days,http://id.worldcat.org/fast/888313,Q7470,,,
Astrologie arabe,6,a,,,,,"Astrology, Arab",http://id.worldcat.org/fast/819451,Q3616
"Astrology, Arab",fast,a,,,,,"Astrology, Arab",http://id.worldcat.org/fast/819451,Q3616
Days,fast,a,,Days,http://id.worldcat.org/fast/888313,Q7470,,,
Prayer--Islam--Early works to 1800,0,a--x--v,,,,,Prayer--Islam;Early works,http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/1411636,Q11135;Q300
Jumʿah,0,a,,Jumʻah,http://id.worldcat.org/fast/984834,Q11206,,,
Prière--Islam--Ouvrages avant 1800,6,a--x--v,,,,,Prayer--Islam;Early works,http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/1411636,Q11135;Q300
Jumʻah,fast,a,,,,,Jumʻah,http://id.worldcat.org/fast/984834,Q11206
Prayer--Islam,fast,a--x,,,,,Prayer--Islam,http://id.worldcat.org/fast/1074698,Q11135
God (Islam)--Name,0,a--x,,,,,God (Islam)--Name,http://id.worldcat.org/fast/944149,Q11248
God (Islam)--Attributes,0,a--x,,,,,God (Islam)--Attributes,http://id.worldcat.org/fast/944143,Q11577
Dieu (Islam)--Nom,6,a--x,,,,,God (Islam)--Name,http://id.worldcat.org/fast/944149,Q11248
Dieu (Islam)--Attributs,6,a--x,,,,,God (Islam)--Attributes,http://id.worldcat.org/fast/944143,Q11577
God (Islam)--Attributes,fast,a--x,,,,,God (Islam)--Attributes,http://id.worldcat.org/fast/944143,Q11577
God (Islam)--Name,fast,a--x,,,,,God (Islam)--Name,http://id.worldcat.org/fast/944149,Q11248
Alchemy--Islamic countries,0,a--z,,,,,Alchemy;Islamic countries,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1244130,Q3005;Q2810
Alchimie--Pays musulmans,6,a--z,,Alchemy;Islamic countries,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1244130,Q3005;Q2810,,,
Alchemy,fast,a,,,,,Alchemy,http://id.worldcat.org/fast/804245,Q3005
