row_index,workflow_history,material_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",paper,,,,paper,http://vocab.getty.edu/aat/300014109,Q31
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z","paper, ill. ; 294 x 210 (250 x 176) mm. bound to 294 x 210 mm",paper,http://vocab.getty.edu/aat/300014109,Q31,,,
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",paper ; 262 x 177 (177 x 117) mm. bound to 265 x 187 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z","paper, ill.",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z","paper, charts",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",parchment,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",mulberry bark,bark,http://vocab.getty.edu/aat/300011860,Q23,,,
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z","paper, col. ill.",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",paper ; 218 x 150 (140 x 98) mm. bound to 217 x 160 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T13:01:39.800803300Z | MATERIAL RECON, STEP 3: ADD LABELS AND IDs 2025-12-23T13:02:02.584269500Z | MATERIAL RECON, STEP 5: ADD DS QIDs & FINALIZE 2025-12-23T13:02:45.948111Z",paper ; 178 x 112 (156 x 104 and 133 x82) mm. bound to 178 x 120 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
