row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Ṣafad,Safad,http://vocab.getty.edu/tgn/7032018,Q74799,,,
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Kütaya,Kütahya,http://vocab.getty.edu/tgn/7002546,,,,
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Egypt?,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Arzinjān,,,,,,
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Mecca,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",,,,,,,
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Caucasus,,,,Caucasus,http://vocab.getty.edu/tgn/7016642,Q39905
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z","Medina, [",Medina,http://vocab.getty.edu/tgn/7003869,Q11610,,,
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Caucasus?,Caucasus,http://vocab.getty.edu/tgn/7016642,Q39905,,,
