name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Cesena, Gargeto da",author,,,,,,,,,,,
"Podius, Milanutius",author,,,,,,,,,,,
"Renchius, Henricus",author,,,,,,,,,,,
Dropsie College for Hebrew and Cognate Learning,former owner,,,,,,,,organization,Dropsie College for Hebrew and Cognate Learning,Q65088719,Q3785
"Rashīdī, Ibrāhīm ibn Yūsuf",former owner,رشيدي، ابراهيم بن يوسف،,,,,,,,,,,
"Adler, Cyrus, 1863-1940",former owner,,,,,,,,human,Cyrus Adler,Q3699936,Q67545
Padmākarabhaṭṭa,former owner,,,,,,,,,,,
"John Chrysostom, Saint, -407",author,يوحنا فم الذهب، قديس، -407,http://id.loc.gov/authorities/names/n80001460,,,,,,human,John Chrysostom,Q43706,Q6124
"Rashīdī, Ibrāhīm ibn Yūsuf",former owner,رشيدي، ابراهيم بن يوسف,,,,,,,,,,
Coptic Church,author,,http://id.loc.gov/authorities/names/n79107736,,,,,,organization,Coptic Orthodox Church,Q198998,Q4389
"ʻAbd al-Masīḥ Abū al-Ḥaqq al-Qāṭin, active 1791",scribe,عبد المسيح ابو الحق القاطن، active 1791،,,,,,,,,,,
"Rashīdī, Ibrāhīm",former owner,رشيدي، ابراهيم،,,,,,,,,,,
"Thaʻālibī, ʻAbd al-Malik ibn Muḥammad, 961 or 962-1037 or 1038",author,,,,,,,,human,Tha'ālibī,Q1231017,Q12346
"Neşrî, -approximately 1520",author,,,human,Neşri,Q1984103,DSNAME9193,Q110771,,,,
"Nöldeke, Theodor, 1836-1930",scribe,,,human,Theodor Nöldeke,Q63458,DSNAME9194,Q110772,,,,
"Taeschner, Franz, 1888-1967",former owner,,,human,Franz Taeschner,Q123246,DSNAME9195,Q110773,,,,
"Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016",author,شريف الرضي، محمد بن الحسين، 969 او 970-1016,,,,,,,human,Sharif Radhi,Q130561,Q67798
"Muṣṭafá ibn Aḥmad, active 1654",scribe,مصطفى بن احمد، active 1654،,,,,,,,,,,
"ʻAlī ibn Shaykh Shams al-Dīn, active 1689",former owner,علي بن شيخ شمس الدين، active 1689،,,,,,,,,,,
"Baḥrānī, Muḥammad ibn ʻAlī ibn Ḥaydar ibn Ḥasan ibn Ḥaydar",former owner,بحراني، محمد بن علي بن حيدر بن حسن بن حيدر،,,,,,,,,,,
"Sulzberger, Mayer, 1843-1923",former owner,,http://id.loc.gov/authorities/names/n85830512,,,,,,human,Mayer Sulzberger,Q6797076,Q3784
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365,,,,,,,human,Qutb al-Din Razi,Q5934574,Q41551
"Ibrāhīm ibn Mullā Jundī, active 1693",scribe,ابراهيم بن ملا جندي، active 1693،,,,,,,,,,,
"Martinus, Polonus, -1279",author,,,,,,,,human,Martin of Opava,Q431054,Q41214
"Howard, George James, Earl of Carlisle, 1843-1911",former owner,,,human,"George Howard, 9th Earl of Carlisle",Q337630,DSNAME9196,Q110774,,,,
"Colker, Marvin L",former owner,,,,,,,,human,Marvin-L. Colker,Q55623907,Q40453
"Isaac ben Joseph, of Corbeil, active 13th century",author,"יצחק בן יוסף, מקורביל, המאה ה־13",,,,,,,human,Isaac ben Joseph of Corbeil,Q6077408,Q40955
"Yaʻqūb ibn Harūn ibn Salāmah, active 1905",scribe,يعقوب بن هرون بن سلامة، active 1905،,,,,,,,,,,
"Bersuire, Pierre, approximately 1290-1362",author,,http://id.loc.gov/authorities/names/no99062512,,,,,,human,Pierre Bersuire,Q1370726,Q4458
"Pease, John William, 1820-1900",former owner,,,,,,,,,,,
"Wardington, Christopher Henry Beaumont Pease, Lord, 1924-2005",former owner,,,human,"Christopher Pease, 2nd Baron Wardington",Q25991538,DSNAME9197,Q110775,,,,
"Schoenberg, Lawrence J",former owner,,,,,,,,human,Lawrence J. Schoenberg,Q107542788,Q383
"Berendt, C. Hermann 1817-1878",former owner,,,human,Karl Hermann Berendt,Q4992094,DSNAME9198,Q110776,,,,
"Brinton, Daniel G. 1837-1899",former owner,,,,,,,,,,,
"Ṭarābulusī, Muḥammad ibn al-Ḥājj Mūsá, al-ʻAṭṭār",former owner,طرابلسي، محمد بن الحاج موسى العطار،,,,,,,,,,,
"Ḥamawī, Muṣṭafá́ Karīmī",former owner,حموي، مصطفى كريمي,,,,,,,,,,
"Lewis, John Frederick, 1860-1932",former owner,,,,,,,,human,John Frederick Lewis,Q78163033,Q3788
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405",author,مكودي، عبد الرحمن بن علي، -1404 أو 1405,,,,,,,human,ʿAbd-ar-Raḥmān Ibn-ʿAlī al- Makkūdī,Q60827863,Q12370
"Jastrow, Marcus, 1829-1903",former owner,,,,,,,,human,Marcus Jastrow,Q556073,Q40984
"Jastrow, Morris, Jr., 1861-1921",former owner,,,,,,,,human,"Morris Jastrow, Jr.",Q635773,Q7308
Tasfa Seyyon,former owner,,,,,,,,,,,
Girata Sellase,former owner,,,,,,,,,,,
Walatta Haymanot,former owner,,,,,,,,,,,
Tewolde Berhan,former owner,,,,,,,,,,,
"Block, Gordon A., Jr., 1914-1973",former owner,,,,,,,,human,Gordon A. Block Junior,Q113817555,Q7052
"Goldman, Yosef",former owner,,,,,,,,,,,
"Maimonides, Moses, 1135-1204",author,הרמב״ם,http://id.loc.gov/authorities/names/n78096039 http://id.loc.gov/authorities/names/n78096039 http://viaf.org/viaf/sourceID/LC%7cn78096039,,,,,,human,Moshe ben Maimon,Q127398,Q12310
"Surugan, Yosef Elyah",author,"צורגון, יוסף אליה",,,,,,,,,,
"Levie, J.J., 19th century",author,,,,,,,,,,,
"Lindwer, Willy",former owner,,,,,,,,,,,
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,نسفي، عبد الله بن احمد، -1310,http://id.loc.gov/authorities/names/n82144374,,,,,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449,Q12308
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد، السيد الشريف، 1340-1413,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Qarahʹfaryahʹvī, Muḥammad ibn Muṣṭafá, active 1642",scribe,قره‌فريه‌وى، محمد بن مصطفى، active 1642،,,,,,,,,,,
"ʻAbd al-Razzāq ibn Ḥusayn Afandī, active 1864",former owner,عبد الرزاق بن حسين افندي، active 1864،,,,,,,,,,,
Aḥmad ibn ʻUmar Afandī,former owner,احمد بن عمر افندي،,,,,,,,,,,
"Skoss, Solomon Leon, 1884-1953",former owner,,,human,Solomon Leon Skoss,Q3489576,DSNAME9199,Q110777,,,,
"Fāsī, Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir",scribe,فاسي، محمد بن عبد الواحد بن عبد القادر,,,,,,,human,Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir Fāsī,Q114242436,Q40635
"Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016",author,شريف الرضي، محمد بن الحسين، 969 أو 970-1016,,,,,,,human,Sharif Radhi,Q130561,Q67798
"Ibn Ḥusayn, Aḥmad ʻAlī Khaṭīb",scribe,ابن حسين، احمد علي خطيب,,,,,,,,,,
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان، -1465,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Khvājahʹzādah, Muḥammad",scribe,خواجه‌زاده، محمد,,,,,,,,,,
"Karajī, Muḥammad ibn al-Ḥusayn, -approximately 1016",author,كرجي، محمد بن الحسين، -approximately 1016,,human,Al-Karaji,Q461062,DSNAME9200,Q110778,,,,
"Ibn ʻAbd al-Barr, Yūsuf ibn ʻAbd Allāh, 978 or 979-1071",author,ابن عبد البر، يوسف بن عبد الله، 978 أو 979-1071,,,,,,,human,Ibn 'Abd al-Barr,Q732363,Q12347
"Hāshimī, Muḥammad ibn Muḥammad ibn ʻAbd Allāh ibn ʻAbd al-Mālik al-Ḥasanī",former owner,هاشمي، محمد بن محمد بن عبد الله بن عبد المالك الحسني,,,,,,,,,,
"Ghazzālī, 1058-1111",author,غزالي، 1058-1111,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Karjī, Muṣṭafá ibn ʻAbd Allāh, active 1689",scribe,كرجي، مصطفى بن عبد الله، active 1689،,,,,,,,,,,
"Ardabīlī, Muḥammad ibn ʻAbd al-Ghanī, -1249 or 1250",author,اردبيلي، محمد بن عبد الغني، -1249 or 1250,,,,,,,human,Muḥammad ibn ʻAbd al-Ghanī Ardabīlī,Q129951750,Q54221
"Urmawī, ʻAbd al-Muʼmin ibn Yūsuf, approximately 1216-1294",author,ارموي، عبد المؤمن بن يوسف، approximately 1216-1294,,,,,,,human,Safi al-Din al-Urmawi,Q980179,Q461
"Mawṣilī, Masʻūd ibn Ḥusayn al-Mūsīqī, active 1692",scribe,موصلي، مسعود بن حسين الموسيقي، active 1692،,,,,,,,,,,
"Mayyārah, Muḥammad ibn Aḥmad, 1590 or 1591-1661 or 1662",author,ميارة، محمد بن أحمد، 1590 أو 1591-1661 أو 1662,,,,,,,human,Muhammad Mayyarah,Q6732986,Q103655
"Jastrow, Morris, Jr., 1861-1921",former owner,,,,,,,,human,"Morris Jastrow, Jr.",Q635773,Q7308
"Jastrow, Marcus, 1829-1903",former owner,,,,,,,,human,Marcus Jastrow,Q556073,Q40984
"Ibn Khalaf, ʻAlī ibn Muḥammad, 1453-1532",author,ابن خلف، علي بن محمد، 1453-1532,,,,,,,human,ʻAlī ibn Muḥammad Ibn Khalaf,Q113866449,Q40934
"Khamsī, Muḥammad ibn ʻAbd Allāh",scribe,خمسي، محمد بن عبد الله,,,,,,,human,Muḥammad ibn ʻAbd Allāh Khamsī,Q114242461,Q41066
"Lārndawī, ʻAbd Allāh al-Ḥusnī ibn al-Ḥājj ʻAbdī",scribe,لارندوي، عبد الله الحسني بن الحاج عبدي,,,,,,,human,ʻAbd Allāh al-Ḥusnī ibn al-Ḥājj ʻAbdī Lārndawī,Q114242467,Q41095
"McClenahan, Jean P., 1908-1994",former owner,,,,,,,,human,Jean P. McClenahan,Q114242529,Q41242
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان، 1404-1465,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Camac, William, 1829-1900",former owner,,,,,,,,human,William Camac,Q113818311,Q40383
"Nabi, 1641 or 1642-1712",author,نابی، 1641 ياخود 1642-1712,,,,,,,human,Yusuf Nabi,Q2351863,Q41310
"Z̤amāqavī, Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir",former owner,ضماقوى، احمد رفعت بن الحاج محمد فاخر,,,,,,,human,Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir Z̤amāqavī,Q114242474,Q18637
Swarthmore College,former owner,,,,,,,,organization,Swarthmore College,Q1378320,Q42055
"Ibn Abī al-Bayān, Abū al-Faḍl Dāwūd ibn Sulaymān, 1161-",author,ابن ابي البيان، ابو الفضل داوود بن سليمان، -1161,,human,Da'ud Abu al-Fadl,Q5207161,DSNAME9201,Q110779,,,,
"Mutaṭabbib, Ilyās ibn ʻAbd Allāh al-Nāṣirī, active 18th century",scribe,متطبب، الياس بن عبد الله الناصري، active 18th century,,,,,,,,,,
"Ḥalabī, Ibrāhīm ibn Muḥammad, -1549 or 1550",author,حلبي، ابراهيم بن محمد، -1549 او 1550,,,,,,,human,Ibrāhīm al-Ḥalabī,Q4195341,Q12392
"Khammāsh, Aḥmad",former owner,خماش، احمد،,,,,,,,,,,
"Şahidî İbrahim Dede, 1470-1550",author,,,,,,,,human,Shahidi Ibrahim Dede,Q8084312,Q18722
"Froissart, Ludovic Damas",former owner,,,human,Ludovic Damas Froissart,Q138772399,DSNAME9202,Q110780,,,,
"Birgivî Mehmet Efendi, approximately 1522-1573",author,بركوي محمد افندي، نحو 1522-1573,,,,,,,human,Imam Birgivi,Q167660,Q12361
"Jarīm, Muṣṭafá ibn Sulaymān al-Qayṣarī",scribe,جريم، مصطفى بن سليمان القيصري,,,,,,,,,,
"Azharī, Khālid ibn ʻAbd Allāh, -1499",author,ازهري، خالد بن عبد الله، -1499,,,,,,,human,Khālid ibn ʻAbd Allāh al-Azharī,Q28717430,Q12369
"Mustafa Sıdkı, -1769",former owner,مصطفى صدقي، active 1765،,http://id.loc.gov/authorities/names/no2020124330,,,,,,human,Muṣṭafa Ṣidḳī,Q116172276,Q3725
"Muḥammad Nāfiʻ, active 1858",former owner,محمد نافع، active 1858،,,,,,,,,,,
"Būlavī, Aḥmad, active 1709",scribe,بولوى، احمد، active 1709،,,,,,,,,,,
"Cobham, H. W., 1867-",former owner,,,,,,,,,,,
ʻAbd al-Ḍayf Mūsá ibn Walī ibn Ḥasan,author,عبد الضيف موسى بن ولي بن حسن,,,,,,,human,ʻAbd al-Ḍayf Mūsá ibn Walī ibn Ḥasan,Q114242478,Q41905
"ʻAjamī, Kurdī Sayyidī Maḥmūd",author,عجمي، كردي سيدي محمود,,,,,,,human,Kurdī Sayyidī Maḥmūd ʻAjamī,Q114242480,Q41911
"Haussmann, Carl Frederick, 1871-",former owner,,,,,,,,human,Carl Frederick Haussmann,Q113864144,Q40848
"Ghamrī, Aḥmad ibn Muḥammad, -1499 or 1500",author,غمري، احمد بن محمد، -1499 أو 1500,,,,,,,human,Aḥmad ibn Muḥammad Ghamrī,Q113857063,Q40741
"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī",scribe,عشافي، حافظ مصطفى النافوي,,,,,,,human,"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī",Q114242483,Q41917
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405",author,مكودي، عبد الرحمن بن علي، -1404 أو 1405,,,,,,,human,ʿAbd-ar-Raḥmān Ibn-ʿAlī al- Makkūdī,Q60827863,Q12370
Khushhāl Khān,author,,,human,Khushal Khan Khattak,Q83794,DSNAME9203,Q110781,,,,
"Schoenberg, Lawrence J",former owner,,,,,,,,human,Lawrence J. Schoenberg,Q107542788,Q383
"Anūpa Saṃskr̥ta Pustakālaya, Bīkānera",former owner,,,human,Bīkānera Anūpa Saṃskr̥ta Pustakālaya,Q138772669,DSNAME9204,Q110782,,,,
"Darwīsh, Muḥammad Adīb ibn Muḥammad",author,درويش، محمد اديب بن محمد,,,,,,,,,,
"Kānkash, Ḥ̣usayn Ḥāmid ibn ʻAbd Allāh",scribe,كانكش، حسين حامد بن عبد الله,,,,,,,,,,
Mādhava Rāma,author,مادهو رام,,,,,,,human,Mādhava Rāma,Q114242521,Q41179
"Sohoni, Pushkar",former owner,,,,,,,,human,Pushkar Sohoni,Q42666530,Q41687
"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",author,کاشفى، حسىن واعظ، -1504 or 1505,,,,,,,human,Ḥusain Wāʿiẓ Kāšifī,Q4502475,Q18688
"ʻAṭṭār, Muḥammad ibn Ḥusayn, 1764-1827 or 1828",author,عطار، محمد بن حسين، 1764-1827 or 1828,,,,,,,human,Muḥammad ibn Ḥusayn ʻAṭṭār,Q114242485,Q41918
"Makiya, Mohamed",former owner,,,,,,,,human,Mohamed. Makiya,Q1942781,Q41185
"Dārendevī, Muḥammad ibn Ismāʻīl, active 17th century-18th century",author,دارندوي، محمد بن اسماعىل، active 17th century-18th century,,,,,,,human,Muḥammad ibn Ismāʻīl Dārendevī,Q114242433,Q18720
"Hikmetī, active 1823",scribe,حكمتى، active 1823,,,,,,,human,Hikmetī,Q113864413,Q40884
"Rashīdī, Rizq ibn Yūsuf, active 1836",scribe,رشيدي، رزق بن يوسف، active 1836,,,,,,,,,,
"Halil Mustafa Muhammed Hanefi Cengi, active 1836",scribe,خليل مصطفى محمد حنفى جنكى، active 1836,,,,,,,,,,
"Ṣidqī, Khalīl",scribe,صدقي، خليل,,,,,,,human,Khalīl Ṣidqī,Q114242500,Q41667
"Ṭurayḥī, Fakhr al-Dīn, 1571 or 1572-1674 or 1675",author,طريحي، فخر الدين، 1571 أو 1572-1674 أو 1675,,,,,,,human,Fakhr al-Dīn Ṭurayḥī,Q5942448,Q67803
"Ibn Kabūlakh, Muḥammad ibn ʻAlī ibn ʻĪsá",author,ابن كبولخ، محمد بن علي بن عيسى,,,,,,,human,Muḥammad ibn ʻAlī ibn ʻĪsá Ibn Kabūlakh,Q114242442,Q40933
Sulaymān ibn Yūsuf ibn Sulaymān,scribe,سليمان بن يوسف بن سليمان,,,,,,,human,Sulaymān ibn Yūsuf ibn Sulaymān,Q114242547,Q41728
"Easson, Henry, Reverend",former owner,,,,,,,,human,Henry Easson,Q113818938,Q40567
"Nashāwī, Ḥasan Sayyid Aḥmad, active 1885",author,نشاوي، حسن سيد احمد active 1885,,,,,,,,,,
"Bin Aḥmad, Aḥmad bin Mūsá",author,بن أحمد، أحمد بن موسى,,,,,,,,,,
"Abdulrazak, Fawzi",former owner,,,human,Fawzi Abdulrazak,Q138772671,DSNAME9205,Q110783,,,,
"Khayālī, Aḥmad ibn Mūsá, -1457?",author,خيالي، احمد بن موسى، -1457؟,,human,Aḥmad ibn Mūsá Khayālī,Q114242425,DSNAME4624,Q41069,,,,
"Kilālī, Zubayr ibn Marḍ",scribe,كلالي، زبير بن مرض,,,,,,,human,Zubayr ibn Marḍ Kilālī,Q114242466,Q41071
"Abū Zayd al-Fāsī, ʻAbd al-Raḥmān ibn ʻAbd al-Qādir, 1631-1685",author,أبو زيد الفاسي، عبد الرحمن بن عبد القادر، 1630 أو 1631-1684 أو 1685,,human,Abd al-Rahman al-Fasi,Q4664587,DSNAME9206,Q110784,,,,
"Yaznāsī, Muḥammad bin Lakhḍar",scribe,يزناسي، محمد بن لخضر,,,,,,,,,,
"Muḥammad Surūr ibn Muḥammad Walī Ḥiṣārī, active 1326",scribe,محمد سرور بن محمد ولى حصارى، active 1326،,,,,,,,,,,
"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561",author,اختري، مصطفى بن احمد,,,,,,,human,Ahterî,Q21600909,Q40098
"Ibn Barī Khān, ʻAbd al-Fattāḥ",scribe,ابن بري خان، عبد الفتاح,,,,,,,human,ʻAbd al-Fattāḥ Ibn Barī Khān,Q113866390,Q40928
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,قطب الشيرازي، محمود بن مسعود، 1236 أو 1237-1310 أو 1311,,,,,,,human,Qutb al-Din al-Shirazi,Q729903,Q12301
"Iṣfahānī, Ṣ̣adr al-Dīn Muḥammad ibn Kamāl al-Dīn",scribe,اصفهاني، صدر الدين محمد بن كمال الدين,,,,,,,human,Ṣ̣adr al-Dīn Muḥammad ibn Kamāl al-Dīn Iṣfahānī,Q114242445,Q40960
"Īrawānī, Qāsim",former owner,ايرواني، قاسم,,,,,,,human,Qāsim al-Īrawānī,Q114242446,Q40954
"Mawṣilī, ʻAbd Allāh ibn Maḥmūd, 1202 or 1203-1284",author,موصلي، عبد الله بن محمود، 1202 or 1203-1284,http://id.loc.gov/authorities/names/n85307246,,,,,,human,Abdullah Ibn Mahmud al-Mawsili,Q12238806,Q12313
"Ḥusaynī, Ibrāhīm ibn ʻAlī, active 1554",scribe,حسيني، ابراهيم بن علي، active 1554،,,,,,,,,,,
Bākīr ibn Muṣṭafá Fūṭī,former owner,باكير بن مصطفى فوطي،,,,,,,,,,,
Ibrāhīm ibn Qāsim ibn ʻAlī ibn Yūsuf,scribe,ابراهيم بن قاسم بن علي بن يوسف,,,,,,,human,Ibrāhīm ibn Qāsim ibn ʻAlī ibn Yūsuf,Q114242444,Q40942
"ʻAbbāsī, Ḥājī ʻIzz al-Dīn Shīr Bīk",former owner,عباسي، حاجي عاز الدين شير بيك,,,,,,,human,Ḥājī ʻIzz al-Dīn Shīr Bīk ʻAbbāsī,Q114242477,Q41904
"Smith, Edgar F. 1854-1928",former owner,,,,,,,,human,Edgar Fahs Smith,Q3047451,Q41682
"Lenkiewicz, R. O. 1941-2002",former owner,,,human,Robert Lenkiewicz,Q7346846,DSNAME9207,Q110785,,,,
Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
"Luini, Pacifico (Franciscan priest), active 19th century",former owner,,,,,,,,,,,
"Hua, Shou, active 1360-1370",author,,,human,Hua Shou,Q45367124,DSNAME9208,Q110786,,,,
"Ghulām Yaḥyá ibn ʻImād al-Dīn Lapkanī, active 1820",author,غلام يحيى بن عماد الدين لپکنى، active 1820,,human,Ghulām Yaḥyá,Q138772680,DSNAME9209,Q110787,,,,
"Astarābādī, Sahābī, -1601 or 1602",author,,,human,Sahabi Astarabadi,Q5865056,DSNAME9210,Q110788,,,,
"Riḍā, Muḥammad ʻAlī walad Qāsim ibn Mawlānā Muḥammad",scribe,رضا، محمد علي ولد قاسم بن مولانا محمد،,,,,,,,,,,
"Dawlah, Anwār, active 1756",former owner,دولة، انوار، active 1756،,,,,,,,,,,
"Manṣūr, Abū al-Faz̤l ibn Ghiyāth al-Dīn",former owner,منصور، ابو الفاضل بن غياث الدين،,,,,,,,,,,
"Mignan, Robert, -1852",former owner,,,,,,,,human,Robert Mignan,Q61890216,Q3238
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Thompson, James B., 1860-1898",former owner,,,human,James Beedham Thompson,Q138772416,DSNAME9211,Q110789,,,,
"Avicenna, 980-1037",author,ابن سينا، 980-1037,,,,,,,human,Avicenna,Q8011,Q2845
"Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī, approximately 1327-1370",author,سبكي، تاج الدين عبد الوهاب بن علي، نحو 1327-1370,,,,,,,human,Taj al-Din al-Subki,Q12201802,Q12396
"Aytmish al-Bajasī, Amīr, -1400",former owner,ايتمش البجسي، امير، -1400,,,,,,,,,,
"Rosenbach, A. S. W. 1876-1952",former owner,,,,,,,,human,A. S. W. Rosenbach,Q3663160,Q20090
"Ibn Khallikān, 1211-1282",author,ابن خلكان، 1211-1282,,,,,,,human,Ibn Khallikan,Q71394,Q49352
ʻUthmān ibn Muḥammad ibn ʻAbd al-Malik,former owner,عثمان بن محمد بن عبد الملك،,,,,,,,,,,
"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz",author,ابن ملك، عبد اللطيف بن عبد العزيز,,,,,,,human,ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz ibn Malak,Q116418873,Q3794
