subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
14th century,fast,a,,,,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
Early works to 1800,fast,a,,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Trials--Italy--Early works to 1800,0,a--z--v,,,,,Trials;Italy;Early works,http://id.worldcat.org/fast/1156290;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,Q6967;Q249;Q300
Civil law--Italy,0,a--z,http://id.loc.gov/authorities/subjects/sh2008117691,,,,Civil law;Italy,http://id.worldcat.org/fast/862544;http://id.worldcat.org/fast/1204565,Q2961;Q249
Civil law,fast,a,http://id.worldcat.org/fast/862544,,,,Civil law,http://id.worldcat.org/fast/862544,Q2961
Real property,fast,a,http://id.worldcat.org/fast/1091096,,,,Real property,http://id.worldcat.org/fast/1091096,Q161
Trials,fast,a,http://id.worldcat.org/fast/1156290,,,,Trials,http://id.worldcat.org/fast/1156290,Q6967
Italy,fast,a,http://id.worldcat.org/fast/1204565,,,,Italy,http://id.worldcat.org/fast/1204565,Q249
Real property--Italy--14th century,0,a--z--y,,,,,Real property;Italy;Fourteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q161;Q249;Q295
Faenza (Italy)--History,0,a--x,,Italy--Faenza;History,http://id.worldcat.org/fast/1205727;http://id.worldcat.org/fast/958235,Q110682;Q6879,,,
Inheritance and succession--Italy,0,a--z,http://id.loc.gov/authorities/subjects/sh2008104666,,,,Inheritance and succession;Italy,http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204565,Q3565;Q249
Inheritance and succession,fast,a,http://id.worldcat.org/fast/973371,,,,Inheritance and succession,http://id.worldcat.org/fast/973371,Q3565
Dowry,fast,a,http://id.worldcat.org/fast/897264,,,,Dowry,http://id.worldcat.org/fast/897264,Q6882
