place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Northern Italy?,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
"Pluckley?, England",Pluckley;England,http://vocab.getty.edu/tgn/7027400;http://vocab.getty.edu/tgn/7002445,Q110664;Q133,,,
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
"Naples, Italy",,,,Naples;Italy,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/1000080,Q3099;Q134
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Northeastern France(?) or Flanders(?),Northeastern France;Flanders (region),http://vocab.getty.edu/tgn/7669119;http://vocab.getty.edu/tgn/7018236,Q38264;Q100357,,,
Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
"Tours?, France",,,,Tours;France,http://vocab.getty.edu/tgn/7008323;http://vocab.getty.edu/tgn/1000070,Q19885;Q122
"Lyon?, France",,,,Lyon;France,http://vocab.getty.edu/tgn/7008772;http://vocab.getty.edu/tgn/1000070,Q6985;Q122
Flanders,,,,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
"Paris?, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
"Venice, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
"Grenada, Spain",Granada;Spain,http://vocab.getty.edu/tgn/7007703;http://vocab.getty.edu/tgn/1000095,Q3081;Q129,,,
"Pisa?, Tuscany, Italy",Pisa;Tuscany;Italy,http://vocab.getty.edu/tgn/7006082;http://vocab.getty.edu/tgn/7009760;http://vocab.getty.edu/tgn/1000080,Q7207;Q860;Q134,,,
Unknown,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
"Rock Creek, Kansas",Rock Creek;Kansas,http://vocab.getty.edu/tgn/2037052;http://vocab.getty.edu/tgn/7007254,Q110665;Q110666,,,
Pennsylvania,Pennsylvania,http://vocab.getty.edu/tgn/7007710,Q110667,,,
New York (N.Y.),New York;New York (state),http://vocab.getty.edu/tgn/7007567;http://vocab.getty.edu/tgn/7007568,Q27486;Q110669,,,
"Bethlehem, Pennsylvania",Bethlehem;Pennsylvania,http://vocab.getty.edu/tgn/7013416;http://vocab.getty.edu/tgn/7007710,Q110668;Q110667,,,
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Bologna,,,,Bologna,http://vocab.getty.edu/tgn/7004847,Q3087
Germany (? Mainz),,,,Germany;Mainz,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7004449,Q131;Q3082
Northern Europe,,,,Northern Europe,http://vocab.getty.edu/tgn/4003757,Q38266
Northern Germany,,,,Northern Germany,http://vocab.getty.edu/tgn/4004315,Q19886
Northeastern France,,,,Northeastern France,http://vocab.getty.edu/tgn/7669119,Q38264
Cologne,,,,Cologne,http://vocab.getty.edu/tgn/7004446,Q4329
Nuremburg,Nuremberg,http://vocab.getty.edu/tgn/7004334,Q3080,,,
Augusburg,Augsburg,http://vocab.getty.edu/tgn/7004324,Q4997,,,
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
Northern Europe?,Northern Europe,http://vocab.getty.edu/tgn/4003757,Q38266,,,
Persia,,,,Persia,http://vocab.getty.edu/tgn/7024079,Q127
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Spain (?),,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
"Bologna, Italy",,,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080,Q3087;Q134
Germany (?),,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Northern France/Flanders,,,,Northern France;Flanders,http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7024097,Q1114;Q126
Burgundy,,,,Burgundy,http://vocab.getty.edu/tgn/7029372,Q7797
Oxford,,,,Oxford,http://vocab.getty.edu/tgn/7011931,Q3654
