title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Historia of St. Nicholas with the lections,,,,Life of Saint Nicholas;Hagiography,Q68144;Q6022,,
Anon. Life of St. Nicholas,,,,Life of Saint Nicholas;Hagiography,Q68144;Q6022,,
"Bifolium from De civitate Dei, Book 22",,,,De civitate Dei,Q6047,,
Moral and didactic writings,,,,,,,
John Cassian. Coliatiosses XXIV,,,,Conferences,Q44888,,
Deed of release,,,,Deed,Q1319,,
Anon. The Brut,,,,Brut Chronicle,Q39915,,
Anon. Writings on astronomy,,,,Astronomical text,Q38381,,
Alchemical writings,,,,Alchemical texts,Q3132,,
De artetica et de caculosa passione,,,,,,,
Anon. Portolan charts,,,,Portolan chart,Q38411,,
Aeneid,,,,,,Aeneid,Q5978
Varii artis veterinariae scriptores graeci,,,,,,,
"Book of Hours, Franciscan Use",,,,Book of hours,Q795,,
"Book of Hours, Use of Paris",,,,,,Book of hours,Q795
"Book of Hours, Use of Rome",,,,,,Book of hours,Q795
Dogale,,,,,,Dogale,Q2827
"Carta executoria de hidalguia de Agustin de Yturbe, vezino de la ciudad de Sevilla",,,,Carta ejecutoria,Q3718,,
Gradual,,,,,,Gradual,Q1121
Antiphonal,,,,,,Antiphonary,Q654
Portolan Chart,,,,,,Portolan chart,Q38411
Collection of leaves from a gradual/antiphon,,,,Antiphonary,Q654,,
Roger of St. Albans. Genealogical roll,,,,Genealogy,Q5953,,
"Benjamin LeRoy Miller Diary, 1891",,,,Diary,Q7552,,
"William L. Estes, Jr. Diaries of Army Service in France",,,,Diary,Q7552,,
"Copy of Engineers Private Journal on Harlem Bridge, 1860-1861",,,,Diary,Q7552,,
"Captain William Herman Wilhelm Journal, 1898-1902",,,,Diary,Q7552,,
Estelle Johnston Diaries,,,,Diary,Q7552,,
"German Gradual, noted, Sanctoral with neumes",,,,Gradual,Q1121,,
Leaf on Parchment from a Latin Bible,,,,Bible,Q661,,
Leaf on Parchment from the Homilies of the Gospels of St. Gregory,,,,Homiliary,Q1338,,
Binding fragment: bifolio from a Lives of the Saints manuscript,,,,,,Lives of the Saints,Q1483
Binding fragment: folio from a Missal,,,,,,Missal,Q662
Binding fragment: folio from a liturgical manuscript,,,,,,Liturgical text,Q10839
Binding fragment: folio from a missal,,,,,,Missal,Q662
Binding fragment: folio from a calendar for November and December,,,,,,Calendar,Q1122
Bifolio with prayers for the Divine Office,,,,,,Divine Office;Prayers,Q39382;Q798
"Binding fragment: folio from Jerome, Commentarii in Isaiam (Commentary on Isaiah)",,,,,,Commentary on Isaiah;Works of Jerome,Q38370;Q38391
Folios from an Ordinal or a Missal,,,,,,Liturgical text,Q10839
Folio from a large Sarum Missal (Ege no. 20),,,,,,Missal,Q662
Binding fragment: folio from an Atlantic Bible,,,,Bible,Q661,,
East Anglian Illuminator,,,,,,,
"Bible in Latin, Proverbs 13,8 - 17,20",,,,Bible;Book of Proverbs,Q661;Q20508,,
LEAF from the COLOGNE BIBLE,,,,Bible;Cologne Bible,Q661;Q110850,,
Leaf from the Koberger Bible,,,,Bible;Koberger Bible,Q661;Q110849,,
Incunable Leaf,,,,,,,
Single leaves - Leaf on Parchment from a Latin Homiliary,,,,Homiliary,Q1338,,
Folio from a large liturgical volume,,,,,,Liturgical text,Q10839
Folio from a large Antiphonal or Gradual,,,,,,Liturgical text,Q10839
"Three folios from Augustine, Tractatus in Iohannem",,,,,,Tractates on the Gospel of John,Q1440
Binding fragment: horizontal fragment of a folio from the Second Volume of the Bury Bible,,,,,,Bury Bible;Bible,Q103472;Q661
"Folio from Thomas Aquinas, Catanea Aurea (Golden Chain)",,,,,,Catena aurea,Q39756
Folio from a Moroccan Quran,,,,,,Qurʼan,Q3697
Folio with index of Hebrew names from a Latin Bible,,,,,,Interpretationes nominum Hebraicorum,Q357
"Binding fragment: two folios from Gregory IX, Decretales (Decretals), with marginal commentary",,,,,,Commentary on Decretals of Gregory IX,Q42436
Medieval Bible Leaf - De Brailes,,,,Bible,Q661,,
Binding fragment: folio from a Lectionary,,,,,,Lectionary,Q663
Binding fragment: bifolio from a Missal,,,,,,Missal,Q662
Binding fragment: folio from a Breviary with neumes,,,,Breviary,Q657,,
Binding fragment: bifolio from a liturgical manuscript,,,,,,Liturgical text,Q10839
Binding fragment: bifolio from a noted breviary,,,,Breviary,Q657,,
Document with Benjamin Ruddier's (Rudyerd) speech to Parliament,,,,Speeches,Q3131,,
The Mayor of New-Castle lamenting the losses of the Town of New-Castle by an Echo of the Coalpitte,,,,Document,Q8301,,
"Copy of the attainder of the Earl of Strafford of High treason, presented by the hosue of commons to the upper house, April 23, 1641",,,,Legal decision,Q8288,,
Letter relating to the Earl of Strafford,,,,Letter,Q1454,,
A catalog of the Earl of Strafford's friends who voted against the bill of his attainder in the House of Commons on the 22nd of April 1641,,,,List of names,Q7419,,
"In the house of Commons 7th December 1640, Proceedings",,,,Proceedings,Q7805,,
My Lord Digby's Speech and Sr. Edward Dearing's second speech,,,,Speeches,Q3131,,
The honourable assembly of the house of commons assembled in parliament,,,,,,,
Letter dated 30 December 1640,,,,Letter,Q1454,,
Legal document,,,,,,Legal document,Q3666
Henry Murray of the King's Bedchamber,,,,,,,
Letter to king from Richard Bowchier,,,,Letter,Q1454,,
"Henry Scobell, Clerk of the council, an ordinance for better amending and keeping in repair the common highways",,,,Ordinances,Q12786,,
"The speech and carriage of Stephen Colledge at Oxford Before the Castle on Wednesday August 31, 1681.",,,,Speeches,Q3131,,
Folio from an East Anglian Breviary,,,,,,Breviary,Q657
Folio of a Quran from Persia (Shiraz?),,,,,,Qurʼan,Q3697
Binding fragment: folio from a Bible (Leviticus),,,,,,Bible;Book of Leviticus,Q661;Q38395
Folio from a Missal,,,,,,Missal,Q662
Binding fragment: vertical fragment from a document dated 1631,,,,Document,Q8301,,
Folio from a Coptic Lectionary with Arabic annotations,,,,,,Coptic-Arabic lectionary,Q27747
Binding fragment: horizontal fragment from a large Antiphonal or Gradual,,,,,,Liturgical text,Q10839
Folio from a Breviary or a Missal,,,,,,Liturgical text,Q10839
Binding fragment: folio from a Bible concordance,,,,,,Bible concordance,Q20472
Bifolio from a glossed Gospel text,,,,,,Gospels,Q6034
Binding fragment: notated Breviary or Missal,,,,,,Liturgical text,Q10839
Folio from a Bible (Proverbs),,,,,,Bible;Book of Proverbs,Q661;Q20508
Folio from an Antiphonal,,,,,,Antiphonary,Q654
1 Maccabees 13-14 in frame,,,,Bible,Q661,,
Liturgy with musical notation,,,,Liturgical text,Q10839,,
"Gospel Lectionary, Germany, mid 13th Century",,,,Lectionary,Q663,,
French leaf from book of hours,,,,Book of hours,Q795,,
Pearl Script Breviary from Hirsh MS 29,,,,Breviary,Q657,,
Burgundian Book of Hours from Hirsh MS 29,,,,Book of hours,Q795,,
French Book of Devotions leaf 1 from Hirsh MS 29,,,,Devotional texts,Q5966,,
French Book of Devotions leaf 2 from Hirsh MS 29,,,,Devotional texts,Q5966,,
French Book of Devotions leaf 3 from Hirsh MS 29,,,,Devotional texts,Q5966,,
Carolingian French Book of Devotions from Hirsh MS 29,,,,Devotional texts,Q5966,,
German Missal from Quaritch,,,,Missal,Q662,,
Oxford Medieval Bible Leaf,,,,Bible,Q661,,
