place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Place of publication unknown,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
"Valencia, Spain?",Valencia;Spain,http://vocab.getty.edu/tgn/7008769;http://vocab.getty.edu/tgn/1000095,Q1298;Q129,,,
"Valencia, Spain",,,,Valencia;Spain,http://vocab.getty.edu/tgn/7008769;http://vocab.getty.edu/tgn/1000095,Q1298;Q129
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Armenia,,,,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
"Seville, Spain",,,,Seville;Spain,http://vocab.getty.edu/tgn/7008676;http://vocab.getty.edu/tgn/1000095,Q3102;Q129
Bavaria?,Bavaria,http://vocab.getty.edu/tgn/7003669,Q1303,,,
Austria?,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Kashmir?,Kashmir,http://vocab.getty.edu/tgn/7029388,Q18345,,,
Place not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
"Worms, Germany",Worms;Germany,http://vocab.getty.edu/tgn/7005108,Q68010,,,
Bruges,,,,Bruges,http://vocab.getty.edu/tgn/7007867,Q16418
Ghent,,,,Ghent,http://vocab.getty.edu/tgn/7007887,Q16408
