subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Theology,ds-subject,,,,,,Theology,http://id.worldcat.org/fast/1149559,Q4290
Hagiography,ds-subject,,,Hagiography,http://id.worldcat.org/fast/950239,Q7147,,,
Questions and answers,ds-subject,,,Questions and answers,http://id.worldcat.org/fast/1085701,Q48881,,,
Liturgics,ds-subject,,,,,,Liturgics,http://id.worldcat.org/fast/1000579,Q207
"Manuscripts, Russian",ds-subject,,,"Manuscripts, Russian",http://id.worldcat.org/fast/1008477,Q110765,,,
Russia--Coronations,ds-subject,,,Russia;Coronations,http://id.worldcat.org/fast/1207312;http://id.worldcat.org/fast/879576,Q38478;Q38868,,,
Russia--History,ds-subject,,,Russia;History,http://id.worldcat.org/fast/1207312;http://id.worldcat.org/fast/958235,Q38478;Q6879,,,
Siberia (Russia)--History,ds-subject,,,Russia (Federation)--Siberia;History,http://id.worldcat.org/fast/1243666;http://id.worldcat.org/fast/958235,Q110768;Q6879,,,
Old Believers,ds-subject,,,Old Believers,http://id.worldcat.org/fast/1045177,Q39032,,,
"Illumination of books and manuscripts, Russian",ds-subject,,,"Illumination of books and manuscripts, Russian",http://id.worldcat.org/fast/967353,Q110766,,,
Jesus Christ--Passion,ds-subject,,,,,,Passion of Jesus Christ,http://id.worldcat.org/fast/1353950,Q4958
Jesus Christ--Second Advent,ds-subject,,,Jesus Christ;Second Advent,http://id.worldcat.org/fast/40116;http://id.worldcat.org/fast/1110547,Q338;Q110460,,,
Barlaam and Joasaph,ds-subject,,,Barlaam and Joasaph,http://id.worldcat.org/fast/1357994,Q110767,,,
