title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Letters,,,,,,Letters,Q5068
Ep. ad sacerdotes et alios clericos,,,,,,,
Ep. ad gregem suum,,,,,,,
Ep. ad Nicaenos,,,,,,,
Ep. ad Basilium Achridenum,,,,,,,
Rescriptum ad Adrianum IV papam,,,,,,,
Epist.synodalis ad Alexium Comnenum Imp.,,,,,,,
De synodo aduersus Iohannem Chrysost.,,,,,,,
Ep. ad Arcadium de exilio Io. Chrysostomi,,,,Epistulae ad Arcadium,Q110851,,
Ep. ad Arcadium imp. fratrem suum,,,,Epistulae ad Arcadium,Q110851,,
Glaphyra in Pentateuchum,,,,Glaphyra on the Pentateuch,Q110852,,
"Homilies, etc.",,,,Homilies,Q1246,,
Ad populum Antiochenum homiliae 1-21,,,,Homilies,Q1246,,
Ad illuminandos catechesis 1,,,,,,,
From the church,,,,,,,
"Gregorius theologus ep. CP. (S.), Visio de liturgia",,,,Visio de liturgia,Q110853,,
De fato et prouidentia orationes 1-6,,,,Orations,Q38343,,
"In illud: Vidi Dominum (Is. 6, 1), homilia 1",,,,Homily,Q100791,,
"In illud: Vidi Dominum (Is. 6, 1), homilia 2",,,,Homily,Q100791,,
"In illud: Vidi Dominum (Is. 6, 1), homilia 4",,,,Homily,Q100791,,
"In illud: Vidi Dominum (Is. 6, 1), homilia 6",,,,Homily,Q100791,,
In Psalm 95,,,,Psalms,Q5972,,
"In Psalm 50, homily 1",,,,Psalms,Q5972,,
"In Psalm 50, homily 2",,,,Psalms,Q5972,,
De gloria in tribulationibus,,,,,,,
"In dictum Pauli: Nolo uos ignorare (I Cor. 10, 1)",,,,Homily,Q100791,,
In illud: Habentes eundem spiritum homiliae 1-3,,,,Homilies,Q1246,,
In Matthaeum homiliae 1-90,,,,Commentary on Matthew;Bible commentary,Q1346;Q1433,,
De paenitentia homiliae 1-9,,,,Sermons,Q1400,,
Enarratio in prophetam Isaiam,,,,,,Enarratio in prophetam Isaiam,Q19985
Euchologion (fragments),,,,Euchologion,Q39377,,
"Gurias, Samonas et Abibus conf. mm. Edessae (SS.), Passio metaphrastica",,,,Hagiography,Q6022,,
Commentarius de S. Matthaeo ap.,,,,Commentary on Matthew;Bible commentary,Q1346;Q1433,,
"Plato m. Ancyrae (S.), Passio metaphrastica",,,,Hagiography,Q6022,,
"Demetrius m. Thessalonicae (S.), Passio metaphrastica",,,,Hagiography,Q6022,,
Vita S. Nicolai ep. Myrensis,,,,Life of Saint Nicholas;Hagiography,Q68144;Q6022,,
"Eustratius, Auxentius et soc. mm. in Armenia (SS.), Passio (a Metaphrasta in menologium inserta)",,,,Hagiography,Q6022,,
Sermo in Natiuitatem Domini,,,,Sermon,Q1400,,
Vita et miracula S. Basilii Magni,,,,Hagiography,Q6022,,
De baptismo Christi,,,,,,,
Homilia 25 in occursum Domini,,,,Homilies,Q1246,,
Sevcenko,,,,,,,
Theotocarium,,,,Theotokarion,Q39828,,
Greek ms.,,,,,,,
De natura hominis,,,,,,,
Dialogus de anima et resurrectione,,,,,,,
Preces,,,,Prayers,Q798,,
Paracletice,,,,,,,
Uersus funebres,,,,Verses,Q18551,,
Triodium,,,,Triodion,Q39850,,
"Opisanīe novyi͡a zemli Sibirskago gosudarstva, v"" kotoroe ono vremi͡a i kakim"" sluchaem"" dostalos' za Moskovskoe gosudarstvo, i kakoe toĭ zemli︠e︡ polozhenīe",,,,,,,
Strasti Gospodni,,,,Passion of Jesus Christ,Q48609,,
Strasti Khristovy,,,,Passion of Jesus Christ,Q48609,,
"Extracts from the works of Saint John Chrysostom, in Russian, with some other works",,,,Extracts,Q12725,,
