genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_label_add,ds_qid_add,authorized_label,structured_value,ds_qid
Gothic scripts,aat,,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Manuscripts,lcgft,http://id.loc.gov/authorities/genreForms/gf2022026088,,,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
aphorisms,aat,,,,,aphorisms,http://vocab.getty.edu/aat/300253001,Q7680
Caroline minuscule,aat,,,,,Caroline minuscule,http://vocab.getty.edu/aat/300195207,Q10803
Inscriptions,rbmscv,,,,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,Q5875
Commentaries,lcgft,http://id.loc.gov/authorities/genreForms/gf2025026014,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
Bibles,aat,,,,,Bibles,http://vocab.getty.edu/aat/300264513,Q3561
Annotations,rbmscv,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
sermons,aat,,,,,sermons,http://vocab.getty.edu/aat/300026669,Q3590
Sermons,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026051,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
miniatures (paintings),aat,,,,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,Q262
Books of hours,rbmscv,,,,,Books of hours,http://id.loc.gov/vocabulary/rbmscv/cv01037,Q38439
Breviaries,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026078,,,,Breviaries,http://id.worldcat.org/fast/1922430,Q38440
humanistic scripts,aat,,,,,humanistic scripts,http://vocab.getty.edu/aat/300210204,Q10824
textura (Gothic script),aat,,,,,textura (Gothic script),http://vocab.getty.edu/aat/300202638,Q10787
Graduals (Service books),lcgft,http://id.loc.gov/authorities/genreForms/gf2014026842,,,,Graduals (Service books),http://id.worldcat.org/fast/1920168,Q16317
processionals,aat,,,,,processionals,http://vocab.getty.edu/aat/300395571,Q38530
Processionals (Service books),lcgft,http://id.loc.gov/authorities/genreForms/gf2014027014,,,,Processionals (Service books),http://id.worldcat.org/fast/1920299,Q16327
Armenian alphabet,aat,,,,,Armenian alphabet,http://vocab.getty.edu/aat/300400698,Q108686
lectionaries,aat,,,,,lectionaries,http://vocab.getty.edu/aat/300026464,Q4274
bastarda,aat,,,,,bastarda,http://vocab.getty.edu/aat/300210195,Q66697
calendars of saints,aat,,calendars of saints,http://vocab.getty.edu/aat/300390944,Q114137,,,
documentary scripts,aat,,,,,documentary scripts,http://vocab.getty.edu/aat/300200828,Q26827
land grants,aat,,land grants,http://vocab.getty.edu/aat/300027253,Q114136,,,
Litanies,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026087,Litanies,http://id.worldcat.org/fast/1922454,Q114135,,,
forgeries (derivative objects),aat,,,,,forgeries (derivative objects),http://vocab.getty.edu/aat/300015641,Q26906
Missals (Service books),lcgft,http://id.loc.gov/authorities/genreForms/gf2014026941,,,,Missals (Service books),http://id.worldcat.org/fast/1920241,Q8363
Martyrologies,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026033,,,,Martyrologies,http://id.worldcat.org/fast/1922463,Q66749
psalters (books),aat,,,,,psalters (books),http://vocab.getty.edu/aat/300026477,Q4134
Psalters,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026080,,,,Psalters,http://id.worldcat.org/fast/1922512,Q38533
Manicules,rbmscv,,,,,Manicules,http://id.loc.gov/vocabulary/rbmscv/cv00248,Q5909
Hymns,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026872,,,,Hymns,http://id.worldcat.org/fast/1423701,Q6878
Prices (Provenance),rbmscv,,,,,Prices (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00263,Q5893
homiliaries,aat,,,,,homiliaries,http://vocab.getty.edu/aat/300211641,Q4140
antiphonaries,aat,,,,,antiphonaries,http://vocab.getty.edu/aat/300188812,Q6845
palimpsests (manuscripts),aat,,,,,palimpsests (manuscripts),http://vocab.getty.edu/aat/300028576,Q156
Epic poetry,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026310,,,,Epic poetry,http://id.worldcat.org/fast/1726596,Q38472
cursive scripts (general scripts by form),aat,,,,,cursive scripts,http://vocab.getty.edu/aat/300375118,Q48503
Poetry,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026481,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Annals and chronicles,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026045,,,,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
Satirical drama,lcgft,http://id.loc.gov/authorities/genreForms/gf2023026106,Satirical plays,http://id.worldcat.org/fast/1895294,Q114138,,,
glosses (annotations),aat,,,,,glosses (annotations),http://vocab.getty.edu/aat/300211708,Q4260
Law commentaries,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026150,,,,Law commentaries,http://id.worldcat.org/fast/1774248,Q11571
missals,aat,,,,,missals,http://vocab.getty.edu/aat/300026472,Q4244
graduals,aat,,,,,graduals,http://vocab.getty.edu/aat/300026462,Q4165
Psalms,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026079,,,,Psalms,http://id.worldcat.org/fast/1922511,Q108685
Psalms (Music),lcgft,http://id.loc.gov/authorities/genreForms/gf2014027023,Psalms (Music),http://id.worldcat.org/fast/1726710,Q114134,,,
books of hours,aat,,,,,books of hours,http://vocab.getty.edu/aat/300026457,Q3618
Codes (Provenance),rbmscv,,Codes (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00231,Q16404,,,
Numbers (Provenance),rbmscv,,Numbers (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00020,Q5864,,,
