place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
England?,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Paris?,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Belgium,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
Czech Republic,,,,Czech Republic,http://vocab.getty.edu/tgn/1001780,Q38180
Czech Republic?,Czech Republic,http://vocab.getty.edu/tgn/1001780,Q38180,,,
Iṣfahān,,,,Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Bologna,,,,Bologna,http://vocab.getty.edu/tgn/7004847,Q3087
Perugia?,Perugia,http://vocab.getty.edu/tgn/7000526,Q3083,,,
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Belgium?,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
