subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Catholic Church--Prayers and devotions,a--v,0,,,,,Catholic Church;Prayers and devotions,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909,Q310;Q3052
Wellesley College Library. Plimpton Collection.--Manuscript.--492,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
"Bible. Chronicles, 2nd",a;p,0,,,,,"Bible. Chronicles, 2nd",http://id.worldcat.org/fast/1911925,Q27301
"Muḥammad, Prophet, -632--Early works to 1800",a;c;d--v,0,,,,,"Muḥammad, Prophet, -632;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1411636,Q3639;Q300
"Muḥammad, Prophet, -632--Companions",a;c;d--x,0,https://id.loc.gov/authorities/subjects/sh85088280,,,,Companions of the Prophet Muhammad,http://id.worldcat.org/fast/1352525,Q11256
"Muḥammad, Prophet, -632",a;c;d,fast,https://id.worldcat.org/fast/1836298,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
Wellesley College Library. Plimpton Collection.--Manuscript.--752,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
"Mary, Blessed Virgin, Saint--Prayers and devotions",a;c--v,0,https://id.loc.gov/authorities/subjects/sh85081723,,,,"Mary, Blessed Virgin, Saint;Prayers and devotions",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1423909,Q244;Q3052
"Mary, Blessed Virgin, Saint",a;c,fast,https://id.worldcat.org/fast/68107,,,,"Mary, Blessed Virgin, Saint",http://id.worldcat.org/fast/68107,Q244
Wellesley College Library. Plimpton Collection.--Manuscript.--1187,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
