name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,ds_id_add,structured_value_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Gracia Dei, Pedro de",author,,,human,Pedro de Gracia Dei,DSNAME9278,Q124347612,Q114404,,,,
Firdawsī,author,,,,,,,,human,Ferdowsi,Q43459,Q18691
"Ameyden, Dirk, 1586-1656",author,,,human,Dirk Ameyden,DSNAME9279,Q3983865,Q114405,,,,
"Lippi, Lorenzo, 1606-1665",author,,,human,Lorenzo Lippi,DSNAME9280,Q1249317,Q114406,,,,
"Kalīm, Abū Ṭālib, -1651?",author,,,human,Kalim Kashani,DSNAME9281,Q4116339,Q114407,,,,
"Sanāʼī al-Ghaznavī, Abū al-Majd Majdūd ibn Ādam, -approximately 1150",author,,,,,,,,human,Sanai,Q1148049,Q49313
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,,,,,,,,human,Nizami Ganjavi,Q234908,Q16480
Saʻdī,author,,,,,,,,human,Saadi,Q170302,Q3799
"Ḥāfiẓ, active 14th century",author,,,,,,,,human,Hafez,Q6240,Q10870
"Antonius, Julianus",author,,,human,Antonius Julianus,DSNAME9282,Q606633,Q114408,,,,
Gakuko-do,former owner,,,,,,,,,,,
Saʻdī,author,,,,,,,,human,Saadi,Q170302,Q3799
"Ege, Otto F.",former owner,,http://id.loc.gov/authorities/names/no99020371,,,,,,human,Otto Ege,Q7109575,Q808
"de Rupe family (Limoges, France)",former owner,,,,,,,,,,,
"Brölemann, Henry Auguste 1775-1854",former owner,,,human,Henri Auguste Brölemann,DSNAME9283,Q116785149,Q114409,,,,
"Duschnes, Philip C.",former owner,,,,,,,,human,Philip C. Duschnes,Q67614357,Q16517
"Hangest, Robert de (Beauvais, France)",former owner,,,human,Robert de Hangest,DSNAME9284,Q116785131,Q114410,,,,
"Hearst, William Randolph, 1863-1951",former owner,,,human,William Randolph Hearst,DSNAME9285,Q294931,Q114411,,,,
"Petit, Didier, 1793-1873",former owner,,,human,Didier Petit de Meurville,DSNAME9286,Q3027155,Q114412,,,,
"Ricketts, C. L. (Coella Lindsay), 1859-1941",former owner,,,human,Coella Lindsay Ricketts,DSNAME9287,Q116771179,Q114413,,,,
"Bede, the Venerable, Saint, 673-735",author,,,,,,,,human,Bede,Q154938,Q1525
"Jerome, Saint, -419 or 420",author,,,,,,,,human,Jerome,Q44248,Q898
"Gregory I, Pope, approximately 540-604",author,,,,,,,,human,Gregory I,Q42827,Q889
"Bourdin, Gilles, 1515-1570",author,,,human,Gilles Bourdin,DSNAME9288,Q3106115,Q114414,,,,
"Peter Riga, approximately 1140-1209",author,,http://id.loc.gov/authorities/names/n87118179,,,,,,human,Petrus Riga,Q556117,Q6085
"Parochial School of St. John the Baptist (Würzburg, Germany)",former owner,,,,,,,,,,,
Livy,author,,,,,,,,human,Titus Livius,Q2039,Q1947
"Thomas, Aquinas, Saint, 1225?-1274",author,,http://id.loc.gov/authorities/names/n78095790,,,,,,human,Thomas Aquinas,Q9438,Q1919
"Benedictine monastery of St. Stephan (Würzburg, Germany)",former owner,,,organization,"St. Stephen's Abbey, Würzburg",DSNAME5782,Q7591728,Q42255,,,,
Fray Bartolome de la Puente,former owner,,,,,,,,,,,
Dom Pero,former owner,,,,,,,,,,,
William Morris Kelmscott House Hammersmith,former owner,,,human,William Morris,DSNAME9289,Q182589,Q114415,,,,
C A and V Baldwin,former owner,,,,,,,,,,,
"John M Crawford, active 1760",former owner,,,,,,,,,,,
"Ricardo Herdia, active 1891",former owner,,,,,,,,,,,
