File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260520-subjects-chicago-marc.csv,Buddha (The concept),0,a,http://id.loc.gov/authorities/subjects/sh85017451,,,,Buddha (The concept),http://id.worldcat.org/fast/840022,Q68034
20260520-subjects-chicago-marc.csv,"Manuscripts, Sinhalese",0,a,http://id.loc.gov/authorities/subjects/sh85080766,,,,"Manuscripts, Sinhalese",http://id.worldcat.org/fast/1008495,Q26879
20260520-subjects-chicago-marc.csv,Sinhalese literature,0,a,http://id.loc.gov/authorities/subjects/sh85122877,,,,Sinhalese literature,http://id.worldcat.org/fast/1119529,Q68035
20260520-subjects-chicago-marc.csv,Buddha (The concept),fast,a,http://id.worldcat.org/fast/fst00840022,,,,Buddha (The concept),http://id.worldcat.org/fast/840022,Q68034
20260520-subjects-chicago-marc.csv,"Manuscripts, Sinhalese",fast,a,http://id.worldcat.org/fast/fst01008495,,,,"Manuscripts, Sinhalese",http://id.worldcat.org/fast/1008495,Q26879
20260520-subjects-chicago-marc.csv,Sinhalese literature,fast,a,http://id.worldcat.org/fast/fst01119529,,,,Sinhalese literature,http://id.worldcat.org/fast/1119529,Q68035
20260520-subjects-chicago-marc.csv,Theology--Poetry--Early works to 1800,0,a--v--v,,,,,Theology;Poetry;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q4290;Q247;Q300
20260520-subjects-chicago-marc.csv,Theology--Early works to 1800,0,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
20260520-subjects-chicago-marc.csv,Salvation--Early works to 1800,0,a--v,,,,,Salvation;Early works,http://id.worldcat.org/fast/1104418;http://id.worldcat.org/fast/1411636,Q39076;Q300
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin (Medieval and modern)--Great Britain",0,a--z,,,,,"Manuscripts, Latin (Medieval and modern);Great Britain",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204623,Q10783;Q179
20260520-subjects-chicago-marc.csv,Typology (Theology)--Early works to 1800,0,a--v,,,,,Typology (Theology);Early works,http://id.worldcat.org/fast/1160087;http://id.worldcat.org/fast/1411636,Q67086;Q300
20260520-subjects-chicago-marc.csv,Théologie--Poésie--Ouvrages avant 1800,6,a--v--v,,,,,Theology;Poetry;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q4290;Q247;Q300
20260520-subjects-chicago-marc.csv,Théologie--Ouvrages avant 1800,6,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
20260520-subjects-chicago-marc.csv,Manuscrits latins médiévaux et modernes--Grande-Bretagne,6,a--z,,,,,"Manuscripts, Latin (Medieval and modern);Great Britain",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204623,Q10783;Q179
20260520-subjects-chicago-marc.csv,Typologie (Théologie)--Ouvrages avant 1800,6,a--v,,,,,Typology (Theology);Early works,http://id.worldcat.org/fast/1160087;http://id.worldcat.org/fast/1411636,Q67086;Q300
20260520-subjects-chicago-marc.csv,History of Biblical events,fast,a,(OCoLC)fst01865053,,,,History of Biblical events,http://id.worldcat.org/fast/1865053,Q313
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin (Medieval and modern)",fast,a,(OCoLC)fst01008399,,,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399,Q10783
20260520-subjects-chicago-marc.csv,Salvation,fast,a,(OCoLC)fst01104418,,,,Salvation,http://id.worldcat.org/fast/1104418,Q39076
20260520-subjects-chicago-marc.csv,Theology,fast,a,(OCoLC)fst01149559,,,,Theology,http://id.worldcat.org/fast/1149559,Q4290
20260520-subjects-chicago-marc.csv,Typology (Theology),fast,a,(OCoLC)fst01160087,,,,Typology (Theology),http://id.worldcat.org/fast/1160087,Q67086
20260520-subjects-chicago-marc.csv,Great Britain,fast,a,(OCoLC)fst01204623,,,,Great Britain,http://id.worldcat.org/fast/1204623,Q179
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin (Medieval and modern)",0,a,http://id.loc.gov/authorities/subjects/sh85080735,,,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399,Q10783
20260520-subjects-chicago-marc.csv,"Manuscripts, German",0,a,http://id.loc.gov/authorities/subjects/sh85080716,,,,"Manuscripts, German",http://id.worldcat.org/fast/1008346,Q142
20260520-subjects-chicago-marc.csv,Encyclopedias and dictionaries--Latin-German,0,a--x,,,,,Encyclopedias and dictionaries;Latin language;German language,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/941408,Q175;Q4170;Q3023
20260520-subjects-chicago-marc.csv,"Manuscripts, German",fast,a,http://id.worldcat.org/fast/fst01008346,,,,"Manuscripts, German",http://id.worldcat.org/fast/1008346,Q142
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin (Medieval and modern)",fast,a,http://id.worldcat.org/fast/fst01008399,,,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399,Q10783
20260520-subjects-chicago-marc.csv,"Manuscripts, Greek (Medieval and modern)",0,a,http://id.loc.gov/authorities/subjects/sh85080719,,,,"Manuscripts, Greek (Medieval and modern)",http://id.worldcat.org/fast/1008354,Q2962
20260520-subjects-chicago-marc.csv,Letters,0,a,http://id.loc.gov/authorities/subjects/sh85076240,,,,Letters,http://id.worldcat.org/fast/996779,Q55284
20260520-subjects-chicago-marc.csv,Letters,fast,a,http://id.worldcat.org/fast/fst00996779,,,,Letters,http://id.worldcat.org/fast/996779,Q55284
20260520-subjects-chicago-marc.csv,"Manuscripts, Greek (Medieval and modern)",fast,a,http://id.worldcat.org/fast/fst01008354,,,,"Manuscripts, Greek (Medieval and modern)",http://id.worldcat.org/fast/1008354,Q2962
20260520-subjects-chicago-marc.csv,Synaxarion--Texts,0,a--v,,,,,Synaxarion;Texts,http://id.worldcat.org/fast/1141074;http://id.worldcat.org/fast/1423705,Q68036;Q3066
20260520-subjects-chicago-marc.csv,"Manuscripts, Greek",0,a,http://id.loc.gov/authorities/subjects/sh85080718,,,,"Manuscripts, Greek",http://id.worldcat.org/fast/1008349,Q3512
20260520-subjects-chicago-marc.csv,"Manuscripts, Greek",fast,a,http://id.worldcat.org/fast/fst01008349,,,,"Manuscripts, Greek",http://id.worldcat.org/fast/1008349,Q3512
20260520-subjects-chicago-marc.csv,Synaxarion,fast,a,http://id.worldcat.org/fast/fst01141074,,,,Synaxarion,http://id.worldcat.org/fast/1141074,Q68036
20260520-subjects-chicago-marc.csv,Laws--Spain--Guadalajara,0,a--z--z,,,,,Law;Spain--Guadalajara,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1206619,Q4186;Q68037
20260520-subjects-chicago-marc.csv,"Manuscripts, Spanish",0,a,http://id.loc.gov/authorities/subjects/sh85080770,,,,"Manuscripts, Spanish",http://id.worldcat.org/fast/1008500,Q202
20260520-subjects-chicago-marc.csv,Guadalajara (Spain)--History--Sources,0,a--x--v,,,,,Spain--Guadalajara;History;Sources,http://id.worldcat.org/fast/1206619;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q68037;Q6879;Q2769
20260520-subjects-chicago-marc.csv,"Manuscripts, Spanish",fast,a,http://id.worldcat.org/fast/fst01008500,,,,"Manuscripts, Spanish",http://id.worldcat.org/fast/1008500,Q202
20260520-subjects-chicago-marc.csv,Spain--Guadalajara,fast,a--z,http://id.worldcat.org/fast/fst01206619,,,,Spain--Guadalajara,http://id.worldcat.org/fast/1206619,Q68037
20260520-subjects-chicago-marc.csv,"Manuscripts, Italian",0,a,http://id.loc.gov/authorities/subjects/sh85080727,,,,"Manuscripts, Italian",http://id.worldcat.org/fast/1008378,Q269
20260520-subjects-chicago-marc.csv,"Manuscripts, Italian",fast,a,http://id.worldcat.org/fast/fst01008378--http://id.worldcat.org/fast/1008378,,,,"Manuscripts, Italian",http://id.worldcat.org/fast/1008378,Q269
20260520-subjects-chicago-marc.csv,Sicily (Italy)--History--Sources,0,a--x--v,,,,,Italy--Sicily;History;Sources,http://id.worldcat.org/fast/1204499;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q4242;Q6879;Q2769
20260520-subjects-chicago-marc.csv,Naples (Italy)--History--Sources,0,a--x--v,,,,,Italy--Naples;History;Sources,http://id.worldcat.org/fast/1204441;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q4772;Q6879;Q2769
20260520-subjects-chicago-marc.csv,Italy--Naples,fast,a--z,http://id.worldcat.org/fast/fst01204441--http://id.worldcat.org/fast/1204441,,,,Italy--Naples,http://id.worldcat.org/fast/1204441,Q4772
20260520-subjects-chicago-marc.csv,Italy--Sicily,fast,a--z,http://id.worldcat.org/fast/fst01204499--http://id.worldcat.org/fast/1204499,,,,Italy--Sicily,http://id.worldcat.org/fast/1204499,Q4242
