File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260521-subjects-rit-marc.csv,Antiphonaries--Italy--16th century--Texts--Early works to 1800,0,a--z--y--v--v,,Antiphonaries;Italy;Sixteenth century;Texts;Early works,http://id.worldcat.org/fast/810657;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q4306;Q249;Q335;Q3066;Q300,,,
20260521-subjects-rit-marc.csv,Music--Manuscripts--Italy--16th century--Texts--Early works to 1800,0,a--x--z--y--v--v,,Music;Manuscripts;Italy;Sixteenth century;Texts;Early works,http://id.worldcat.org/fast/1030269;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q287;Q38609;Q249;Q335;Q3066;Q300,,,
20260521-subjects-rit-marc.csv,"Manuscripts, Medieval--Italy--16th century",0,a--z--y,,"Manuscripts, Medieval;Italy;Sixteenth century",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q325;Q249;Q335,,,
20260521-subjects-rit-marc.csv,"Manuscripts, Latin (Medieval and modern)",0,a,,,,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399,Q10783
20260521-subjects-rit-marc.csv,Gregorian chants--Early works to 1800,0,a--v,,,,,Gregorian chants;Early works,http://id.worldcat.org/fast/947816;http://id.worldcat.org/fast/1411636,Q3070;Q300
20260521-subjects-rit-marc.csv,"Illumination of books and manuscripts, Medieval",0,a,,"Illumination of books and manuscripts, Medieval",http://id.worldcat.org/fast/967326,Q27352,,,
20260521-subjects-rit-marc.csv,"Manuscripts, French--16th century",0,a--y,,"Manuscripts, French;Sixteenth century",http://id.worldcat.org/fast/1008338;http://id.worldcat.org/fast/1119851,Q319;Q335,,,
20260521-subjects-rit-marc.csv,Wills--France--16th century,0,a--z--y,,Wills;France;Sixteenth century,http://id.worldcat.org/fast/1175513;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q8019;Q152;Q335,,,
20260521-subjects-rit-marc.csv,Inheritance and succession--France--16th century--Early works to 1800,0,a--z--y--v,,Inheritance and succession;France;Sixteenth century;Early works,http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1411636,Q3565;Q152;Q335;Q300,,,
20260521-subjects-rit-marc.csv,Manuscripts--16th century,0,a--y,,,,,Manuscripts;Sixteenth century,http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1119851,Q38609;Q335
20260521-subjects-rit-marc.csv,"Manuscripts, Latin--15th century",0,a--y,,,,,"Manuscripts, Latin;Fifteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/923962,Q210;Q154
20260521-subjects-rit-marc.csv,"Manuscripts, Medieval",0,a,,,,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325
20260521-subjects-rit-marc.csv,Books of hours,0,a,,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
