genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
Abridgements,aat,,abridgements,http://vocab.getty.edu/aat/300202489
Accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802
Amulets,aat,,amulets,http://vocab.getty.edu/aat/300266585
Annals and chronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892
Annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
Art,fast,,Art,http://id.worldcat.org/fast/815177
Artificial grains,lobt,,artificial grains,http://w3id.org/lob/concept/1507
Blind tooled (decoration),lobt,,blind-tooled (decoration),http://w3id.org/lob/concept/2288
Books of hours,aat,,books of hours,http://vocab.getty.edu/aat/300026457
Bosses,lobt,,bosses,http://w3id.org/lob/concept/1230
Calendars (documents by form),aat,,calendars (documents),http://vocab.getty.edu/aat/300026741
Choirbooks,aat,,choirbooks,http://vocab.getty.edu/aat/300026422
Chronicles,aat,,chronicles,http://vocab.getty.edu/aat/300026361
Clasps (components),lobt,,clasps (components),http://w3id.org/lob/concept/1254
Codices,aat,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
Codices (bound manuscripts),aat,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
Commentaries,fast,,Commentaries,http://id.worldcat.org/fast/1423723
Commentaries,aat,,commentaries,http://vocab.getty.edu/aat/300026098
Commentries,aat,,commentaries,http://vocab.getty.edu/aat/300026098
Compound endbands,lobt,,compound endbands,http://w3id.org/lob/concept/3621
"Criticism, interpretation, etc",fast,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635
Declarations,aat,,declarations,http://vocab.getty.edu/aat/300167036
Decorated initials,aat,,decorated initials,http://vocab.getty.edu/aat/300417548
Decrees,aat,,decrees,http://vocab.getty.edu/aat/300026925
Decretals,aat,,decretals,http://vocab.getty.edu/aat/300026927
Deeds,aat,,deeds,http://vocab.getty.edu/aat/300027249
Detached leaves,aat,,detached leaves,http://vocab.getty.edu/aat/300379890
Diagrams,aat,,diagrams,http://vocab.getty.edu/aat/300015387
Dialogues,aat,,dialogues,http://vocab.getty.edu/aat/300026185
Dictionaries,aat,,dictionaries,http://vocab.getty.edu/aat/300026186
