row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",;spa,|spa,Spanish,Q1321
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Anglo-Norman,xno,Anglo-Norman,Q35214
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Arabic,ara,Arabic,Q13955
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Arabic and Persian.,ara|per,Arabic|Persian,Q13955|Q9168
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z","Arabic headwords, Ottoman definitions.",ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Arabic text with Persian marginalia.,ara|per,Arabic|Persian,Q13955|Q9168
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Arabic with 13 pages in Ottoman Turkish.,ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.018Z",Arabic with a few statements in Persian.,ara|per,Arabic|Persian,Q13955|Q9168
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic with some Ottoman Turkish.,ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.281Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic with some Persian marginalia.,ara|per,Arabic|Persian,Q13955|Q9168
