row_index,workflow_history,material_as_recorded,authorized_label,structured_value
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.640Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.640Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.640Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.640Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",Mixed,mixed media,http://vocab.getty.edu/aat/300163347
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.640Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",Paper,paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",Parchment,parchment,http://vocab.getty.edu/aat/300011851
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",fine vellum,parchment,http://vocab.getty.edu/aat/300011851
13,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",laid paper,paper,http://vocab.getty.edu/aat/300014109
14,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109
15,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
