row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_value
74,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z",Rome (Italy).--Maestri delle Strade.,,http://id.worldcat.org/fast/1204500
46,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah.",,http://id.worldcat.org/fast/1360506
68,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Padmapādācārya,--active 8th century.--Pañcapādikā.",,http://id.worldcat.org/fast/1372822
67,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Nasafī, ʻUmar ibn Muḥammad,--1068?-1142.--ʻAqāʼid.",,http://id.worldcat.org/fast/1381144
86,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.571Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.971Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Webster, Alexander.",,http://id.worldcat.org/fast/169468
71,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Porphyry,--approximately 234-approximately 305.--Isagoge.",,http://id.worldcat.org/fast/1802571|http://id.worldcat.org/fast/1356577
1,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.663Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z","Abū Ḥanīfah,---767 or 768.",,http://id.worldcat.org/fast/1803236
89,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.571Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.672Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.971Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","ʻAlī ibn Abī Ṭālib,--Caliph,--approximately 600-661--Hadith.",,http://id.worldcat.org/fast/1804105|http://id.worldcat.org/fast/950112
12,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Bahrām--V,--King of Iran,---438.",,http://id.worldcat.org/fast/1806223
36,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.320Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Fanārī, Muḥammad ibn Ḥamzah,--1350 or 1351-1430 or 1431.--Fawāʼid al-Fanārīyah.",,http://id.worldcat.org/fast/1817979
