name_as_recorded,role,name_agr,source_authority_uri,authorized_label,instance_of,structured_value
Abraham Faber,author,,,,human,Q67198306
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,,human,Q938348
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,,human,Q938348
Aegidius de Fuscarariis,author,,,,human,Q41569530
Aegidius of Paris (Aegidius Parisiensis),author,,,,human,Q5355
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner.,,,,human,Q123987
Agostino Staccoli,author,,,,human,Q45535876
"Aitken, George Atherton, 1860-1917",former owner.,,,,human,Q15930536
Alain Chartier,author,,,,human,Q982038
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,,human,Q2831705
Albertus Magnus,author,,,,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",attributed name.,,,,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,,,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,,human,Q60059
Alcuin,author,,,,human,Q154332
Aldobrandino da Siena,author,,,,human,Q2832270
"Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,,human,Q1161153
"Alleyn, James",former owner.,,,,human,Q56063918
Alulfus of Tournai,author,,,,human,Q46592455
Ambrose,author,,,,human,Q43689
Ambrose of Milan,author,,http://viaf.org/viaf/100227669,,human,Q43689
Andrea Alciati,author,,,,human,Q464471
Anselm,author,,,,human,Q43939
Anselm of Canterbury,author,,,,human,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,,human,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,,human,Q43939
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,,human,Q773822
