place_as_recorded,authorized_label,structured_value
"Amberg, Bavaria, Germany",,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
Armenia,,http://vocab.getty.edu/tgn/7006651
Austria,,http://vocab.getty.edu/tgn/1000062
Austria or Hungary,Austria|Hungary,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7006278
Austria; Germany?,,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
Austria?,,http://vocab.getty.edu/tgn/1000062
Austria? Hungary?,,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Austro-Bavaria,,http://vocab.getty.edu/tgn/7003669
Barga,,http://vocab.getty.edu/tgn/7006242
Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Belgium,,http://vocab.getty.edu/tgn/1000063
"Belgium, Hainault",,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
"Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063
"Bologna?, Italy",,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
"Bruges?, Belgium",,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
Byzantium,,http://vocab.getty.edu/tgn/7002473
Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
China,China,http://vocab.getty.edu/tgn/1000111
Cologne?,,http://vocab.getty.edu/tgn/7004446
"Deccan, India",Deccan|India,http://vocab.getty.edu/tgn/7001693|http://vocab.getty.edu/tgn/7000198
"Dijon, Burgundy, France",,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
"Diocese of Treviso, Montello, Italy",,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
Engalnd,,http://vocab.getty.edu/tgn/7002445
England,,http://vocab.getty.edu/tgn/7002445
England and Spain,England|Spain,http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/1000095
"England,  Leicestershire and Staffordshire",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
"England, Dorset",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
"England, East Anglia",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
"England, Kent",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
"England, Leicestershire and Rutland",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
"England, Norfolk",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
"England, Possibly south-east.",,http://vocab.getty.edu/tgn/7002445
"England, Staffordshire",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
"England, Sussex",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
"England, Warwickshire",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
"England, Worcestershire",,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
England?,,http://vocab.getty.edu/tgn/7002445
England? France?,,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070
England? Wales?,,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
Europe (but not England),,http://vocab.getty.edu/tgn/1000003
Flanders,,http://vocab.getty.edu/tgn/7024097
Flanders?,,http://vocab.getty.edu/tgn/7024097
"Florence, Italy",Florence|Italy,http://vocab.getty.edu/tgn/7000457|http://vocab.getty.edu/tgn/1000080
"Florence?, Italy",,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
France,,http://vocab.getty.edu/tgn/1000070
France (?),,http://vocab.getty.edu/tgn/1000070
France or Flanders,France|Flanders,http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7024097
"France, Anjou?",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069
"France, Brittany",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267
"France, Dauphiné",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7007764
"France, Franche Comté (?)",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7645440
"France, Normandy",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886
"France, Northern",,http://vocab.getty.edu/tgn/1000070
"France, Picardy",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002890
"France, probably between 1425 and 1450",France,http://vocab.getty.edu/tgn/1000070
France?,,http://vocab.getty.edu/tgn/1000070
France? Netherlands?,,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7016845
"France?, Champagne?",,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7658604
Germany,,http://vocab.getty.edu/tgn/7000084
Germany (?),,http://vocab.getty.edu/tgn/7000084
"Germany, Bavaria",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003669
"Germany, Bavaria or west Austria?",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/1000062
"Germany, Lorraine",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7024272
"Germany, Rhineland",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003683
"Germany, Rhineland, upper",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003683
"Germany, Thuringia",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7024274
"Germany, Upper Swabia",,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7118137
Germany?,,http://vocab.getty.edu/tgn/7000084
"Ghent?, Belgium",,http://vocab.getty.edu/tgn/7007887;http://vocab.getty.edu/tgn/1000063
Granada,,http://vocab.getty.edu/tgn/7007703
India,India,http://vocab.getty.edu/tgn/7000198
