row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",?,,
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Amberg, Bavaria, Germany",Amberg|Bavaria|Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austria or Hungary,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austria; Germany?,Austria|Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austria? Hungary?,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.426Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Barga,Barga,http://vocab.getty.edu/tgn/7006242
