row_index,workflow_history,material_as_recorded,authorized_label,structured_value
1,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.005Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.502Z",wood,wood,http://vocab.getty.edu/aat/300011914
2,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.010Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.502Z","European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
3,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.502Z","Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.502Z","Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.502Z",Mixed,mixed media,http://vocab.getty.edu/aat/300163347
6,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",Paper,paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",Parchment,parchment,http://vocab.getty.edu/aat/300011851
9,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",col. ill,,
10,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",fine vellum,parchment,http://vocab.getty.edu/aat/300011851
