row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.207Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.217Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Abbots--Early works to 1800,,Abbots|Early works,http://id.worldcat.org/fast/794221|http://id.worldcat.org/fast/1411636
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Accounting--France--14th century,,Accounting|France|Fourteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/933420
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Adriatic Sea,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Advaita,,Advaita,http://id.worldcat.org/fast/797410
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Advaita--Early works to 1800,,Advaita|Early works,http://id.worldcat.org/fast/797410|http://id.worldcat.org/fast/1411636
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Agriculture--Early works to 1800,,Agriculture|Early works,http://id.worldcat.org/fast/801355|http://id.worldcat.org/fast/1411636
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.807Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Alchemy--Early works to 1800,,Alchemy|Early works,http://id.worldcat.org/fast/804245|http://id.worldcat.org/fast/1411636
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire|Early works,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134|http://id.worldcat.org/fast/1411636
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.198Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.910Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
