row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.783Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.479Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",?,undetermined,http://vocab.getty.edu/tgn/7544559
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.783Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.479Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z","Amberg, Bavaria, Germany",Amberg;Bavaria;Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.783Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.479Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.783Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.479Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austria or Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austria; Germany?,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.452Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austria? Hungary?,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.185Z",Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Barga,Barga,http://vocab.getty.edu/tgn/7006242
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
