row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.338252Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.315344Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.004526Z",Anglo-Norman,xno,Anglo-Norman,Q35214
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339460Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316266Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.022799Z",Anglo-Saxon,,Old English,Q42365
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339503Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316315Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023874Z",Anglo-Saxon; Latin,,Old English|Latin,Q42365|Q397
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339542Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316338Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023886Z",Arabic,ara;eng,Arabic,Q13955
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339670Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316348Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023902Z",Arabic,ara,Arabic,Q13955
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339712Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316422Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023910Z",Arabic and Persian,ara;per,Persian|Arabic,Q9168|Q13955
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339734Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316477Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023918Z","Arabic headwords, Ottoman definitions",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339758Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316492Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023931Z",Arabic text with Persian marginalia,ara;per,Persian|Arabic,Q9168|Q13955
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339780Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316501Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023938Z",Arabic with 13 pages in Ottoman Turkish,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.339799Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.316514Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.023945Z",Arabic with a few statements in Persian,ara;per,Persian|Arabic,Q9168|Q13955
